Chemical,Estimate,Low,High,FDR,Label,Significance,FDR_label,Direction
NDMA,-10.1109702143473,-14.5209204418669,-5.70101998682763,0.00104278353695047,NDMA × Physical activity,FDR < 0.05,FDR = 0.001,Negative
MeP,-1.83693328271986,-2.73461983090677,-0.939246734532943,0.066713807737018,MeP × Physical activity,FDR < 0.10,FDR = 0.067,Negative
