Group,Estimate,Low,High,Text,Significance,Direction
Ideal physical activity,5.82913851062141,2.37001485352088,9.28826216772193,5.83 (2.37-9.29),FDR < 0.05,Positive
Non-ideal physical activity,-4.28183170372585,-8.1366177875531,-0.427045619898596,-4.28 (-8.14--0.43),FDR < 0.05,Negative
