Pollutant,n,CVD_events,CVD_nonevents,cycles,weight_variables,bootstrap_valid_reps,mediation_method,status,error,Indirect_Effect,Indirect_Low,Indirect_High,Indirect_P,Direct_Effect,Direct_Low,Direct_High,Direct_P,Total_Effect,Total_Low,Total_High,Total_P,Prop_Mediated,Prop_Mediated_Low,Prop_Mediated_High,Prop_P,ACME_FDR_BH,ACME_FDR_significant,Prop_Mediated_Pct
CYHA_Cys_binary_U,1187,137,1050,2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.014472876097820936,-0.0021288589460651455,0.032892225331199836,0.078,0.04218629876513416,-0.0123104375114683,0.09855377235555599,0.122,0.0566591748629551,0.004781134857650305,0.11465263776835559,0.034,0.25543746679734286,-0.10971089580768435,1.4596599049077306,0.108,0.08415789473684211,FALSE,25.543746679734287
PMM_Cys_ln_U,2458,257,2201,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.0017914409059489838,4.943482538407991e-4,0.004024043186438542,0,0.004554511793603841,-0.00247677991091026,0.005711685879784517,0.118,0.006345952699552825,0.0011425739879037666,0.007089772849058075,0.038,0.2822966055317777,0.07373870588767914,1.2412391501282964,0.038,0,TRUE,28.229660553177773
X3_HPMA_ln_U,2400,251,2149,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.001259569425769783,3.7149250399650747e-4,0.002975007138264738,0,0.005125183201617549,4.784886566625157e-4,0.006054031596637747,0.038,0.006384752627387332,0.0026756892972648674,0.007215389173484738,0.012,0.19727771759971918,0.06897208851293418,0.7645538483664247,0.012,0,TRUE,19.72777175997192
A_a_C_binary_U,1278,119,1159,2013-2014,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.009001446761988857,0.0025617279121735643,0.016403877385296486,0.002,0.013408026507323284,-0.016760586892504818,0.04557614034208281,0.348,0.02240947326931214,-0.009701836546647823,0.055773667343966035,0.144,0.40168042567584883,-1.7869060384853968,3.6304600496428407,0.146,0.0034166666666666664,TRUE,40.168042567584884
Benzene_binary_S,3484,368,3116,2013-2014|2015-2016,WTSVOC2Y,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.010503988588880669,0.005804699434125294,0.016145797769273836,0,0.002449324346156529,-0.018832091406254428,0.024095930037461345,0.746,0.012953312935037197,-0.008994140491611888,0.0356654458032331,0.228,0.8109113584732912,-4.958897853237044,5.202910659110742,0.228,0,TRUE,81.09113584732913
HEMA_binary_U,2468,257,2211,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.006378203636711335,0.002860859169301888,0.0110950361136033,0.002,0.009507386235908827,-0.01639004955776961,0.03295178855754747,0.522,0.015885589872620162,-0.009979451542442862,0.04126014800966456,0.242,0.4015087691332495,-3.3437981981466462,4.6592457426207226,0.244,0.0034166666666666664,TRUE,40.15087691332495
MeA_a_C_binary_U,1279,118,1161,2013-2014,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.013984176618319907,0.002986015091729824,0.025825514080586223,0.004,0.024613202128401842,-0.01878502479329067,0.06877101291580186,0.288,0.03859737874672175,-0.0060481630939017905,0.08535051121172388,0.096,0.36230897206996593,-1.970030533601731,2.9604902331086502,0.1,0.0054666666666666665,TRUE,36.230897206996595
MBzP_ln_U,2426,263,2163,2013-2014|2015-2016,WTSB2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.0032840747073436642,0.0013978146516459959,0.00563967829414265,0,-1.1923748831119969e-4,-0.011380797457583393,0.010655265288706937,0.972,0.0031648372190324642,-0.0075970666370693725,0.013602387515805423,0.55,1.03767570969974,-12.510038280563771,7.006931880759114,0.55,0,TRUE,103.767570969974
Ethylbenzene_binary_S,3491,366,3125,2013-2014|2015-2016,WTSVOC2Y,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.011050312627551063,0.005677970378733411,0.017157799850256603,0,0.009273434590491951,-0.011943846887945777,0.0312486176770074,0.43,0.020323747218043014,-0.0017625868627159718,0.04355281669736154,0.074,0.5437143312696202,-2.1997668385541633,3.995494368512783,0.074,0,TRUE,54.37143312696202
IPM3_Cys_ln_U,1185,137,1048,2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.0019451605682329247,-9.190887557216794e-4,0.005509472477575647,0.194,0.016991807345973636,0.006605306015659797,0.02502448982895407,0.002,0.018936967914206564,0.009725843352514052,0.025751500051228882,0,0.1027176355288462,-0.051545121828664525,0.37402709381120164,0.194,0.194,FALSE,10.27176355288462
X1_AN_ln_U,1218,105,1113,2013-2014,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.0028936796225303273,7.881642236938547e-4,0.0058222738397209145,0.004,0.004395828045942312,-0.006468888837980353,0.015962512349954973,0.434,0.007289507668472639,-0.004103462755914023,0.020003261060517752,0.226,0.3969650289340646,-2.2128620462574475,3.150193612738201,0.23,0.0054666666666666665,TRUE,39.69650289340646
CMAC_ln_U,2461,257,2204,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.002630863531305384,7.542870289399855e-4,0.005822772631793337,0,0.003045535037705733,-0.01048435669651469,0.00607110300799104,0.536,0.005676398569011118,-0.006155696263827814,0.0075682323656492126,0.228,0.46347406710795946,-4.086237157516778,3.519083386482012,0.228,0,TRUE,46.347406710795944
o_Xylene_binary_S,3575,375,3200,2013-2014|2015-2016,WTSVOC2Y,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.00811051011288627,0.004283262837173535,0.012981211627455374,0,0.018809426766683564,-0.002267366608023908,0.03977233068196908,0.074,0.026919936879569836,0.0056872912274760525,0.049326063209089076,0.018,0.3012826571313963,0.12900823851116305,1.0530690603055657,0.018,0,TRUE,30.12826571313963
X23_OH_PH_ln_U,2494,262,2232,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.0022875704831040403,6.820690649184441e-4,0.004865776934528635,0,0.010911730012171366,0.0012233980338495637,0.015029821223831643,0.026,0.013199300495275408,0.005074348900006753,0.016581235031724994,0,0.17330997835247852,0.049444061755586015,0.7352130929479795,0,0,TRUE,17.330997835247853
Thiocyanate_ln_U,2483,258,2225,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.0011022362549382065,3.093045664946612e-4,0.002720801980283777,0,0.0038974617882332214,-9.159901476639938e-5,0.004716808617148358,0.056,0.004999698043171428,0.0024313687939313145,0.005553872706832126,0.01,0.22046056490224195,0.07041888165459947,0.9180223865343995,0.01,0,TRUE,22.046056490224196
IPM1_Cys_ln_U,1185,137,1048,2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.002715882678051477,-4.5824768509927343e-4,0.008498666558142885,0.084,0.02880750442778187,0.013940132794167084,0.0375845623229998,0.002,0.03152338710583335,0.018204349185821696,0.039240313081249645,0.002,0.08615453247246098,-0.015417038497971651,0.3283886957176442,0.086,0.08830769230769232,FALSE,8.615453247246098
X1_NP_ln_U,2414,247,2167,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.0011081640616207506,4.085330771647531e-4,0.002142740619407148,0,0.004680820962690062,2.59353898961375e-4,0.006209818717038646,0.046,0.005788985024310812,0.0016960152138308932,0.007086968114594654,0.018,0.1914263134153952,0.06510950596431259,0.6749198979888793,0.018,0,TRUE,19.14263134153952
PMA_binary_U,2450,258,2192,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.003844764794813377,0.0011358857815884002,0.007427792456571154,0.004,-0.006451762586066587,-0.028463495788741255,0.016259309999104295,0.618,-0.00260699779125321,-0.025068087228315536,0.021024411929343696,0.836,-1.4747863644967496,-4.0085989540023474,4.260672179789537,0.84,0.0054666666666666665,TRUE,-147.47863644967495
