Pollutant,n,CVD_events,CVD_nonevents,cycles,weight_variables,bootstrap_valid_reps,mediation_method,status,error,Indirect_Effect,Indirect_Low,Indirect_High,Indirect_P,Direct_Effect,Direct_Low,Direct_High,Direct_P,Total_Effect,Total_Low,Total_High,Total_P,Prop_Mediated,Prop_Mediated_Low,Prop_Mediated_High,Prop_P,ACME_FDR_BH,ACME_FDR_significant,Prop_Mediated_Pct,Visual_Size,Mediation_Direction
Ethylbenzene_binary_S,3491,366,3125,2013-2014|2015-2016,WTSVOC2Y,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.010605764153214247,0.005363831993024666,0.01639358059931049,0,0.008828886116155135,-0.011382860561859122,0.02964712464162981,0.43,0.020323747218043014,-0.0017625868627159718,0.04355281669736154,0.074,0.5218409793937342,-2.4142929662668897,4.17490717756632,0.074,0,TRUE,52.184097939373416,52.184097939373416,Consistent (+)
CMAC_ln_U,2461,257,2204,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.0025632631993384855,6.559326038311373e-4,0.005963675446082255,0,0.0029779347057388348,-0.010332146435442025,0.005973851525708181,0.536,0.005676398569011118,-0.006155696263827814,0.0075682323656492126,0.228,0.45156504924301505,-4.187107658616825,3.5596860613420414,0.228,0,TRUE,45.15650492430151,45.15650492430151,Consistent (+)
o_Xylene_binary_S,3575,375,3200,2013-2014|2015-2016,WTSVOC2Y,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.007454144978045426,0.003971981976764528,0.01189516051207116,0,0.018153061631842722,-0.0021648970621815805,0.03841898506021739,0.074,0.026919936879569836,0.0056872912274760525,0.049326063209089076,0.018,0.27690053700321077,0.10932123673318378,1.0555518395256387,0.018,0,TRUE,27.690053700321076,27.690053700321076,Consistent (+)
X23_OH_PH_ln_U,2494,262,2232,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.002068855405402251,5.886246883297452e-4,0.004660814668111465,0,0.010693014934469577,0.0012004751066750053,0.014784266577021424,0.026,0.013199300495275408,0.005074348900006753,0.016581235031724994,0,0.15673977618304716,0.040575668048354614,0.7293933478834032,0,0,TRUE,15.673977618304717,15.673977618304717,Consistent (+)
Thiocyanate_ln_U,2483,258,2225,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.0010356971377153898,2.7472447563095986e-4,0.0027115406990402984,0,0.0038309226710104044,-8.928084145364683e-5,0.004659845989125818,0.056,0.004999698043171428,0.0024313687939313145,0.005553872706832126,0.01,0.20715193773150797,0.060394853246810196,0.9172281459402568,0.01,0,TRUE,20.715193773150798,20.715193773150798,Consistent (+)
X1_NP_ln_U,2414,247,2167,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.0010572771132669999,3.8149569727248116e-4,0.0020905056268767878,0,0.00462993401433631,2.574641262893255e-4,0.00614316264341971,0.046,0.005788985024310812,0.0016960152138308932,0.007086968114594654,0.018,0.18263600766403268,0.05939822665498538,0.671855505998264,0.018,0,TRUE,18.26360076640327,18.26360076640327,Consistent (+)
X25_DMF_binary_S,3581,374,3207,2013-2014|2015-2016,WTSVOC2Y,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.018671217948163534,0.009523760878283967,0.029914420057150375,0.002,0.024495226727421847,-0.0029421673424264777,0.05512576498677697,0.078,0.04739289140564182,0.01895846135779116,0.08208392098061795,0.002,0.3939666349612264,0.1691826792406834,1.1705299137203555,0.004,0.0034166666666666664,TRUE,39.39666349612264,39.39666349612264,Consistent (+)
CEMA_CEM_ln_U,2472,259,2213,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.0011960805278117216,2.4537370657910535e-4,0.0031479799387238824,0.002,0.0058187243047392095,0.0024796251253059263,0.007200537211631306,0.01,0.007408562033623799,0.0034077561743568875,0.008796729839821216,0,0.16144570597955496,0.04866711376659133,0.4679871847067769,0.002,0.0034166666666666664,TRUE,16.144570597955497,16.144570597955497,Consistent (+)
A_a_C_binary_U,1278,119,1159,2013-2014,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.008426658819429476,0.0022569209094804436,0.01576900869066051,0.002,0.012833238564763903,-0.01617069669990553,0.04383747131076317,0.348,0.02240947326931214,-0.009701836546647823,0.055773667343966035,0.144,0.37603109712395894,-1.897339912486074,3.7263837246642635,0.146,0.0034166666666666664,TRUE,37.60310971239589,37.60310971239589,Consistent (+)
HEMA_binary_U,2468,257,2211,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.006103553240818869,0.0027158254111039905,0.010895333255140346,0.002,0.009232735840016361,-0.01573150417378405,0.03188403957038474,0.522,0.015885589872620162,-0.009979451542442862,0.04126014800966456,0.242,0.3842194901014495,-3.4428025725791622,4.831000455933339,0.244,0.0034166666666666664,TRUE,38.42194901014495,38.42194901014495,Consistent (+)
X34_MHA_ln_U,2479,258,2221,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.0011351920331818914,3.091343131437746e-4,0.0028011066166611356,0.002,0.004362779453025373,-0.006150767485762267,0.006336533765741823,0.278,0.0055905642051510725,-0.004693481892739888,0.007161615070381531,0.188,0.20305500331003093,-1.4310809709353232,1.6157223355483639,0.19,0.0034166666666666664,TRUE,20.305500331003092,20.305500331003092,Consistent (+)
X2_FL_ln_U,2493,261,2232,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.0020483052613846807,6.491562751237496e-4,0.004129549356783095,0.004,0.009317096868950997,0.004312615290134114,0.011898874875505793,0.004,0.011866850047848803,0.0077466833363666774,0.013667947140419549,0.002,0.17260732655469874,0.055069234196713224,0.4365603822324643,0.006,0.0054666666666666665,TRUE,17.260732655469873,17.260732655469873,Consistent (+)
MeA_a_C_binary_U,1279,118,1161,2013-2014,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.012547938033218995,0.002906317241424756,0.023500232079157583,0.004,0.02317696354330093,-0.01759217438921766,0.06604097209104394,0.288,0.03859737874672175,-0.0060481630939017905,0.08535051121172388,0.096,0.3250981916559489,-2.119638727588528,3.078898919077475,0.1,0.0054666666666666665,TRUE,32.50981916559489,32.50981916559489,Consistent (+)
X1_AN_ln_U,1218,105,1113,2013-2014,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.0028376566584773365,7.976761489909461e-4,0.005643985230756534,0.004,0.004339805081889321,-0.00643930833106012,0.015776434463748778,0.434,0.007289507668472639,-0.004103462755914023,0.020003261060517752,0.226,0.38927960399167905,-2.2640991570218407,3.172517086738554,0.23,0.0054666666666666665,TRUE,38.9279603991679,38.9279603991679,Consistent (+)
PMA_binary_U,2450,258,2192,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.003956430424632644,0.0011620638310747685,0.007660651148239146,0.004,-0.006340096956247321,-0.027960816784121968,0.015863309086528565,0.618,-0.00260699779125321,-0.025068087228315536,0.021024411929343696,0.836,-1.5176194003335721,-4.118563337013077,4.319952739084313,0.84,0.0054666666666666665,TRUE,-151.7619400333572,100,Consistent (+)
X26_DMA_binary_U,1167,111,1056,2013-2014,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.006412757505385775,0.0016862331420543128,0.013513700096453932,0.004,0.001890457638751503,-0.027905254310915794,0.030821291350275042,0.882,0.008421267608867893,-0.022304721809127414,0.037800093337593176,0.602,0.7614955138859278,-4.022264746961248,5.4145909979129785,0.602,0.0054666666666666665,TRUE,76.14955138859278,76.14955138859278,Consistent (+)
Mn_ln_S,3690,394,3296,2013-2014|2015-2016,WTSH2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.001023652574820929,5.26711738561149e-5,0.005255716795698516,0.004,0.005384359640460732,-0.01009108463888491,0.006599518445611568,0.162,0.006749929059123668,-0.006897258475135037,0.007872327676275428,0.1,0.15165382715204834,-0.5950883500604421,1.1174018406383188,0.104,0.0054666666666666665,TRUE,15.165382715204833,15.165382715204833,Consistent (+)
CEMA_CYM_ln_U,2459,258,2201,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.0020511237949317027,7.371140387471614e-4,0.0036182676351955998,0.006,0.007356292356761876,0.002290211307834764,0.011866517794743991,0.004,0.009574269958969303,0.004755778762560163,0.01413490083126287,0,0.21423291840754738,0.07042165946759446,0.538071325905791,0.006,0.0076875,TRUE,21.42329184075474,21.42329184075474,Consistent (+)
MA_ln_U,2437,259,2178,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.001751546347908003,2.7524071653695266e-4,0.005043806123080995,0.006,0.004563741293185212,-0.01520362851489716,0.007249444384892304,0.488,0.006456023375861375,-0.011786407754983979,0.008310128819564071,0.318,0.2713042140548799,-1.9114693267977538,3.5798901861723293,0.312,0.0076875,TRUE,27.130421405487994,27.130421405487994,Consistent (+)
X1_PH_ln_U,2494,262,2232,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.0014186087513818016,2.3617328851617672e-4,0.003782730078742839,0.014,0.011134273050289823,-0.0022724388901941197,0.01628421187422697,0.09,0.012826597496618627,7.817754684624233e-6,0.017429532485565984,0.05,0.1105989918024463,-0.10928067754021435,0.8271894557857294,0.064,0.017393939393939396,TRUE,11.05989918024463,11.05989918024463,Consistent (+)
Mn_binary_U,2504,262,2242,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.0032234701743590896,5.409008255189471e-4,0.007012825150300141,0.018,0.011448072396936107,-0.014346598783595172,0.037725958817542156,0.428,0.015015763892828098,-0.011388328469946423,0.042935053450065666,0.298,0.21467240676970814,-2.4498417453283783,2.4221144930528955,0.308,0.020499999999999997,TRUE,21.467240676970814,21.467240676970814,Consistent (+)
Cd_ln_U,2502,262,2240,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.002765217366990771,4.5530453212831506e-4,0.0062614591889704535,0.018,0.027421760931425017,0.0036549555487913345,0.05996841907610134,0.012,0.030628151001920314,0.006089214565087851,0.06420229200206426,0.006,0.09028352272448305,0.014454771608798598,0.40992100659458103,0.024,0.020499999999999997,TRUE,9.028352272448306,9.028352272448306,Consistent (+)
X4_ABP_ln_U,1241,111,1130,2013-2014,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.0020132600708391824,2.178282511235401e-4,0.0048427633881823265,0.018,0.014324851360448785,-0.0013038304293727968,0.03423535509084083,0.076,0.016609197281278583,3.951515624338453e-4,0.0367523727004468,0.042,0.12121356840697366,-0.014033291557743159,0.8150992210725408,0.056,0.020499999999999997,TRUE,12.121356840697366,12.121356840697366,Consistent (+)
X2_AN_ln_U,1225,103,1122,2013-2014,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.0019729537363402873,5.2562501512717527e-5,0.004930589775343285,0.036,0.00702627819453198,-0.008405579084968516,0.02610697204906022,0.422,0.009142870720387474,-0.006677842360222758,0.029488457442797284,0.28,0.2157914944527044,-1.6181628451565033,3.1299589351719996,0.3,0.03989189189189189,TRUE,21.57914944527044,21.57914944527044,Consistent (+)
CYHA_Cys_binary_U,1187,137,1050,2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.01222797331784824,-0.0017771548801433922,0.03049205982744224,0.078,0.039941395985161464,-0.011398099858649369,0.0949291583831477,0.122,0.0566591748629551,0.004781134857650305,0.11465263776835559,0.034,0.21581629713854397,-0.08740631513795633,1.4937859480517366,0.108,0.08415789473684211,FALSE,21.581629713854397,21.581629713854397,Consistent (+)
IPM1_Cys_ln_U,1185,137,1048,2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.0019411075173967809,-3.189210754954712e-4,0.007035998636412834,0.084,0.028032729267127174,0.012970765517592188,0.03724489958146941,0.002,0.03152338710583335,0.018204349185821696,0.039240313081249645,0.002,0.06157674335184566,-0.010136745583848203,0.30546893807718273,0.086,0.08830769230769232,FALSE,6.157674335184566,6.157674335184566,Consistent (+)
U_ln_U,2502,262,2240,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.0013007928377190177,-2.2529669560199532e-4,0.0038289980973918105,0.116,0.003113742874299179,-0.005744023221685601,0.024624544357997047,0.71,0.004442914461627244,-0.0051475817817293774,0.026282376931043662,0.556,0.2927791765863965,-2.971563510150044,3.57401471416575,0.592,0.11889999999999999,FALSE,29.27791765863965,29.27791765863965,Consistent (+)
IPM3_Cys_ln_U,1185,137,1048,2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.0017020276550184796,-7.798174766442544e-4,0.005199557407138697,0.194,0.01674867443275919,0.006545127706796699,0.02497092322066439,0.002,0.018936967914206564,0.009725843352514052,0.025751500051228882,0,0.08987857310259337,-0.041742109709346525,0.3593976482044707,0.194,0.194,FALSE,8.987857310259336,8.987857310259336,Consistent (+)
