Pollutant,N,CVD_events,CVD_nonevents,Estimated_indirect_effect,Estimated_indirect_effect_95_CI_low,Estimated_indirect_effect_95_CI_high,Indirect_effect_P_value,Direct_effect,Direct_effect_95_CI_low,Direct_effect_95_CI_high,Direct_effect_P_value,Total_effect,Total_effect_95_CI_low,Total_effect_95_CI_high,Total_effect_P_value,Proportion_mediated,Proportion_mediated_P_value,Indirect_effect_BH_FDR,Indirect_effect_significant_BH_FDR,Mediation_pattern,Weight_variable,NHANES_cycle
X1_NP_ln_U,2414,247,2167,0.00110816406162075,4.085330771647531e-4,0.00214274061940714,0,0.00468082096269006,2.59353898961375e-4,0.00620981871703864,0.046,0.00578898502431081,0.00169601521383089,0.00708696811459465,0.018,0.1914263134153952,0.018,0,TRUE,Consistent,WTSA2YR,2013-2014|2015-2016
X25_DMF_binary_S,3581,374,3207,0.02078444131319175,0.01086494725066647,0.03176538201259538,0.002,0.02660845009245006,-0.00330734861518245,0.05888601962309919,0.078,0.04739289140564182,0.01895846135779116,0.08208392098061795,0.002,0.43855609347180496,0.004,0.00341666666666666,TRUE,Consistent,WTSVOC2Y,2013-2014|2015-2016
CEMA_CEM_ln_U,2472,259,2213,0.00139295912834815,3.344303548291114e-4,0.00328617027868665,0.002,0.00601560290527564,0.00260405038007652,0.00737043830874193,0.01,0.00740856203362379,0.00340775617435688,0.00879672983982121,0,0.18802017476889615,0.002,0.00341666666666666,TRUE,Consistent,WTSA2YR,2013-2014|2015-2016
A_a_C_binary_U,1278,119,1159,0.00900144676198885,0.00256172791217356,0.01640387738529648,0.002,0.01340802650732328,-0.01676058689250481,0.04557614034208281,0.348,0.02240947326931214,-0.00970183654664782,0.05577366734396603,0.144,0.4016804256758488,0.146,0.00341666666666666,TRUE,Consistent,WTSA2YR,2013-2014
HEMA_binary_U,2468,257,2211,0.00637820363671133,0.00286085916930188,0.0110950361136033,0.002,0.00950738623590882,-0.01639004955776961,0.03295178855754747,0.522,0.01588558987262016,-0.00997945154244286,0.04126014800966456,0.242,0.4015087691332495,0.244,0.00341666666666666,TRUE,Consistent,WTSA2YR,2013-2014|2015-2016
X34_MHA_ln_U,2479,258,2221,0.00118148839265379,3.4897416413992317e-4,0.0027980593904191,0.002,0.00440907581249727,-0.00621033594609371,0.00639458734535677,0.278,0.00559056420515107,-0.00469348189273988,0.00716161507038153,0.188,0.21133616381065573,0.19,0.00341666666666666,TRUE,Consistent,WTSA2YR,2013-2014|2015-2016
X2_FL_ln_U,2493,261,2232,0.00229902922014124,7.817431801614164e-4,0.00436896612076173,0.004,0.00956782082770756,0.00443404048046579,0.01207464612607761,0.004,0.0118668500478488,0.00774668333636667,0.01366794714041954,0.002,0.19373542354299883,0.006,0.00546666666666666,TRUE,Consistent,WTSA2YR,2013-2014|2015-2016
MeA_a_C_binary_U,1279,118,1161,0.0139841766183199,0.00298601509172982,0.02582551408058622,0.004,0.02461320212840184,-0.01878502479329067,0.06877101291580186,0.288,0.03859737874672175,-0.00604816309390179,0.08535051121172388,0.096,0.36230897206996593,0.1,0.00546666666666666,TRUE,Consistent,WTSA2YR,2013-2014
X1_AN_ln_U,1218,105,1113,0.00289367962253032,7.881642236938547e-4,0.00582227383972091,0.004,0.00439582804594231,-0.00646888883798035,0.01596251234995497,0.434,0.00728950766847263,-0.00410346275591402,0.02000326106051775,0.226,0.3969650289340646,0.23,0.00546666666666666,TRUE,Consistent,WTSA2YR,2013-2014
PMA_binary_U,2450,258,2192,0.00384476479481337,0.0011358857815884,0.00742779245657115,0.004,-0.00645176258606658,-0.02846349578874125,0.01625930999910429,0.618,-0.00260699779125321,-0.02506808722831553,0.02102441192934369,0.836,-1.4747863644967496,0.84,0.00546666666666666,TRUE,Inconsistent/suppression,WTSA2YR,2013-2014|2015-2016
