Pollutant,n,CVD_events,CVD_nonevents,cycles,weight_variables,bootstrap_valid_reps,mediation_method,status,error,Indirect_Effect,Indirect_Low,Indirect_High,Indirect_P,Direct_Effect,Direct_Low,Direct_High,Direct_P,Total_Effect,Total_Low,Total_High,Total_P,Prop_Mediated,Prop_Mediated_Low,Prop_Mediated_High,Prop_P,Indirect_Effect_BH_FDR,Indirect_Effect_FDR_Significant,Prop_Mediated_Pct,Mediation_Direction,Prop_Mediated_Interpretable,Prop_Mediated_Display,family,Pollutant_Label,Significance,Label_Text
X2_NP_ln_U,2453,256,2197,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.00193767981447091,6.114538824347404e-4,0.00499624233135707,0,0.00385087009778344,-0.00214111843815642,0.00483198648396515,0.104,0.00578854991225436,0.00222715843026507,0.00656977030945226,0.018,0.3347435616593452,0.13469828551182603,1.44754926121157,0.018,0,TRUE,33.47435616593452,Consistent,TRUE,33.47435616593452,Polycyclic Aromatic Hydrocarbons (PAH),2_NP_ln_U,Significant (BH-FDR < 0.05),33.5%
IPM3_Cys_ln_U,1185,137,1048,2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.00194516056823292,-9.190887557216794e-4,0.00550947247757564,0.194,0.01699180734597363,0.00660530601565979,0.02502448982895407,0.002,0.01893696791420656,0.00972584335251405,0.02575150005122888,0,0.1027176355288462,-0.05154512182866452,0.3740270938112016,0.194,0.194,FALSE,10.27176355288462,Consistent,TRUE,10.27176355288462,Volatile Organic Compounds (VOC),IPM3_Cys_ln_U,Non-significant,
X2_AN_ln_U,1225,103,1122,2013-2014,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.00204477313109789,5.5423648207518234e-5,0.005153669726828,0.036,0.00709809758928958,-0.00845014319678242,0.02648496748512651,0.422,0.00914287072038747,-0.00667784236022275,0.02948845744279728,0.28,0.22364672908896088,-1.589855533286478,3.1143136414311337,0.3,0.03989189189189189,TRUE,22.36467290889609,Consistent,TRUE,22.36467290889609,Aromatic Amines,2_AN_ln_U,Significant (BH-FDR < 0.05),22.4%
CEMA_CYM_ln_U,2459,258,2201,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.00213455069856956,7.696780246499882e-4,0.00375853407881495,0.006,0.00743971926039973,0.00231510170451455,0.01198679200782861,0.004,0.0095742699589693,0.00475577876256016,0.01413490083126287,0,0.22294657532294557,0.07435820919815639,0.5446048004913071,0.006,0.0076875,TRUE,22.29465753229456,Consistent,TRUE,22.294657532294558,Volatile Organic Compounds (VOC),CEMA_CYM_ln_U,Significant (BH-FDR < 0.05),22.3%
X4_ABP_ln_U,1241,111,1130,2013-2014,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.00214880299583449,2.234851301919473e-4,0.00524351219332176,0.018,0.01446039428544409,-0.00131982403649885,0.03474701057885217,0.076,0.01660919728127858,3.951515624338453e-4,0.0367523727004468,0.042,0.12937428338313253,-0.01452574126322809,0.8169430300177583,0.056,0.02049999999999999,TRUE,12.937428338313254,Consistent,TRUE,12.937428338313254,Aromatic Amines,4_ABP_ln_U,Significant (BH-FDR < 0.05),12.9%
X23_OH_PH_ln_U,2494,262,2232,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.00228757048310404,6.820690649184441e-4,0.00486577693452863,0,0.01091173001217136,0.00122339803384956,0.01502982122383164,0.026,0.0131993004952754,0.00507434890000675,0.01658123503172499,0,0.17330997835247852,0.04944406175558601,0.7352130929479795,0,0,TRUE,17.330997835247853,Consistent,TRUE,17.330997835247853,Polycyclic Aromatic Hydrocarbons (PAH),23_OH_PH_ln_U,Significant (BH-FDR < 0.05),17.3%
X2_FL_ln_U,2493,261,2232,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.00229902922014124,7.817431801614164e-4,0.00436896612076173,0.004,0.00956782082770756,0.00443404048046579,0.01207464612607761,0.004,0.0118668500478488,0.00774668333636667,0.01366794714041954,0.002,0.19373542354299883,0.06827830719121064,0.44719629781449943,0.006,0.00546666666666666,TRUE,19.37354235429988,Consistent,TRUE,19.373542354299882,Polycyclic Aromatic Hydrocarbons (PAH),2_FL_ln_U,Significant (BH-FDR < 0.05),19.4%
X3_FL_ln_U,2489,261,2228,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.00240514449792874,8.302208684103894e-4,0.00424162184634209,0,0.00985121395469333,0.0022502974026788,0.01448737783944253,0.016,0.01225635845262208,0.00531500539262496,0.01623806936756024,0.002,0.19623646837892528,0.06368928320242656,0.6204900531836252,0.002,0,TRUE,19.62364683789253,Consistent,TRUE,19.62364683789253,Polycyclic Aromatic Hydrocarbons (PAH),3_FL_ln_U,Significant (BH-FDR < 0.05),19.6%
CMAC_ln_U,2461,257,2204,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.00263086353130538,7.542870289399855e-4,0.00582277263179333,0,0.00304553503770573,-0.01048435669651469,0.00607110300799104,0.536,0.00567639856901111,-0.00615569626382781,0.00756823236564921,0.228,0.46347406710795946,-4.086237157516778,3.519083386482012,0.228,0,TRUE,46.347406710795944,Consistent,TRUE,46.347406710795944,Volatile Organic Compounds (VOC),CMAC_ln_U,Significant (BH-FDR < 0.05),46.3%
IPM1_Cys_ln_U,1185,137,1048,2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.00271588267805147,-4.5824768509927343e-4,0.00849866655814288,0.084,0.02880750442778187,0.01394013279416708,0.0375845623229998,0.002,0.03152338710583335,0.01820434918582169,0.03924031308124964,0.002,0.08615453247246098,-0.01541703849797165,0.3283886957176442,0.086,0.08830769230769232,FALSE,8.615453247246098,Consistent,TRUE,8.615453247246098,Volatile Organic Compounds (VOC),IPM1_Cys_ln_U,Non-significant,
MB3_Cys_ln_U,2427,253,2174,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.00273263947165638,8.46890749937536e-4,0.00483045694351514,0,0.0107587868507808,0.00219845338410576,0.01618279977297871,0.028,0.01349142632243717,0.0051484762614734,0.01879148264370933,0.008,0.20254637325571803,0.06399379096071581,0.584596649669275,0.008,0,TRUE,20.254637325571803,Consistent,TRUE,20.254637325571803,Volatile Organic Compounds (VOC),MB3_Cys_ln_U,Significant (BH-FDR < 0.05),20.3%
X1_AN_ln_U,1218,105,1113,2013-2014,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.00289367962253032,7.881642236938547e-4,0.00582227383972091,0.004,0.00439582804594231,-0.00646888883798035,0.01596251234995497,0.434,0.00728950766847263,-0.00410346275591402,0.02000326106051775,0.226,0.3969650289340646,-2.2128620462574475,3.150193612738201,0.23,0.00546666666666666,TRUE,39.69650289340646,Consistent,TRUE,39.69650289340646,Aromatic Amines,1_AN_ln_U,Significant (BH-FDR < 0.05),39.7%
Cd_ln_U,2502,262,2240,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.00298580371874303,4.941065130705406e-4,0.0068275215471652,0.018,0.02764234728317727,0.00369217060869965,0.06060284809534067,0.012,0.03062815100192031,0.00608921456508785,0.06420229200206426,0.006,0.0974856013526847,0.01603189062889572,0.42057098851467534,0.024,0.02049999999999999,TRUE,9.748560135268471,Consistent,TRUE,9.748560135268471,Heavy Metals,Cd_ln_U,Significant (BH-FDR < 0.05),9.7%
EO_ln_S,2415,259,2156,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.00301287263148257,0.00103939412141302,0.00571257608548897,0,0.00792444313756833,5.522147377107807e-4,0.01096789656449313,0.04,0.01093731576905091,0.00503131176256733,0.01307729369144078,0.002,0.2754672805559877,0.09112474371352906,0.8710736726748831,0.002,0,TRUE,27.54672805559877,Consistent,TRUE,27.54672805559877,Gaseous Pollutants,EO_ln_S,Significant (BH-FDR < 0.05),27.5%
MBzP_ln_U,2426,263,2163,2013-2014|2015-2016,WTSB2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.00328407470734366,0.00139781465164599,0.00563967829414265,0,-1.1923748831119969e-4,-0.01138079745758339,0.01065526528870693,0.972,0.00316483721903246,-0.00759706663706937,0.01360238751580542,0.55,1.03767570969974,-12.510038280563773,7.006931880759114,0.55,0,TRUE,103.767570969974,Inconsistent/suppression,FALSE,,Phthalates,MBzP_ln_U,Significant (BH-FDR < 0.05),
Mn_binary_U,2504,262,2242,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.00339558083512554,5.373902666010592e-4,0.00722510193820673,0.018,0.01162018305770255,-0.01447287364085882,0.03801233463884494,0.428,0.01501576389282809,-0.01138832846994642,0.04293505345006566,0.298,0.2261344051065796,-2.3869768355096053,2.399228298283992,0.308,0.02049999999999999,TRUE,22.613440510657963,Consistent,TRUE,22.61344051065796,Heavy Metals,Mn_binary_U,Significant (BH-FDR < 0.05),22.6%
PMA_binary_U,2450,258,2192,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.00384476479481337,0.0011358857815884,0.00742779245657115,0.004,-0.00645176258606658,-0.02846349578874125,0.01625930999910429,0.618,-0.00260699779125321,-0.02506808722831553,0.02102441192934369,0.836,-1.4747863644967496,-4.0085989540023474,4.260672179789537,0.84,0.00546666666666666,TRUE,-147.47863644967495,Inconsistent/suppression,FALSE,,Volatile Organic Compounds (VOC),PMA_binary_U,Significant (BH-FDR < 0.05),
Cd_ln_S,3690,394,3296,2013-2014|2015-2016,WTSH2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.00550190070686695,0.0029120429691671,0.00832387053660202,0,0.01467259011964069,0.00266271572092074,0.02474536135607506,0.022,0.02017449082650765,0.00845637618447381,0.0292252230999102,0,0.27271571581067633,0.12069063832225636,0.6398307229123216,0,0,TRUE,27.271571581067633,Consistent,TRUE,27.271571581067633,Heavy Metals,Cd_ln_S,Significant (BH-FDR < 0.05),27.3%
HEMA_binary_U,2468,257,2211,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.00637820363671133,0.00286085916930188,0.0110950361136033,0.002,0.00950738623590882,-0.01639004955776961,0.03295178855754747,0.522,0.01588558987262016,-0.00997945154244286,0.04126014800966456,0.242,0.4015087691332495,-3.3437981981466462,4.6592457426207226,0.244,0.00341666666666666,TRUE,40.15087691332495,Consistent,TRUE,40.15087691332495,Volatile Organic Compounds (VOC),HEMA_binary_U,Significant (BH-FDR < 0.05),40.2%
X26_DMA_binary_U,1167,111,1056,2013-2014,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.00647178373775108,0.00170410498666228,0.01329703895643622,0.004,0.00194948387111681,-0.0288445346407398,0.03190988433442685,0.882,0.00842126760886789,-0.02230472180912741,0.03780009333759317,0.602,0.7685047000449272,-3.9283018293116663,5.351265836781762,0.602,0.00546666666666666,TRUE,76.85047000449272,Consistent,TRUE,76.85047000449272,Aromatic Amines,26_DMA_binary_U,Significant (BH-FDR < 0.05),76.9%
Toluene_ln_S,3512,365,3147,2013-2014|2015-2016,WTSVOC2Y,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.00679534568023862,0.00359013602330403,0.01112471002745792,0,0.00638715830281614,-0.0043213088737918,0.02177986583532596,0.314,0.01318250398305477,8.189465435943531e-4,0.03072701516948244,0.04,0.5154821640087184,0.17123519414993454,2.545770161823529,0.04,0,TRUE,51.54821640087184,Consistent,TRUE,51.54821640087184,Volatile Organic Compounds (VOC),Toluene_ln_S,Significant (BH-FDR < 0.05),51.5%
PHE_Cys_binary_U,2428,252,2176,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.00807736078204645,0.00307870115577158,0.01353610473631996,0,0.00682805533756592,-0.01501500590077909,0.03127495461899209,0.57,0.01490541611961237,-0.00731553274470332,0.03978831757306831,0.208,0.5419077681043976,-3.179422214456136,5.694257266685815,0.208,0,TRUE,54.19077681043976,Consistent,TRUE,54.19077681043976,Volatile Organic Compounds (VOC),PHE_Cys_binary_U,Significant (BH-FDR < 0.05),54.2%
o_Xylene_binary_S,3575,375,3200,2013-2014|2015-2016,WTSVOC2Y,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.00811051011288627,0.00428326283717353,0.01298121162745537,0,0.01880942676668356,-0.0022673666080239,0.03977233068196908,0.074,0.02691993687956983,0.00568729122747605,0.04932606320908907,0.018,0.3012826571313963,0.12900823851116305,1.0530690603055657,0.018,0,TRUE,30.12826571313963,Consistent,TRUE,30.12826571313963,Volatile Organic Compounds (VOC),o_Xylene_binary_S,Significant (BH-FDR < 0.05),30.1%
A_a_C_binary_U,1278,119,1159,2013-2014,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.00900144676198885,0.00256172791217356,0.01640387738529648,0.002,0.01340802650732328,-0.01676058689250481,0.04557614034208281,0.348,0.02240947326931214,-0.00970183654664782,0.05577366734396603,0.144,0.4016804256758488,-1.7869060384853968,3.6304600496428407,0.146,0.00341666666666666,TRUE,40.16804256758488,Consistent,TRUE,40.16804256758488,Aromatic Amines,A_a_C_binary_U,Significant (BH-FDR < 0.05),40.2%
GAM_Cys_binary_U,2486,259,2227,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.00976790312727164,0.00426887495957233,0.01602824889205639,0,-1.938626677885356e-4,-0.02467814742616937,0.02356672462051247,0.95,0.00957404045948311,-0.01399840710313816,0.03387380713555665,0.428,1.02024878300953,-11.726183906253311,8.639350623692941,0.428,0,TRUE,102.02487830095302,Inconsistent/suppression,FALSE,,Volatile Organic Compounds (VOC),GAM_Cys_binary_U,Significant (BH-FDR < 0.05),
Benzene_binary_S,3484,368,3116,2013-2014|2015-2016,WTSVOC2Y,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.01050398858888066,0.00580469943412529,0.01614579776927383,0,0.00244932434615652,-0.01883209140625442,0.02409593003746134,0.746,0.01295331293503719,-0.00899414049161188,0.0356654458032331,0.228,0.8109113584732912,-4.958897853237044,5.202910659110742,0.228,0,TRUE,81.09113584732913,Consistent,TRUE,81.09113584732913,Volatile Organic Compounds (VOC),Benzene_binary_S,Significant (BH-FDR < 0.05),81.1%
Ethylbenzene_binary_S,3491,366,3125,2013-2014|2015-2016,WTSVOC2Y,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.01105031262755106,0.00567797037873341,0.0171577998502566,0,0.00927343459049195,-0.01194384688794577,0.0312486176770074,0.43,0.02032374721804301,-0.00176258686271597,0.04355281669736154,0.074,0.5437143312696202,-2.1997668385541633,3.995494368512783,0.074,0,TRUE,54.37143312696202,Consistent,TRUE,54.37143312696202,Volatile Organic Compounds (VOC),Ethylbenzene_binary_S,Significant (BH-FDR < 0.05),54.4%
MeA_a_C_binary_U,1279,118,1161,2013-2014,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.0139841766183199,0.00298601509172982,0.02582551408058622,0.004,0.02461320212840184,-0.01878502479329067,0.06877101291580186,0.288,0.03859737874672175,-0.00604816309390179,0.08535051121172388,0.096,0.36230897206996593,-1.970030533601731,2.9604902331086502,0.1,0.00546666666666666,TRUE,36.230897206996595,Consistent,TRUE,36.230897206996595,Aromatic Amines,MeA_a_C_binary_U,Significant (BH-FDR < 0.05),36.2%
CYHA_Cys_binary_U,1187,137,1050,2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.01447287609782093,-0.00212885894606514,0.03289222533119983,0.078,0.04218629876513416,-0.0123104375114683,0.098553772355556,0.122,0.0566591748629551,0.0047811348576503,0.1146526377683556,0.034,0.25543746679734286,-0.10971089580768437,1.4596599049077306,0.108,0.08415789473684211,FALSE,25.543746679734287,Consistent,TRUE,25.543746679734287,Volatile Organic Compounds (VOC),CYHA_Cys_binary_U,Non-significant,
Furan_binary_S,3586,375,3211,2013-2014|2015-2016,WTSVOC2Y,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.02030690486951871,0.01054595140803188,0.03087153258792834,0,0.02491961830697882,-0.0076495390723895,0.05744886200277101,0.14,0.04522652317649753,0.01158182202533243,0.08073823353254775,0,0.44900433292805975,0.21808208935140944,1.533488938612488,0,0,TRUE,44.90043329280597,Consistent,TRUE,44.90043329280597,Volatile Organic Compounds (VOC),Furan_binary_S,Significant (BH-FDR < 0.05),44.9%
X25_DMF_binary_S,3581,374,3207,2013-2014|2015-2016,WTSVOC2Y,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.02078444131319175,0.01086494725066647,0.03176538201259538,0.002,0.02660845009245006,-0.00330734861518245,0.05888601962309919,0.078,0.04739289140564182,0.01895846135779116,0.08208392098061795,0.002,0.43855609347180496,0.2137928372060553,1.156636028346947,0.004,0.00341666666666666,TRUE,43.8556093471805,Consistent,TRUE,43.8556093471805,Volatile Organic Compounds (VOC),25_DMF_binary_S,Significant (BH-FDR < 0.05),43.9%
