method,effect_scale,estimate,conf_low,conf_high,std_error_link_scale,reference_df,p_value,covariates_used,covariates_dropped_no_variation,exposure,module_rds,outcome,transform,n,events,non_events,n_strata,n_psu,cycles,weight_variables,status,error,p_fdr_bh,family,matrix,nominal,fdr_significant,display_label,significance_rank,label_point
survey_weighted,beta,-3.071884308677874,-3.944692843510652,-2.199075773845096,0.4273712511471278,30,5.3439497369337086e-8,age+sex+eth+marital+PIR_level+edu+alcohol.user,,CEMA_CEM_ln_U,VOC_urine.rds,LE8,natural_log_transformed,2472,,,30,4,2013-2014|2015-2016,WTSA2YR,ok,,5.182100290744074e-7,Volatile Organic Compounds (VOC),urine,TRUE,TRUE,CEMA_CEM_ln_U,15,TRUE
survey_weighted,beta,2.558353128558286,1.8299271951475813,3.286779061968991,0.3566742190363561,30,5.564671453148e-8,age+sex+eth+marital+PIR_level+edu+alcohol.user,,Total_As_ln_U,HM_urine.rds,LE8,natural_log_transformed,2501,,,30,4,2013-2014|2015-2016,WTSA2YR,ok,,5.182100290744074e-7,Heavy Metals,urine,TRUE,TRUE,Total_As_ln_U,16,FALSE
survey_weighted,beta,-10.12703853579592,-12.385025978733204,-7.869051092858635,1.0593670620264566,15,9.008588146698501e-8,age+sex+eth+marital+PIR_level+edu+alcohol.user,,CYHA_Cys_binary_U,VOC_urine.rds,LE8,binary_above_detection_threshold,1187,,,15,2,2015-2016,WTSA2YR,ok,,7.895762552106334e-7,Volatile Organic Compounds (VOC),urine,TRUE,TRUE,CYHA_Cys_binary_U,17,TRUE
survey_weighted,beta,-2.5529330687251983,-3.324325032187432,-1.7815411052629644,0.3777125628278329,30,1.708805151566441e-7,age+sex+eth+marital+PIR_level+edu+alcohol.user,,PMM_Cys_ln_U,VOC_urine.rds,LE8,natural_log_transformed,2458,,,30,4,2013-2014|2015-2016,WTSA2YR,ok,,1.4145109310188877e-6,Volatile Organic Compounds (VOC),urine,TRUE,TRUE,PMM_Cys_ln_U,18,TRUE
survey_weighted,beta,-2.065533763540357,-2.696378614402586,-1.434688912678128,0.3088935802447989,30,2.081138293931701e-7,age+sex+eth+marital+PIR_level+edu+alcohol.user,,X3_HPMA_ln_U,VOC_urine.rds,LE8,natural_log_transformed,2400,,,30,4,2013-2014|2015-2016,WTSA2YR,ok,,1.6320505568201234e-6,Volatile Organic Compounds (VOC),urine,TRUE,TRUE,3_HPMA_ln_U,19,TRUE
survey_weighted,beta,-5.439583729798548,-6.815683632934294,-4.063483826662801,0.6456169258157816,15,4.5232624336819633e-7,age+sex+eth+marital+PIR_level+edu+alcohol.user,,A_a_C_binary_U,AA_urine.rds,LE8,binary_above_detection_threshold,1278,,,15,2,2013-2014,WTSA2YR,ok,,3.344557690351668e-6,Aromatic Amines,urine,TRUE,TRUE,A_a_C_binary_U,20,TRUE
survey_weighted,beta,-5.299531081401788,-6.993310306928016,-3.6057518558755617,0.8293600691231143,30,4.713806140764096e-7,age+sex+eth+marital+PIR_level+edu+alcohol.user,,Benzene_binary_S,VOC_serum.rds,LE8,binary_above_detection_threshold,3484,,,30,4,2013-2014|2015-2016,WTSVOC2Y,ok,,3.344557690351668e-6,Volatile Organic Compounds (VOC),serum,TRUE,TRUE,Benzene_binary_S,21,TRUE
survey_weighted,beta,2.39685076950835,1.6036794887619,3.1900220502548,0.3883768193118384,30,8.642446684267076e-7,age+sex+eth+marital+PIR_level+edu+alcohol.user,,X24D_ln_U,pesticides_urine.rds,LE8,natural_log_transformed,2473,,,30,4,2013-2014|2015-2016,WTSB2YR|WTSC2YR,ok,,5.853293436162701e-6,Pesticides,urine,TRUE,TRUE,24D_ln_U,22,FALSE
survey_weighted,beta,3.9337885565332975,2.6250971226770683,5.242479990389526,0.6408015883573154,30,9.463736813637996e-7,age+sex+eth+marital+PIR_level+edu+alcohol.user,,Tl_ln_U,HM_urine.rds,LE8,natural_log_transformed,2502,,,30,4,2013-2014|2015-2016,WTSA2YR,ok,,5.892006073458074e-6,Heavy Metals,urine,TRUE,TRUE,Tl_ln_U,23,FALSE
survey_weighted,beta,-3.752356346317745,-5.000894984646813,-2.503817707988677,0.6113477339797736,30,9.490479581408978e-7,age+sex+eth+marital+PIR_level+edu+alcohol.user,,HEMA_binary_U,VOC_urine.rds,LE8,binary_above_detection_threshold,2468,,,30,4,2013-2014|2015-2016,WTSA2YR,ok,,5.892006073458074e-6,Volatile Organic Compounds (VOC),urine,TRUE,TRUE,HEMA_binary_U,24,TRUE
