exposure,module_rds,outcome,outcome_label,transform,n,events,non_events,n_strata,n_psu,cycles,weight_variables,covariates_used,status,error,method,effect_scale,estimate,conf_low,conf_high,std_error_link_scale,reference_df,p_value,p_fdr_bh,family,matrix,p_plot,minus_log10_p,direction,nominal,fdr_significant,positive_nominal,display_label
PNP_ln_U,pesticides_urine.rds,DM,Diabetes,natural_log_transformed,2143,525,1618,30,4,2013-2014|2015-2016,WTSB2YR|WTSC2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.6783145634264548,0.5634858907327911,0.816543332359336,0.09081493661207507,30,1.7893805418754e-4,0.0158614205123627,Pesticides,urine,1.7893805418754e-4,3.7472972895824626,-,TRUE,TRUE,FALSE,PNP_ln_U
o_ANS_ln_U,AA_urine.rds,DM,Diabetes,natural_log_transformed,1038,194,844,15,2,2013-2014,WTSA2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.6120638663633245,0.48898812361737903,0.7661171272142266,0.10532664600910394,15,3.07562298448911e-4,0.0158614205123627,Aromatic Amines,urine,3.07562298448911e-4,3.512066902222712,-,TRUE,TRUE,FALSE,o_ANS_ln_U
DMTP_ln_U,pesticides_urine.rds,DM,Diabetes,natural_log_transformed,1027,286,741,15,2,2015-2016,WTSB2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.7284476309689224,0.6261714772741573,0.8474291313526349,0.07098055795367116,15,4.550403835574055e-4,0.0158614205123627,Pesticides,urine,4.550403835574055e-4,3.3419500592156837,-,TRUE,TRUE,FALSE,DMTP_ln_U
BP3_ln_U,PCCP_urine.rds,DM,Diabetes,natural_log_transformed,2114,557,1557,30,4,2013-2014|2015-2016,WTSB2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.8678892254825575,0.8061994887958502,0.9342994112210987,0.03610334619408613,30,4.6956967485579264e-4,0.0158614205123627,Personal Care Products,urine,4.6956967485579264e-4,3.328299957901942,-,TRUE,TRUE,FALSE,BP3_ln_U
Pb_ln_S,HM_serum.rds,DM,Diabetes,natural_log_transformed,3226,771,2455,30,4,2013-2014|2015-2016,WTSH2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.6282735312610794,0.4912750832585866,0.8034757787125516,0.12044005600988979,30,5.617080026949882e-4,0.0158614205123627,Heavy Metals,serum,5.617080026949882e-4,3.2504893886545405,-,TRUE,TRUE,FALSE,Pb_ln_S
DMP_ln_U,pesticides_urine.rds,DM,Diabetes,natural_log_transformed,1019,283,736,15,2,2015-2016,WTSB2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.7112788922682769,0.6006283681969211,0.8423139654644444,0.07933015316133891,15,6.387149199609141e-4,0.0158614205123627,Pesticides,urine,6.387149199609141e-4,3.194692938889746,-,TRUE,TRUE,FALSE,DMP_ln_U
Pb_ln_U,HM_urine.rds,DM,Diabetes,natural_log_transformed,2208,499,1709,30,4,2013-2014|2015-2016,WTSA2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.6549196842045636,0.5173170663754161,0.8291236083971351,0.1154873533819638,30,9.505016381920867e-4,0.02023210629866013,Heavy Metals,urine,9.505016381920867e-4,3.022047130290205,-,TRUE,TRUE,FALSE,Pb_ln_U
MB3_Cys_ln_U,VOC_urine.rds,DM,Diabetes,natural_log_transformed,2139,486,1653,30,4,2013-2014|2015-2016,WTSA2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.7357754369074342,0.6070711393125898,0.8917661514420447,0.09414952264612136,30,0.0027806214769741508,0.051789075008643555,Volatile Organic Compounds (VOC),urine,0.0027806214769741508,2.5558581271552727,-,TRUE,FALSE,FALSE,MB3_Cys_ln_U
DMDTP_binary_U,pesticides_urine.rds,DM,Diabetes,binary_above_detection_threshold,1023,285,738,15,2,2015-2016,WTSB2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.5256055485108172,0.355226330468615,0.7777047164857204,0.1838166366715641,15,0.0032290764194893404,0.05345915405599019,Pesticides,urine,0.0032290764194893404,2.490921676825574,-,TRUE,FALSE,FALSE,DMDTP_binary_U
DETP_binary_U,pesticides_urine.rds,DM,Diabetes,binary_above_detection_threshold,1023,285,738,15,2,2015-2016,WTSB2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.5732024106591838,0.40435739242716134,0.8125510000282354,0.16371008202614037,15,0.00396264261845303,0.05858072879976276,Pesticides,urine,0.00396264261845303,2.402015093911719,-,TRUE,FALSE,FALSE,DETP_binary_U
