"file","size_bytes","md5"
"data/processed/exposure_modules/AA_urine.rds",320593,"c4684704c5ad5431f6e60397ef7d4dad"
"data/processed/exposure_modules/BFR_serum.rds",126079,"a40b68c31cd52253a41f5e95c04c0e32"
"data/processed/exposure_modules/BFR_urine.rds",443261,"993fb6039fdd7b04d7a23958af83d13e"
"data/processed/exposure_modules/gas_serum.rds",110128,"05a76ba0cd9b06a6378c5f7a4d524f6d"
"data/processed/exposure_modules/GYLP_urine.rds",140181,"671179f9d804ef7d57bd3add418d5d20"
"data/processed/exposure_modules/HM_serum.rds",728343,"6d02497e4813812f6b8c1da58635bd52"
"data/processed/exposure_modules/HM_urine.rds",2309566,"1f86b5b833f1a135e978ff51366c96f5"
"data/processed/exposure_modules/PAH_urine.rds",1064869,"049ac3f699a2be577125072874488842"
"data/processed/exposure_modules/PCCP_urine.rds",1037729,"b54e51e0c9730ae3c561a6245edd448d"
"data/processed/exposure_modules/PERNT_urine.rds",704633,"0175480a7d8edb0f3611394a13b56412"
"data/processed/exposure_modules/pesticides_urine.rds",1501212,"884d217da6a56ff9712cdb3a272a5d9f"
"data/processed/exposure_modules/PFC_serum.rds",427070,"3d4eec7f0f3d5786136a93998581fd30"
"data/processed/exposure_modules/PFC_urine.rds",214284,"43d45d5e83cff343ee559482c3430489"
"data/processed/exposure_modules/Phthalates_urine.rds",1770611,"9d49c83e9dcef3ba215099c5a5ba25e4"
"data/processed/exposure_modules/VOC_serum.rds",489384,"aef20dd7866dc35e137614fa2aa4a5a4"
"data/processed/exposure_modules/VOC_urine.rds",1549887,"ca0f34162237dc539e2467480296cc37"
"data/processed/exwas_analysis_long.rds",3257048,"f1197e681bad3b367ab12503129defea"
"data/processed/mixtures/C01_mixture_data.rds",138316,"7bc07987022feb4a0c15c172675b4b65"
"data/processed/mixtures/C02_mixture_data.rds",189386,"fbc2b2be1da46ae597a87339e416a064"
"data/processed/mixtures/C03_mixture_data.rds",432002,"8e69a4e62f327a6667d5128119f3314b"
"data/processed/mixtures/C04_mixture_data.rds",251795,"95a0ad20291faa57e56adc3055985579"
"data/processed/mixtures/C05_mixture_data.rds",238514,"21e6b2f9dd12179c03696cd518f66af4"
"data/processed/mixtures/C06_mixture_data.rds",163852,"c76e182b816fcc3a198c265e2081ef1e"
"data/processed/mixtures/C07_mixture_data.rds",99859,"f15372bb95c73c55003c896e87580334"
"data/processed/mixtures/C08_mixture_data.rds",324778,"4b1e2b328c0c80fa8dc39dbe8e426225"
"data/processed/mixtures/C09_mixture_data.rds",153018,"5eba415a0cc1c1ffcbf023e30d2ff33f"
"data/processed/mixtures/C10_mixture_data.rds",492608,"00fcdbca8f2ecec5c76ba41e032dcb00"
"data/processed/mixtures/C11_mixture_data.rds",199670,"8203a37802331a045096c0788d62c9da"
"data/processed/network/chemical_targets.csv",13600,"64c1f0fe2f331b789b69a87e06a2b961"
"data/processed/network/ctd_targets.csv",53950,"190248c49e62e0e2240e69a1b48ebd1c"
"data/processed/network/cvd_genes_unique.csv",2899,"9bf6bb92853d532df3f742f907f22d57"
"data/processed/network/cvd_genes.csv",7524,"9bdac458639310858ee61049739e80c7"
"data/processed/network/sea_targets.csv",3706,"25b6c1491a9663719018ee65556081ee"
"data/processed/network/superpred_targets.csv",35,"1d44a23fb7ef042c4eb4c72b2bdd55c9"
"data/processed/network/swiss_targets.csv",14081,"e65ea5b6fb290da687a0d074c3e60dea"
"data/processed/phenotype.csv",17353087,"00f7128aeed86fb7c58d0096ddb85a0f"
