"Pollutant","Exposure_Type","Exposure_Scale","n","CVD_events","CVD_nonevents","N_NoTrouble","N_Trouble","Min_Binary_Cell_N","Min_Binary_Cell_Events","Sparse_Binary_Cell","Weight_Variables","OR_Interaction","OR_Interaction_Low","OR_Interaction_High","P_Interaction","OR_NoTrouble","OR_NoTrouble_Low","OR_NoTrouble_High","P_NoTrouble","OR_Trouble","OR_Trouble_Low","OR_Trouble_High","P_Trouble","status","error","P_FDR_BH","Nominal_P_lt_0_05","FDR05","FDR10"
"X25_DCP_ln_U","Continuous","Continuous, per 1 SD",2904,309,2595,2088,816,,,FALSE,"WTSB2YR",1.07116531973982,0.667166449108719,1.71980342198884,0.755270780537637,0.992473752219499,0.749156177370211,1.31481816288607,0.953916540227709,1.06310346412958,0.785421553131317,1.43895844332064,0.665018553863754,"ok",,0.941073917878642,FALSE,FALSE,FALSE
"PFDA_ln_S","Continuous","Continuous, per 1 SD",2824,307,2517,2018,806,,,FALSE,"WTSB2YR",0.942040863814753,0.615503889780908,1.44181215396175,0.763268112301165,0.912255322465027,0.712106505600681,1.1686591357058,0.431790720064979,0.85938179199456,0.605006801122338,1.22070869788858,0.362356630443309,"ok",,0.941073917878642,FALSE,FALSE,FALSE
"BPF_binary_U","Binary","Binary 0/1",2904,309,2595,2087,817,335,50,FALSE,"WTSB2YR",0.911067649229452,0.467572025984521,1.77522224458304,0.76434694848863,1.20791643549549,0.74143761746433,1.96788250389834,0.412454341047967,1.10049358735249,0.617719411839157,1.96057645687085,0.722052709349284,"ok",,0.941073917878642,FALSE,FALSE,FALSE
"MA_ln_U","Continuous","Continuous, per 1 SD",2938,300,2638,2149,789,,,FALSE,"WTSA2YR",1.05417307316941,0.692172119640406,1.60549787641371,0.787647261209424,1.06276387902895,0.881276840674331,1.28162571673213,0.489214264533825,1.1203370644094,0.766991431954592,1.63646565736835,0.522805557827473,"ok",,0.941073917878642,FALSE,FALSE,FALSE
"DEA_ln_U","Continuous","Continuous, per 1 SD",2926,317,2609,2117,809,,,FALSE,"WTSB2YR|WTSC2YR",1.04938990878245,0.69026752459277,1.59535128253951,0.804701507977707,0.922791654424442,0.655855950872053,1.29837113827076,0.614765100828259,0.968368250061676,0.785261153541523,1.19417223620234,0.742067180536863,"ok",,0.941073917878642,FALSE,FALSE,FALSE
"MiBP_ln_U","Continuous","Continuous, per 1 SD",2904,309,2595,2088,816,,,FALSE,"WTSB2YR",1.04801558313306,0.688570339751519,1.59509726034101,0.810402759646946,1.07132319257733,0.719173393235016,1.59590634713459,0.710840267827688,1.1227634003929,0.919638897714669,1.3707528644063,0.227880270563546,"ok",,0.941073917878642,FALSE,FALSE,FALSE
"MEP_ln_U","Continuous","Continuous, per 1 SD",2904,309,2595,2088,816,,,FALSE,"WTSB2YR",0.95552224231182,0.627088295857719,1.45597160971374,0.816435603665757,1.04731166327094,0.819930165133907,1.33775017271649,0.685634778812945,1.00072958888797,0.678566256286409,1.47584661158452,0.996777261984144,"ok",,0.941073917878642,FALSE,FALSE,FALSE
"U_ln_U","Continuous","Continuous, per 1 SD",3011,306,2705,2204,807,,,FALSE,"WTSA2YR",0.960200141593985,0.653034437433276,1.41184638828686,0.820893799074161,1.11317806219147,0.889204389881766,1.39356644236668,0.316028244285697,1.06887373293557,0.807144557220201,1.41547266439404,0.612044378832478,"ok",,0.941073917878642,FALSE,FALSE,FALSE
"ATCA_ln_U","Continuous","Continuous, per 1 SD",2924,297,2627,2137,787,,,FALSE,"WTSA2YR",0.962913814160009,0.6533017199814,1.4192569606683,0.834143829353819,0.831989247300069,0.650733199185423,1.06373258424409,0.127681070511266,0.801133939457825,0.542833784517447,1.18234274884301,0.235899299505545,"ok",,0.941073917878642,FALSE,FALSE,FALSE
"X1_PY_ln_U","Continuous","Continuous, per 1 SD",3001,304,2697,2196,805,,,FALSE,"WTSA2YR",1.03733424136378,0.70854814071636,1.51868626345958,0.836258137536084,1.30312186357223,0.998142230916711,1.70128719006344,0.0513579205422402,1.35177292975324,0.976761269331062,1.8707642399305,0.0659093036189915,"ok",,0.941073917878642,FALSE,FALSE,FALSE
"X4FPBA_binary_U","Binary","Binary 0/1",2966,325,2641,2133,833,99,12,FALSE,"WTSB2YR|WTSC2YR",0.908159242708738,0.324386046954566,2.54250519669492,0.840584252125895,1.17285902715368,0.637229414461696,2.15871751422199,0.576708194375877,1.065142765904,0.424383414231557,2.67335874520907,0.882753286591942,"ok",,0.941073917878642,FALSE,FALSE,FALSE
"Perchlorate_ln_U","Continuous","Continuous, per 1 SD",2995,302,2693,2192,803,,,FALSE,"WTSA2YR",1.04056256721907,0.662913665686983,1.63335063424202,0.849635258508127,0.928968974553496,0.698873512748642,1.23482052179785,0.580263406886626,0.96665034102825,0.719818885858442,1.29812220847147,0.804780280098454,"ok",,0.941073917878642,FALSE,FALSE,FALSE
"PFUnDA_binary_S","Binary","Binary 0/1",2824,307,2517,2018,806,337,58,FALSE,"WTSB2YR",0.940420752407879,0.453917255182129,1.9483533209253,0.856127588935164,0.921119495506623,0.526250338050612,1.61227663652498,0.752718399397914,0.866239889021904,0.481097543166215,1.55970770583094,0.601685945136496,"ok",,0.941073917878642,FALSE,FALSE,FALSE
"BPA_ln_U","Continuous","Continuous, per 1 SD",2904,309,2595,2088,816,,,FALSE,"WTSB2YR",1.0294179836871,0.714890317321165,1.48232723183232,0.864246615394156,1.02565378399515,0.783754001018258,1.34221411725726,0.839592177456235,1.05582645028133,0.816078616790601,1.3660074779287,0.651549014010908,"ok",,0.941073917878642,FALSE,FALSE,FALSE
"AsB_binary_U","Binary","Binary 0/1",3018,309,2709,2208,810,401,63,FALSE,"WTSA2YR",0.94000092776524,0.421907346279804,2.09430281788343,0.868097829017209,1.14134039788935,0.682173138066442,1.9095707983262,0.583175104696101,1.07286103291194,0.574658132924898,2.0029835653458,0.808746119586967,"ok",,0.941073917878642,FALSE,FALSE,FALSE
"MCOP_ln_U","Continuous","Continuous, per 1 SD",2904,309,2595,2088,816,,,FALSE,"WTSB2YR",1.02882354982099,0.698069981186456,1.51629195523815,0.874815992104666,1.0278825272937,0.820957507624717,1.28696367364078,0.792701691210317,1.05750975052928,0.756780817416742,1.47774209748324,0.719986607410109,"ok",,0.941073917878642,FALSE,FALSE,FALSE
"DMA_ln_U","Continuous","Continuous, per 1 SD",3015,308,2707,2206,809,,,FALSE,"WTSA2YR",0.970748763194233,0.64305623314378,1.46542885780944,0.876811935570135,1.06219711554722,0.832644504393904,1.35503531978286,0.596342318648501,1.03112653618595,0.742907459162864,1.4311633575801,0.840716052416038,"ok",,0.941073917878642,FALSE,FALSE,FALSE
"PGA_ln_U","Continuous","Continuous, per 1 SD",2944,294,2650,2158,786,,,FALSE,"WTSA2YR",0.963129091036372,0.570109742374986,1.6270861152736,0.877558298531571,1.28061058097502,0.992091615384834,1.65303630700379,0.0563317237939083,1.23339330482603,0.796044938922354,1.91102156424621,0.314299184266621,"ok",,0.941073917878642,FALSE,FALSE,FALSE
"EO_ln_S","Continuous","Continuous, per 1 SD",2895,301,2594,2102,793,,,FALSE,"WTSA2YR",1.02548230311138,0.717236282802145,1.46620295042257,0.879695685576426,1.26713880149142,1.00765088701143,1.59344944061653,0.0439823265316731,1.29942841651522,0.913135100440058,1.84913952911624,0.130512176349078,"ok",,0.941073917878642,FALSE,FALSE,FALSE
"X1_PH_ln_U","Continuous","Continuous, per 1 SD",3002,305,2697,2196,806,,,FALSE,"WTSA2YR",0.96606567512029,0.582597580533417,1.60193402758577,0.883288677307146,1.24687476887702,0.862278143393395,1.80301066561166,0.214708818977424,1.20456291538563,0.86262421708843,1.68204391712966,0.245486419757781,"ok",,0.941073917878642,FALSE,FALSE,FALSE
"X2_MHA_ln_U","Continuous","Continuous, per 1 SD",2830,287,2543,2064,766,,,FALSE,"WTSA2YR",1.02176834276521,0.679409448376516,1.53664413818779,0.909625343580549,1.07183530232777,0.760876987901673,1.50987733047923,0.664528517026416,1.0951673805767,0.808492538090755,1.4834912321041,0.523278461151198,"ok",,0.96016008489058,FALSE,FALSE,FALSE
"Cd_ln_U","Continuous","Continuous, per 1 SD",3011,306,2705,2204,807,,,FALSE,"WTSA2YR",0.982996961393745,0.638815958059952,1.51261566640239,0.931786011025773,1.32897843242478,0.957897458362106,1.84381288250853,0.0822840749278717,1.30638176083138,0.971316552474148,1.75703101186297,0.0726643111694101,"ok",,0.974528488595763,FALSE,FALSE,FALSE
"X2_HPMA_ln_U","Continuous","Continuous, per 1 SD",2966,298,2668,2177,789,,,FALSE,"WTSA2YR",1.0102116630948,0.629830293947581,1.62032155972749,0.963098631187807,1.23928770871916,0.908467186486339,1.69057732390149,0.156574563815052,1.25194289727813,0.831687280987615,1.88455571447954,0.251937374157524,"ok",,0.991491127569378,FALSE,FALSE,FALSE
"Pb_ln_U","Continuous","Continuous, per 1 SD",3011,306,2705,2204,807,,,FALSE,"WTSA2YR",1.00589563481984,0.682096383921772,1.48340623407504,0.974027307658579,1.00414297083837,0.763074686433761,1.32136883035189,0.974151724892419,1.01006303110134,0.753996383082293,1.35309313106649,0.941270486755534,"ok",,0.991491127569378,FALSE,FALSE,FALSE
"X34_MHA_ln_U","Continuous","Continuous, per 1 SD",2984,300,2684,2187,797,,,FALSE,"WTSA2YR",1.00638120888464,0.653145968249711,1.55065358561457,0.974745568641953,1.14584302224999,0.845369977291423,1.55311433680875,0.345664733292436,1.15315488592398,0.785237158689447,1.69345805431535,0.43170347073623,"ok",,0.991491127569378,FALSE,FALSE,FALSE
"X24D_ln_U","Continuous","Continuous, per 1 SD",2965,325,2640,2132,833,,,FALSE,"WTSB2YR|WTSC2YR",0.996839375763704,0.689703730117491,1.44074723345877,0.985246400886286,0.748073991973208,0.575764242545926,0.971951114908101,0.0328132552871444,0.745709611183635,0.53974552374156,1.03026852424238,0.0710543397897309,"ok",,0.991491127569378,FALSE,FALSE,FALSE
"IHg_binary_S","Binary","Binary 0/1",4426,456,3970,3202,1224,276,38,FALSE,"WTSH2YR",1.00433186887173,0.419893022056724,2.40223687902848,0.991491127569378,0.815634088712569,0.509331904614258,1.30614037849016,0.361265989109789,0.819167308632185,0.417512318641444,1.60722222931098,0.528165378818718,"ok",,0.991491127569378,FALSE,FALSE,FALSE
"A_a_C_binary_U","Binary","Binary 0/1",1506,140,1366,1109,397,170,23,FALSE,"WTSA2YR",1.04919732024105,,,,1.20803915339266,,,,1.26747144248584,,,,"ok",,,,,
"CYHA_Cys_binary_U","Binary","Binary 0/1",1462,158,1304,1067,395,101,23,FALSE,"WTSA2YR",1.88135099067441,,,,1.41818858924693,,,,2.66811050734286,,,,"ok",,,,,
"DEP_ln_U","Continuous","Continuous, per 1 SD",1398,159,1239,1002,396,,,FALSE,"WTSB2YR",0.872258191996301,,,,0.931620952389128,,,,0.812614007556812,,,,"ok",,,,,
"DETP_binary_U","Binary","Binary 0/1",1391,158,1233,999,392,135,26,FALSE,"WTSB2YR",0.576940480633111,,,,0.673199287495145,,,,0.388395920489316,,,,"ok",,,,,
"DMDTP_binary_U","Binary","Binary 0/1",1391,157,1234,995,396,193,34,FALSE,"WTSB2YR",0.935482731393703,,,,1.05793414988814,,,,0.989679128172033,,,,"ok",,,,,
"DMP_ln_U","Continuous","Continuous, per 1 SD",1389,159,1230,995,394,,,FALSE,"WTSB2YR",0.829729185945993,,,,1.09006513953518,,,,0.904458860854626,,,,"ok",,,,,
"DMTP_ln_U","Continuous","Continuous, per 1 SD",1396,158,1238,1000,396,,,FALSE,"WTSB2YR",0.923849970256619,,,,1.25360942614917,,,,1.15814703106133,,,,"ok",,,,,
"DPCP_binary_U","Binary","Binary 0/1",1415,156,1259,1012,403,44,10,FALSE,"WTSSCH2Y",1.34647314550638,,,,1.05932040620837,,,,1.42634647944649,,,,"ok",,,,,
"Harman_ln_U","Continuous","Continuous, per 1 SD",1507,139,1368,1110,397,,,FALSE,"WTSA2YR",1.17576366752683,,,,0.891696713907122,,,,1.04842459866506,,,,"ok",,,,,
"IPM1_Cys_ln_U","Continuous","Continuous, per 1 SD",1460,158,1302,1065,395,,,FALSE,"WTSA2YR",1.26682461372681,,,,1.48306178185772,,,,1.8787791689349,,,,"ok",,,,,
"IPM3_Cys_ln_U","Continuous","Continuous, per 1 SD",1460,158,1302,1065,395,,,FALSE,"WTSA2YR",1.20969184271214,,,,1.48190608877477,,,,1.79264970725629,,,,"ok",,,,,
"IPPPP_binary_U","Binary","Binary 0/1",1211,147,1064,857,354,59,10,FALSE,"WTSSBI2Y",0.635418160093954,,,,1.15212629412126,,,,0.732081970006399,,,,"ok",,,,,
"MCOCH_binary_U","Binary","Binary 0/1",1388,157,1231,995,393,190,35,FALSE,"WTSB2YR",0.848391450482849,,,,1.38027199726724,,,,1.17101096182242,,,,"ok",,,,,
"MDA_binary_U","Binary","Binary 0/1",1395,159,1236,999,396,64,8,FALSE,"WTSB2YR",1.1315588657584,,,,0.344871904055484,,,,0.390242860584962,,,,"ok",,,,,
"MeA_a_C_binary_U","Binary","Binary 0/1",1507,139,1368,1111,396,99,13,FALSE,"WTSA2YR",0.59171347100949,,,,1.84427965418261,,,,1.09128511568857,,,,"ok",,,,,
"n_PFOA_ln_S","Continuous","Continuous, per 1 SD",1352,153,1199,964,388,,,FALSE,"WTSB2YR",0.77747188181798,,,,0.775716574943262,,,,0.603097825278536,,,,"ok",,,,,
"n_PFOS_ln_S","Continuous","Continuous, per 1 SD",1352,153,1199,964,388,,,FALSE,"WTSB2YR",0.876254173137952,,,,0.856168016024089,,,,0.750220796948349,,,,"ok",,,,,
"NDMA_binary_U","Binary","Binary 0/1",1203,146,1057,850,353,100,16,FALSE,"WTSSBI2Y",0.637360691727056,,,,1.05470316316806,,,,0.67222633764351,,,,"ok",,,,,
"Norharman_ln_U","Continuous","Continuous, per 1 SD",1489,135,1354,1100,389,,,FALSE,"WTSA2YR",1.01872365471243,,,,0.904986221737164,,,,0.92193087127248,,,,"ok",,,,,
"o_ANS_ln_U","Continuous","Continuous, per 1 SD",1349,121,1228,999,350,,,FALSE,"WTSA2YR",0.605020893431627,,,,1.11212120897911,,,,0.672856567460803,,,,"ok",,,,,
"o_TLD_ln_U","Continuous","Continuous, per 1 SD",1405,128,1277,1037,368,,,FALSE,"WTSA2YR",0.933508834156285,,,,1.16132969529809,,,,1.08411152992879,,,,"ok",,,,,
"PFBA_binary_U","Binary","Binary 0/1",1389,145,1244,996,393,49,7,FALSE,"WTSSBH2Y",2.04887168943988,,,,0.425022435804212,,,,0.87081643609603,,,,"ok",,,,,
"PFHpA_binary_S","Binary","Binary 0/1",1472,154,1318,1054,418,46,9,FALSE,"WTSB2YR",0.645238467380396,,,,0.919787072952278,,,,0.593482001268028,,,,"ok",,,,,
"PFHxA_binary_U","Binary","Binary 0/1",1389,145,1244,996,393,75,13,FALSE,"WTSSBH2Y",1.19667629579969,,,,0.590317970915312,,,,0.706419522778927,,,,"ok",,,,,
"PhIP_binary_U","Binary","Binary 0/1",1507,140,1367,1109,398,175,26,FALSE,"WTSA2YR",1.39526262085405,,,,0.892459613701625,,,,1.24521553961972,,,,"ok",,,,,
"PPDA_binary_U","Binary","Binary 0/1",1284,141,1143,943,341,71,11,FALSE,"WTSA2YR",2.04237919612218,,,,1.13028376490675,,,,2.30846804716021,,,,"ok",,,,,
"Sm_PFOS_ln_S","Continuous","Continuous, per 1 SD",1352,153,1199,964,388,,,FALSE,"WTSB2YR",0.781909664623909,,,,0.834110543280587,,,,0.65219909515579,,,,"ok",,,,,
"TBPPP_binary_U","Binary","Binary 0/1",1213,147,1066,859,354,50,7,FALSE,"WTSSBI2Y",2.16085636439517,,,,0.56008169496392,,,,1.21025609514402,,,,"ok",,,,,
"TTCA_binary_U","Binary","Binary 0/1",1533,144,1389,1125,408,157,20,FALSE,"WTSA2YR",0.666941638122714,,,,1.69646406098494,,,,1.13144251984961,,,,"ok",,,,,
"X1_AN_ln_U","Continuous","Continuous, per 1 SD",1433,124,1309,1060,373,,,FALSE,"WTSA2YR",0.708833888098766,,,,1.29530524145967,,,,0.918156250578566,,,,"ok",,,,,
"X2_AN_ln_U","Continuous","Continuous, per 1 SD",1443,121,1322,1074,369,,,FALSE,"WTSA2YR",0.794442007768123,,,,1.16903404726087,,,,0.928729755655221,,,,"ok",,,,,
"X26_DMA_binary_U","Binary","Binary 0/1",1379,131,1248,1012,367,109,16,FALSE,"WTSA2YR",0.643163527285574,,,,1.32738556021383,,,,0.853725978975068,,,,"ok",,,,,
"X4_ABP_ln_U","Continuous","Continuous, per 1 SD",1461,130,1331,1079,382,,,FALSE,"WTSA2YR",0.870639252532921,,,,1.21479398418355,,,,1.05764732637106,,,,"ok",,,,,
"X4_MDA_binary_U","Binary","Binary 0/1",1395,154,1241,1013,382,188,32,FALSE,"WTSA2YR",2.40629301567087,,,,0.548560567832115,,,,1.31999746304686,,,,"ok",,,,,
"X5OHIMI_binary_U","Binary","Binary 0/1",1140,135,1005,812,328,58,8,FALSE,"WTSSBI2Y",6.24085789905467,,,,0.349591505851344,,,,2.18175091073478,,,,"ok",,,,,
