"Pollutant","Modifier","Outcome","Exposure_Type","Exposure_Scale","n","N_Healthy","N_Risk","Beta_Interaction","Interaction_Low","Interaction_High","P_Interaction","P_FDR_BH_within_modifier","P_FDR_BH_all_tests","Toxicant_Beta_Healthy","Toxicant_Beta_Healthy_Low","Toxicant_Beta_Healthy_High","Toxicant_Beta_Risk","Toxicant_Beta_Risk_Low","Toxicant_Beta_Risk_High","Interaction_Direction"
"ATCA_ln_U","Sleep","LE8_no_sleep","Continuous","Continuous, per 1 SD",2197,1221,976,1.40701733553952,-0.0603900054514279,2.87442467653047,0.0585357180759529,0.96782499090822,0.529982234921422,-0.459942523588084,-1.80425591265464,0.884370865478476,0.947074811951435,-0.660179376572667,2.55432900047554,"More positive / less negative toxicant–LE8_no_sleep association in lifestyle-risk group"
"MEHHP_ln_U","Sleep","LE8_no_sleep","Continuous","Continuous, per 1 SD",2212,1217,995,-1.06473522041064,-2.30028737432619,0.170816933504917,0.0844211340532998,0.96782499090822,0.604203180326258,0.00578122989368563,-1.08974409469966,1.10130655448703,-1.05895399051695,-2.26284963341319,0.144941652379285,"More negative / less positive toxicant–LE8_no_sleep association in lifestyle-risk group"
"MCOCH_binary_U","Sleep","LE8_no_sleep","Binary","Binary 0/1",1039,584,455,2.91769782999131,-0.416873055863963,6.25226871584657,0.0863565760916391,0.96782499090822,0.604203180326258,-3.42224442230552,-6.46080784040243,-0.38368100420862,-0.504546592314218,-3.25789655712567,2.24880337249723,"More positive / less negative toxicant–LE8_no_sleep association in lifestyle-risk group"
"MHBP_ln_U","Sleep","LE8_no_sleep","Continuous","Continuous, per 1 SD",2131,1176,955,-1.09202253461126,-2.37972195226099,0.195676883038464,0.0888323972742701,0.96782499090822,0.604203180326258,2.02315236884717,0.743267201856161,3.30303753583818,0.931129834235909,-0.631701180015284,2.4939608484871,"More negative / less positive toxicant–LE8_no_sleep association in lifestyle-risk group"
"MCPP_ln_U","Sleep","LE8_no_sleep","Continuous","Continuous, per 1 SD",2212,1217,995,-1.46736345716062,-3.20133212679598,0.266605212474746,0.0894257773484649,0.96782499090822,0.604203180326258,1.18499878243277,-0.0505253763533975,2.42052294121893,-0.282364674727852,-1.26292075116843,0.698191401712727,"More negative / less positive toxicant–LE8_no_sleep association in lifestyle-risk group"
"Sb_ln_U","Sleep","LE8_no_sleep","Continuous","Continuous, per 1 SD",2266,1251,1015,1.24716541636456,-0.230791665209804,2.72512249793893,0.0902249715587868,0.96782499090822,0.604203180326258,-0.174515981573864,-1.26938817285717,0.920356209709445,1.0726494347907,0.0745516110026585,2.07074725857874,"More positive / less negative toxicant–LE8_no_sleep association in lifestyle-risk group"
"X2_NP_ln_U","Sleep","LE8_no_sleep","Continuous","Continuous, per 1 SD",2222,1225,997,1.64004181778924,-0.365091425131391,3.64517506070987,0.0992772314857797,0.96782499090822,0.62589063985396,-3.96162776400422,-5.39112139930207,-2.53213412870636,-2.32158594621498,-3.81444232901801,-0.828729563411944,"More positive / less negative toxicant–LE8_no_sleep association in lifestyle-risk group"
"Sn_ln_U","Sleep","LE8_no_sleep","Continuous","Continuous, per 1 SD",2265,1250,1015,1.63627225558898,-0.405099366905866,3.67764387808382,0.105410178417807,0.96782499090822,0.62589063985396,-1.612022078627,-3.06981769312927,-0.154226464124736,0.0242501769619772,-1.5284323921475,1.57693274607146,"More positive / less negative toxicant–LE8_no_sleep association in lifestyle-risk group"
"MCOP_ln_U","Sleep","LE8_no_sleep","Continuous","Continuous, per 1 SD",2212,1217,995,-1.31853076199696,-2.96698634258361,0.329924818589691,0.10606536010948,0.96782499090822,0.62589063985396,0.885059842052861,-0.503518108048124,2.27363779215385,-0.433470919944099,-1.39876354006114,0.531821700172942,"More negative / less positive toxicant–LE8_no_sleep association in lifestyle-risk group"
"DMP_ln_U","Sleep","LE8_no_sleep","Continuous","Continuous, per 1 SD",1040,586,454,2.29989509089933,-0.566296897321976,5.16608707912064,0.115784144979242,0.96782499090822,0.633958646193645,0.297280015203189,-1.62812173149477,2.22268176190115,2.59717510610252,1.04571704022268,4.14863317198235,"More positive / less negative toxicant–LE8_no_sleep association in lifestyle-risk group"
"X24_DCP_ln_U","Sleep","LE8_no_sleep","Continuous","Continuous, per 1 SD",2212,1217,995,-1.62966563414247,-3.7357381539053,0.476406885620362,0.116599690479266,0.96782499090822,0.633958646193645,1.17207272595673,-0.315116514947117,2.65926196686057,-0.457592908185741,-1.63629532427159,0.721109507900108,"More negative / less positive toxicant–LE8_no_sleep association in lifestyle-risk group"
"PFBA_binary_U","Sleep","LE8_no_sleep","Binary","Binary 0/1",1094,592,502,-4.4160627256085,-9.97056057374642,1.13843512252943,0.11917281806779,0.96782499090822,0.633958646193645,4.81759965967745,2.33417713097184,7.30102218838306,0.401536934068955,-3.89444012264006,4.69751399077797,"More negative / less positive toxicant–LE8_no_sleep association in lifestyle-risk group"
