"Class","Exposure_Category","Pollutant","Pollutant_Label","Modifier","Family","Exposure_Type","RERI_Exposure_Definition","Exposure_Cut_for_RERI","n","CVD_events","RERI","RERI_Low","RERI_High","RERI_P_boot","valid_bootstrap_reps","Any_Sparse_Cell","status","error","RERI_P_FDR_BH_within_family","RERI_P_FDR_BH_all_component_tests","RERI_Nominal_P_lt_0_05","RERI_FDR05_within_family","RERI_FDR10_within_family","RERI_Direction"
"C03","Urinary metals","Cs_ln_U","Cs","Diet","C04_x_Diet","Continuous","Median split of continuous exposure",1.43960251815014,2502,262,0.0980726439938138,-0.540392470183717,0.546415241369138,0.815184815184815,1000,FALSE,"ok",,0.902255639097744,0.879859271163619,FALSE,FALSE,FALSE,"Positive additive interaction"
"C03","Urinary metals","Sr_ln_U","Sr","Diet","C04_x_Diet","Continuous","Median split of continuous exposure",4.55219342875133,2502,262,-0.0257428899839747,-0.613464890382225,0.410579829047317,0.849150849150849,1000,FALSE,"ok",,0.902255639097744,0.879859271163619,FALSE,FALSE,FALSE,"Negative additive interaction"
"C03","Urinary metals","Hg_binary_U","Hg","Diet","C04_x_Diet","Binary","Original binary 0/1",,2510,264,-0.0478552928987384,-0.719684806166721,0.449829522296737,0.857142857142857,1000,FALSE,"ok",,0.902255639097744,0.879859271163619,FALSE,FALSE,FALSE,"Negative additive interaction"
"C03","Urinary metals","Total_As_ln_U","Total As","Diet","C04_x_Diet","Continuous","Median split of continuous exposure",1.83280001909832,2501,262,-0.000859704113384874,-0.726811219864573,0.520311738339944,0.995004995004995,1000,FALSE,"ok",,0.995004995004995,0.995004995004995,FALSE,FALSE,FALSE,"Negative additive interaction"
"C04","Urinary PAH metabolites","X2_NP_ln_U","2-NP","Smoking","C05_x_Smoking","Continuous","Median split of continuous exposure",6.3023136788413,2453,256,1.6645953946188,1.11565010016974,2.35181242548684,0.001998001998002,1000,FALSE,"ok",,0.013986013986014,0.0187812187812188,TRUE,TRUE,TRUE,"Positive additive interaction"
"C04","Urinary PAH metabolites","X1_NP_ln_U","1-NP","Smoking","C05_x_Smoking","Continuous","Median split of continuous exposure",4.93216031770208,2414,247,0.953903853993039,0.323309997148422,1.65836940577102,0.00999000999000999,1000,FALSE,"ok",,0.034965034965035,0.0586913086913087,TRUE,TRUE,TRUE,"Positive additive interaction"
"C04","Urinary PAH metabolites","X2_FL_ln_U","2-FL","Smoking","C05_x_Smoking","Continuous","Median split of continuous exposure",2.85055026370949,2493,261,0.763249971249977,0.130178118406846,1.52324149237387,0.01998001998002,1000,FALSE,"ok",,0.0466200466200466,0.0782550782550783,TRUE,TRUE,TRUE,"Positive additive interaction"
"C04","Urinary PAH metabolites","X3_FL_ln_U","3-FL","Smoking","C05_x_Smoking","Continuous","Median split of continuous exposure",1.96611285637283,2489,261,0.502667423513684,-0.205495878548141,1.24933767860939,0.167832167832168,1000,FALSE,"ok",,0.293706293706294,0.342961386439647,FALSE,FALSE,FALSE,"Positive additive interaction"
"C04","Urinary PAH metabolites","X1_PY_ln_U","1-PY","Smoking","C05_x_Smoking","Continuous","Median split of continuous exposure",2.54489856041598,2493,261,0.461045300337343,-0.342492282437761,1.1886388005089,0.261738261738262,1000,FALSE,"ok",,0.366433566433566,0.439346367917797,FALSE,FALSE,FALSE,"Positive additive interaction"
"C04","Urinary PAH metabolites","X23_OH_PH_ln_U","2,3-PH","Smoking","C05_x_Smoking","Continuous","Median split of continuous exposure",2.52650323780167,2494,262,0.256273052140292,-0.573387448466861,1.03760130847898,0.519480519480519,1000,FALSE,"ok",,0.606060606060606,0.697588126159555,FALSE,FALSE,FALSE,"Positive additive interaction"
"C04","Urinary PAH metabolites","X1_PH_ln_U","1-PH","Smoking","C05_x_Smoking","Continuous","Median split of continuous exposure",2.3473711919197,2494,262,0.154985080752074,-0.485214551565037,0.945846759760497,0.619380619380619,1000,FALSE,"ok",,0.619380619380619,0.804546804546804,FALSE,FALSE,FALSE,"Positive additive interaction"
