"Pollutant","Modifier","Outcome","Exposure_Type","Exposure_Scale","n","N_Healthy","N_Risk","Mean_LE8_Healthy","Mean_LE8_Risk","Weight_Variables","status","error","Beta_Interaction","SE_Interaction","Interaction_Low","Interaction_High","P_Interaction","Toxicant_Beta_Healthy","Toxicant_Beta_Healthy_Low","Toxicant_Beta_Healthy_High","Toxicant_P_Healthy","Toxicant_Beta_Risk","Toxicant_Beta_Risk_Low","Toxicant_Beta_Risk_High","Toxicant_P_Risk","P_FDR_BH_within_modifier","P_FDR_BH_all_tests","Nominal_P_lt_0_05","FDR05_within_modifier","FDR10_within_modifier","FDR05_all_tests"
"MA_ln_U","PhysicalActivity","LE8_no_PA","Continuous","Continuous, per 1 SD",2210,1335,875,68.5708935259497,63.7363265306122,"WTSA2YR","ok",,1.60064322703348,0.57659360530615,0.331569258350911,2.86971719571605,0.0180313693486892,-1.79217841484496,-2.64158491139061,-0.942771918299315,0.000712112992947086,-0.191535187811478,-1.60570071386831,1.22263033824535,0.771180273959249,0.288616097514176,0.420286715374257,TRUE,FALSE,FALSE,FALSE
"PrP_ln_U","PhysicalActivity","LE8_no_PA","Continuous","Continuous, per 1 SD",2212,1313,899,68.0720269829181,64.6639122834896,"WTSB2YR","ok",,-1.61225123450509,0.592590114797798,-2.91653328319204,-0.307969185818132,0.0199070531351613,2.27389948721699,1.37339118463206,3.17440778980192,0.000170758424786649,0.661648252711905,-0.449442063385996,1.7727385688098,0.216672339779808,0.288616097514176,0.420286715374257,TRUE,FALSE,FALSE,FALSE
"PNP_ln_U","PhysicalActivity","LE8_no_PA","Continuous","Continuous, per 1 SD",2222,1341,881,68.3951209118994,64.1981514512729,"WTSB2YR|WTSC2YR","ok",,-1.46243716184936,0.553990343509399,-2.68176168674761,-0.243112636951097,0.0230004054752541,1.64581279416455,0.820015484146724,2.47161010418237,0.00108719318682724,0.18337563231519,-0.715941780380906,1.08269304501129,0.66229376917622,0.288616097514176,0.420286715374257,TRUE,FALSE,FALSE,FALSE
"CYHA_Cys_binary_U","PhysicalActivity","LE8_no_PA","Binary","Binary 0/1",1074,616,458,67.6774118738404,63.1565814098565,"WTSA2YR","ok",,-3.86138117550724,1.70150163930749,-7.19626310818578,-0.526499242828707,0.023244249464229,-10.2196145872481,-12.6385211186277,-7.80070805586846,1.22522549363767e-16,-14.0809957627553,-17.1172465369429,-11.0447449885677,9.94222958472617e-20,0.288616097514176,0.420286715374257,TRUE,FALSE,FALSE,FALSE
"DPHP_ln_U","PhysicalActivity","LE8_no_PA","Continuous","Continuous, per 1 SD",2049,1229,820,68.1797047541555,64.1498257839721,"WTSSBI2Y|WTSSCH2Y","ok",,-1.91500569004726,0.748609454124738,-3.56268398928011,-0.267327390814413,0.0266092681082563,1.0644412063714,0.104665949998942,2.02421646274386,0.032764095808309,-0.850564483675862,-2.0874309902057,0.38630202285398,0.158325516896762,0.304983149856168,0.440531216458909,TRUE,FALSE,FALSE,FALSE
"MeFOSAA_binary_S","PhysicalActivity","LE8_no_PA","Binary","Binary 0/1",2211,1301,910,67.869221477984,64.6993720565149,"WTSB2YR","ok",,3.30930091786974,1.35150769837388,0.33465252999921,6.28394930574026,0.0323259947652616,-0.421066671389115,-2.43284049031899,1.59070714754076,0.654009980612164,2.88823424648062,0.694516841563048,5.0819516513982,0.0145020020734496,0.344040944287427,0.450973920290067,TRUE,FALSE,FALSE,FALSE
"X14_DCB_binary_S","PhysicalActivity","LE8_no_PA","Binary","Binary 0/1",3343,1985,1358,68.4649154372076,64.0022091310751,"WTSVOC2Y","ok",,2.32760687331776,0.988759580976572,0.151361708689893,4.50385203794562,0.0382119815348489,-0.596924499257593,-2.07653265398832,0.882683655473131,0.393568057433952,1.73068237406016,-0.36338664748712,3.82475139560745,0.0962049276661594,0.36300927827085,0.464651876186689,TRUE,FALSE,FALSE,FALSE
"DMP_ln_U","PhysicalActivity","LE8_no_PA","Continuous","Continuous, per 1 SD",1040,640,400,67.4296875,63.6410714285714,"WTSB2YR","ok",,-2.16812637906736,1.05025095987762,-4.22658043515611,-0.109672322978599,0.0389808620961987,1.96506105576638,0.969916478879004,2.96020563265376,0.000108728014981093,-0.203065323300973,-2.08496470271058,1.67883405610863,0.832505838244729,0.36300927827085,0.464651876186689,TRUE,FALSE,FALSE,FALSE
"ATCA_ln_U","PhysicalActivity","LE8_no_PA","Continuous","Continuous, per 1 SD",2197,1321,876,68.5838650373094,63.7622309197652,"WTSA2YR","ok",,1.73716116029604,0.778980964764675,0.0226356168551196,3.45168670373696,0.0475227651781355,-0.600100932509981,-1.76360405223441,0.56340218721445,0.280420258110047,1.13706022778606,-0.291707753556995,2.56582820912911,0.107634225776001,0.408821588851686,0.529982234921422,TRUE,FALSE,FALSE,FALSE
"PMA_binary_U","Sleep","LE8_no_sleep","Binary","Binary 0/1",2222,1227,995,66.4652462451973,62.8528356066045,"WTSA2YR","ok",,4.08533194808786,1.6344872433669,0.48784978107822,7.68281411509749,0.0295348213340164,-3.81069782250719,-5.93618845639479,-1.68520718861959,0.00228815605712929,0.274634125580667,-2.54229688703722,3.09156513819856,0.834018621870665,0.96782499090822,0.450973920290067,TRUE,FALSE,FALSE,FALSE
"NDMA_binary_U","Sleep","LE8_no_sleep","Binary","Binary 0/1",927,525,402,65.5224489795918,62.2157071783937,"WTSSBI2Y","ok",,-4.67362613834059,2.36159026075122,-9.30225799565354,-0.0449942810276402,0.0478141463805418,6.75052351930021,3.23862847106577,10.2624185675346,0.000164943498220583,2.07689738095962,-2.75373405697819,6.90752881889742,0.399411191700905,0.96782499090822,0.529982234921422,TRUE,FALSE,FALSE,FALSE
"X2_AN_ln_U","Smoking","LE8_no_smoking","Continuous","Continuous, per 1 SD",1113,606,507,69.959924563885,66.2552831783601,"WTSA2YR","ok",,-3.56608070346951,1.13658441092731,-5.79374521427671,-1.3384161926623,0.00170371181469053,3.71134159484396,1.88390320340665,5.53877998628127,6.87740519154406e-05,0.145260891374456,-0.986108887048014,1.27663066979692,0.801313718342683,0.225234060542322,0.253853060388889,TRUE,FALSE,FALSE,FALSE
