"category_group_id","family","outcome","n_exposures","n_complete","CVD_events","iterations","burn_in","posterior_samples","knots","variable_selection","baseline_risk_score_used","covariates_entered_individually","survey_design_incorporated","minimum_ESS","maximum_abs_Geweke_z","parameters_flagged_for_review","elapsed_minutes","status","error"
"C04","Urinary PAH metabolites","CVD",7,2151,160,5000,2500,2500,50,"component-wise",FALSE,"age; sex; eth; marital; PIR_level; edu; smoke; alcohol.user; PA_level; BMI_level",FALSE,5.01544842143262,3.52872877896244,20,62.8310166666667,"success",""
"C04","Urinary PAH metabolites","LE8",,,,5000,2500,,,"",,"",,,,,,"error","ignoring SIGPIPE signal"
"C06","Urinary perchlorate, nitrate and thiocyanate","CVD",3,2218,175,5000,2500,2500,50,"component-wise",FALSE,"age; sex; eth; marital; PIR_level; edu; smoke; alcohol.user; PA_level; BMI_level",FALSE,50.4915983006636,2.62780909272016,12,77.6604,"success",""
"C06","Urinary perchlorate, nitrate and thiocyanate","LE8",3,2482,,5000,2500,2500,50,"component-wise",FALSE,"age; sex; eth; marital; PIR_level; edu; alcohol.user",FALSE,1.7594908294008,3.24252836201272,8,76.0356166666666,"success",""
