"category_group_id","family","outcome","variable","z","est","se"
"C04","Urinary PAH metabolites","CVD","X1_PH_ln_U",-2.95840987196885,-0.0741886247355543,0.134779568686394
"C04","Urinary PAH metabolites","CVD","X1_PH_ln_U",-2.767902362652,-0.0771879498694368,0.123848437698611
"C04","Urinary PAH metabolites","CVD","X1_PH_ln_U",-2.57739485333514,-0.0797122082179405,0.113395794761202
"C04","Urinary PAH metabolites","CVD","X1_PH_ln_U",-2.38688734401829,-0.0817630029995922,0.103414672328818
"C04","Urinary PAH metabolites","CVD","X1_PH_ln_U",-2.19637983470143,-0.0833420913099525,0.0938980869860803
"C04","Urinary PAH metabolites","CVD","X1_PH_ln_U",-2.00587232538458,-0.08445138061247,0.084839901907882
"C04","Urinary PAH metabolites","CVD","X1_PH_ln_U",-1.81536481606773,-0.0850929251691195,0.0762362307896382
"C04","Urinary PAH metabolites","CVD","X1_PH_ln_U",-1.62485730675087,-0.0852689223810259,0.0680877167069708
"C04","Urinary PAH metabolites","CVD","X1_PH_ln_U",-1.43434979743402,-0.0849817090874154,0.0604032450432736
"C04","Urinary PAH metabolites","CVD","X1_PH_ln_U",-1.24384228811716,-0.0842337578000443,0.0532060298080238
"C04","Urinary PAH metabolites","CVD","X1_PH_ln_U",-1.05333477880031,-0.0830276728741239,0.0465435933075105
"C04","Urinary PAH metabolites","CVD","X1_PH_ln_U",-0.862827269483453,-0.081366186665667,0.0405037866582323
"C04","Urinary PAH metabolites","CVD","X1_PH_ln_U",-0.672319760166598,-0.0792521556240233,0.0352385394632233
"C04","Urinary PAH metabolites","CVD","X1_PH_ln_U",-0.481812250849744,-0.0766885563692385,0.0309910051175511
"C04","Urinary PAH metabolites","CVD","X1_PH_ln_U",-0.29130474153289,-0.0736784817179217,0.0280999777391619
"C04","Urinary PAH metabolites","CVD","X1_PH_ln_U",-0.100797232216035,-0.0702251367299001,0.0269203735655922
"C04","Urinary PAH metabolites","CVD","X1_PH_ln_U",0.0897102771008198,-0.0663318347096684,0.027634457349615
"C04","Urinary PAH metabolites","CVD","X1_PH_ln_U",0.280217786417674,-0.0620019932259845,0.030114528536975
"C04","Urinary PAH metabolites","CVD","X1_PH_ln_U",0.470725295734529,-0.0572391301080204,0.0340184100609881
"C04","Urinary PAH metabolites","CVD","X1_PH_ln_U",0.661232805051383,-0.0520468594514707,0.0389885996583349
"C04","Urinary PAH metabolites","CVD","X1_PH_ln_U",0.851740314368238,-0.0464288876579939,0.0447577190242386
"C04","Urinary PAH metabolites","CVD","X1_PH_ln_U",1.04224782368509,-0.0403890094656836,0.0511555956949232
"C04","Urinary PAH metabolites","CVD","X1_PH_ln_U",1.23275533300195,-0.0339311039994996,0.058083063066997
"C04","Urinary PAH metabolites","CVD","X1_PH_ln_U",1.4232628423188,-0.0270591308790733,0.0654862970329372
"C04","Urinary PAH metabolites","CVD","X1_PH_ln_U",1.61377035163566,-0.0197771263317259,0.0733389542112968
"C04","Urinary PAH metabolites","CVD","X1_PH_ln_U",1.80427786095251,-0.0120891993429808,0.0816309349380474
"C04","Urinary PAH metabolites","CVD","X1_PH_ln_U",1.99478537026936,-0.00399952787948621,0.0903615121964201
"C04","Urinary PAH metabolites","CVD","X1_PH_ln_U",2.18529287958622,0.00448764486112729,0.0995351397331814
"C04","Urinary PAH metabolites","CVD","X1_PH_ln_U",2.37580038890307,0.0133680141688934,0.109158879920229
"C04","Urinary PAH metabolites","CVD","X1_PH_ln_U",2.56630789821993,0.0226372174408001,0.119240817998942
"C04","Urinary PAH metabolites","CVD","X1_PH_ln_U",2.75681540753678,0.0322908377488504,0.129789086853226
"C04","Urinary PAH metabolites","CVD","X1_PH_ln_U",2.94732291685364,0.0423244073835063,0.140811276196601
"C04","Urinary PAH metabolites","CVD","X1_PH_ln_U",3.13783042617049,0.0527334112564422,0.152314085616192
"C04","Urinary PAH metabolites","CVD","X1_PH_ln_U",3.32833793548735,0.0635132903033719,0.164303135711922
"C04","Urinary PAH metabolites","CVD","X1_PH_ln_U",3.5188454448042,0.0746594447552296,0.176782880042084
"C04","Urinary PAH metabolites","CVD","X1_PH_ln_U",3.70935295412106,0.0861672373526225,0.189756582255028
"C04","Urinary PAH metabolites","CVD","X1_PH_ln_U",3.89986046343791,0.098031996482856,0.203226334112427
"C04","Urinary PAH metabolites","CVD","X1_PH_ln_U",4.09036797275477,0.110249019211384,0.217193098331761
"C04","Urinary PAH metabolites","CVD","X1_PH_ln_U",4.28087548207162,0.122813574246436,0.231656765848204
"C04","Urinary PAH metabolites","CVD","X1_PH_ln_U",4.47138299138847,0.135720904795215,0.246616220193989
"C04","Urinary PAH metabolites","CVD","X1_PH_ln_U",4.66189050070533,0.148966231336175,0.262069404529009
"C04","Urinary PAH metabolites","CVD","X1_PH_ln_U",4.85239801002218,0.162544754295355,0.278013388329074
"C04","Urinary PAH metabolites","CVD","X1_PH_ln_U",5.04290551933904,0.176451656615547,0.294444431763788
"C04","Urinary PAH metabolites","CVD","X1_PH_ln_U",5.23341302865589,0.190682106264256,0.311358046958981
"C04","Urinary PAH metabolites","CVD","X1_PH_ln_U",5.42392053797275,0.205231258569597,0.328749055097047
"C04","Urinary PAH metabolites","CVD","X1_PH_ln_U",5.6144280472896,0.22009425854659,0.346611639824693
"C04","Urinary PAH metabolites","CVD","X1_PY_ln_U",-2.77722921058405,-0.10315181114907,0.14868434015648
"C04","Urinary PAH metabolites","CVD","X1_PY_ln_U",-2.62714218785941,-0.116466898571968,0.135593718237963
"C04","Urinary PAH metabolites","CVD","X1_PY_ln_U",-2.47705516513478,-0.128734875922867,0.123212888539938
"C04","Urinary PAH metabolites","CVD","X1_PY_ln_U",-2.32696814241014,-0.1399438988742,0.111546768576675
"C04","Urinary PAH metabolites","CVD","X1_PY_ln_U",-2.1768811196855,-0.150082890237789,0.10059993456958
"C04","Urinary PAH metabolites","CVD","X1_PY_ln_U",-2.02679409696086,-0.159141556330312,0.0903767269970276
"C04","Urinary PAH metabolites","CVD","X1_PY_ln_U",-1.87670707423623,-0.167110402443768,0.0808814151512913
"C04","Urinary PAH metabolites","CVD","X1_PY_ln_U",-1.72662005151159,-0.173980747396434,0.0721184484583193
"C04","Urinary PAH metabolites","CVD","X1_PY_ln_U",-1.57653302878695,-0.179744737073031,0.0640928316504675
"C04","Urinary PAH metabolites","CVD","X1_PY_ln_U",-1.42644600606232,-0.184395356980708,0.0568106648807441
"C04","Urinary PAH metabolites","CVD","X1_PY_ln_U",-1.27635898333768,-0.187926443793065,0.0502798804583585
"C04","Urinary PAH metabolites","CVD","X1_PY_ln_U",-1.12627196061304,-0.190332695808925,0.044511160439801
"C04","Urinary PAH metabolites","CVD","X1_PY_ln_U",-0.976184937888407,-0.191609682380827,0.0395188838074632
"C04","Urinary PAH metabolites","CVD","X1_PY_ln_U",-0.82609791516377,-0.19175385225102,0.0353216810467936
"C04","Urinary PAH metabolites","CVD","X1_PY_ln_U",-0.676010892439133,-0.190762540710561,0.0319417608078707
"C04","Urinary PAH metabolites","CVD","X1_PY_ln_U",-0.525923869714496,-0.18863397572488,0.0294018489601493
"C04","Urinary PAH metabolites","CVD","X1_PY_ln_U",-0.375836846989859,-0.185367282838407,0.027719062025535
"C04","Urinary PAH metabolites","CVD","X1_PY_ln_U",-0.225749824265222,-0.180962488968788,0.0268970698398652
"C04","Urinary PAH metabolites","CVD","X1_PY_ln_U",-0.0756628015405854,-0.17542052503969,0.0269207562576533
