Scenario,Category,CategoryID,GO,Description,LogP,Log(q-value),FDR,Count,HitListN,GeneRatio,Hits,SourceFile
Full,GO Biological Processes,19,GO:0007167,enzyme-linked receptor protein signaling pathway,-17,-14,8.315287191035679e-7,23,116,0.19827586206896552,ACVR2B|CSF1R|CTNNB1|ENG|EFEMP1|FGFR1|HRAS|IRS1|KDR|SMAD4|MET|PIK3CA|PIK3R2|PPARG|MAPK1|MAP2K1|PTK2|PTPN11|RAF1|TGFBR1|VEGFA|EIF2AK3|FGFRL1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,KEGG Pathway,24,hsa05230,Central carbon metabolism in cancer,-16,-13,2.2603294069810542e-6,12,116,0.10344827586206896,FGFR1|MTOR|HRAS|IDH2|MET|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|RAF1|SLC2A2,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,KEGG Pathway,24,hsa05022,Pathways of neurodegeneration - multiple diseases,-16,-13,2.2603294069810542e-6,21,116,0.1810344827586207,APP|CASP8|CTNNB1|DCTN1|MTOR|GNAQ|GPX1|HRAS|IL6|MAPT|MAPK1|MAP2K1|MAP2K2|PTGS2|RAF1|VCP|SQSTM1|EIF2AK3|MFN2|SIGMAR1|TBK1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,KEGG Pathway,24,hsa04015,Rap1 signaling pathway,-16,-13,2.2603294069810542e-6,16,116,0.13793103448275862,ACTB|CSF1R|CTNNB1|CTNND1|FGFR1|GNAQ|HRAS|KDR|MET|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|RAF1|VEGFA,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,KEGG Pathway,24,hsa01521,EGFR tyrosine kinase inhibitor resistance,-16,-13,2.2603294069810542e-6,12,116,0.10344827586206896,MTOR|HRAS|IL6|KDR|MET|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|RAF1|VEGFA,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0043434,response to peptide hormone,-16,-13,2.2603294069810542e-6,19,116,0.16379310344827586,CAV1|CPS1|ACE|EDN1|FBN1|MTOR|HRAS|IL10|IRS1|KCNQ1|NONO|PIK3CA|PIK3R2|PPARG|MAPK1|PTK2|RAF1|TSC1|CAPN10,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,KEGG Pathway,24,hsa04370,VEGF signaling pathway,-15,-13,2.2603294069810542e-6,11,116,0.09482758620689655,HRAS|KDR|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|PTGS2|PTK2|RAF1|VEGFA,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0008285,negative regulation of cell population proliferation,-15,-13,2.2603294069810542e-6,23,116,0.19827586206896552,ALOX5|APOE|APP|CAV1|CSF1R|CTNNB1|ENG|HRAS|IDH2|IL6|IL10|LMNA|NOTCH1|PKD2|PPARG|MAP2K1|PTPN11|RAF1|TNFAIP3|TSC1|TSC2|MFN2|B4GALT7,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0009887,animal organ morphogenesis,-15,-13,2.2603294069810542e-6,22,116,0.1896551724137931,ACTC1|CAV1|CSF1R|CTNNB1|EDN1|ENG|FBN1|FBN2|EFEMP1|FGFR1|HRAS|KCNQ1|SMAD4|NOTCH1|SERPINE1|PKD2|PTK2|TGFBR1|VEGFA|NPHP3|ANKRD11|CHD7,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,KEGG Pathway,24,hsa05165,Human papillomavirus infection,-15,-13,2.2603294069810542e-6,18,116,0.15517241379310345,CASP8|CHD4|CTNNB1|MTOR|HRAS|NOTCH1|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|PTGS2|PTK2|RAF1|TSC1|TSC2|VEGFA|TBK1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
