Scenario,Category,CategoryID,GO,Description,LogP,Log(q-value),FDR,Count,HitListN,GeneRatio,Hits,SourceFile
Full,GO Biological Processes,19,GO:0006638,neutral lipid metabolic process,-4.6,-3.3,0.036883167401240015,5,116,0.04310344827586207,APOA2|APOB|APOE|CAV1|CPS1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0006639,acylglycerol metabolic process,-4.6,-3.3,0.036883167401240015,5,116,0.04310344827586207,APOA2|APOB|APOE|CAV1|CPS1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0007596,blood coagulation,-4.6,-3.3,0.036883167401240015,6,116,0.05172413793103448,ACTB|F5|F12|GNAQ|IL6|PIK3CA,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,KEGG Pathway,24,hsa04024,cAMP signaling pathway,-4.6,-3.3,0.036883167401240015,7,116,0.0603448275862069,EDN1|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|RAF1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0070167,regulation of biomineral tissue development,-4.6,-3.3,0.036883167401240015,5,116,0.04310344827586207,ACVR2B|ALOX5|FBN2|NOTCH1|SLC8A1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0071677,positive regulation of mononuclear cell migration,-4.6,-3.3,0.036883167401240015,5,116,0.04310344827586207,APP|CSF1R|SERPINE1|MAPK1|PTK2,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0033628,regulation of cell adhesion mediated by integrin,-4.6,-3.3,0.036883167401240015,4,116,0.034482758620689655,SERPINE1|PTK2|PTPN11|PIEZO1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0003143,embryonic heart tube morphogenesis,-4.6,-3.3,0.036883167401240015,4,116,0.034482758620689655,ENG|NOTCH1|PKD2|NPHP3,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0150077,regulation of neuroinflammatory response,-4.6,-3.3,0.036883167401240015,4,116,0.034482758620689655,GRN|IL6|MAPK1|PTGS2,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0061371,determination of heart left/right asymmetry,-4.6,-3.3,0.036883167401240015,4,116,0.034482758620689655,ENG|NOTCH1|PKD2|NPHP3,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0010721,negative regulation of cell development,-4.6,-3.2,0.04076220397836621,7,116,0.0603448275862069,CTNNB1|DRD3|FBN1|IDH2|IL6|NOTCH1|VEGFA,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0090596,sensory organ morphogenesis,-4.6,-3.2,0.04076220397836621,6,116,0.05172413793103448,FBN1|FBN2|EFEMP1|KCNQ1|VEGFA|CHD7,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0050817,coagulation,-4.6,-3.2,0.04076220397836621,6,116,0.05172413793103448,ACTB|F5|F12|GNAQ|IL6|PIK3CA,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0050796,regulation of insulin secretion,-4.6,-3.2,0.04076220397836621,6,116,0.05172413793103448,ALOX5|IL6|IRS1|SLC2A2|NR0B2|CAPN10,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0010639,negative regulation of organelle organization,-4.6,-3.2,0.04076220397836621,8,116,0.06896551724137931,DYRK1A|MTOR|GPX1|HNRNPA1|SMAD4|MAPT|PIK3CA|PPARG,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0046903,secretion,-4.6,-3.2,0.04076220397836621,9,116,0.07758620689655173,ACE|DRD3|EDN1|GJA1|GNAQ|IL6|KCNQ1|MTTP|VEGFA,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0016525,negative regulation of angiogenesis,-4.6,-3.2,0.04076220397836621,6,116,0.05172413793103448,ALOX5|CTNNB1|CTNND1|SERPINE1|PPARG|EMILIN1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0071345,cellular response to cytokine stimulus,-4.6,-3.2,0.04076220397836621,11,116,0.09482758620689655,CSF1R|EDN1|IL6|IL10|IRS1|SMAD4|NOTCH1|MAPK1|PTPN11|RAF1|TBK1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0031100,animal organ regeneration,-4.6,-3.2,0.04076220397836621,4,116,0.034482758620689655,IL6|IL10|NOTCH1|NR0B2,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0031016,pancreas development,-4.6,-3.2,0.04076220397836621,4,116,0.034482758620689655,IL6|MET|EIF2AK3|NPHP3,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0050819,negative regulation of coagulation,-4.6,-3.2,0.04076220397836621,4,116,0.034482758620689655,APOE|EDN1|F12|SERPINE1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0098657,import into cell,-4.5,-3.2,0.04076220397836621,11,116,0.09482758620689655,APOE|APP|CAV1|DRD3|KCNQ1|LIMK1|MAPK1|PTK2|SLC2A2|SLC8A1|TSC2,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:1905897,regulation of response to endoplasmic reticulum stress,-4.5,-3.2,0.04076220397836621,5,116,0.04310344827586207,ALOX5|APP|CAV1|EIF2AK3|SIGMAR1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,KEGG Pathway,24,hsa04934,Cushing syndrome,-4.5,-3.2,0.04076220397836621,6,116,0.05172413793103448,CTNNB1|GNA11|GNAQ|MAPK1|MAP2K1|MAP2K2,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:1903358,regulation of Golgi organization,-4.5,-3.2,0.04076220397836621,3,116,0.02586206896551724,MAPK1|MAP2K1|MAP2K2,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0048143,astrocyte activation,-4.5,-3.2,0.04076220397836621,3,116,0.02586206896551724,APP|GRN|MAPT,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0001569,branching involved in blood vessel morphogenesis,-4.5,-3.2,0.04076220397836621,3,116,0.02586206896551724,ENG|KDR|VEGFA,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0007599,hemostasis,-4.5,-3.2,0.04076220397836621,6,116,0.05172413793103448,ACTB|F5|F12|GNAQ|IL6|PIK3CA,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:2000181,negative regulation of blood vessel morphogenesis,-4.5,-3.2,0.04076220397836621,6,116,0.05172413793103448,ALOX5|CTNNB1|CTNND1|SERPINE1|PPARG|EMILIN1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0001894,tissue homeostasis,-4.5,-3.2,0.04076220397836621,6,116,0.05172413793103448,ACTB|GJA1|IL6|NOTCH1|VEGFA|NPHP3,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0060249,anatomical structure homeostasis,-4.5,-3.2,0.04076220397836621,6,116,0.05172413793103448,ACTB|GJA1|IL6|NOTCH1|VEGFA|NPHP3,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0006873,intracellular monoatomic ion homeostasis,-4.5,-3.2,0.04076220397836621,9,116,0.07758620689655173,ACVR2B|APP|CAV1|DRD3|EDN1|GRN|KCNQ1|SMAD4|SLC8A1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:1902652,secondary alcohol metabolic process,-4.5,-3.2,0.04076220397836621,5,116,0.04310344827586207,APOA1|APOB|APOE|IDH2|NR0B2,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0006606,protein import into nucleus,-4.5,-3.2,0.04076220397836621,5,116,0.04310344827586207,ADAR|NOTCH1|TSC2|SQSTM1|IPO8,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0002683,negative regulation of immune system process,-4.5,-3.2,0.04076220397836621,10,116,0.08620689655172414,APOA1|APOA2|FBN1|GRN|IL10|PPARG|PTPN11|TNFAIP3|SQSTM1|EMILIN1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0009743,response to carbohydrate,-4.5,-3.2,0.04076220397836621,6,116,0.05172413793103448,APOA2|GPX1|SMAD4|NR0B2|ADNP|NCF1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0045807,positive regulation of endocytosis,-4.5,-3.2,0.04076220397836621,6,116,0.05172413793103448,APOA1|APOA2|APOE|APP|SERPINE1|VEGFA,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0003229,ventricular cardiac muscle tissue development,-4.5,-3.2,0.04076220397836621,4,116,0.034482758620689655,ENG|SMAD4|NOTCH1|TGFBR1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:1901343,negative regulation of vasculature development,-4.5,-3.2,0.04076220397836621,6,116,0.05172413793103448,ALOX5|CTNNB1|CTNND1|SERPINE1|PPARG|EMILIN1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0045165,cell fate commitment,-4.5,-3.2,0.04076220397836621,6,116,0.05172413793103448,EDN1|MTOR|IL6|SMAD4|PPARG|TGFBR1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0050821,protein stabilization,-4.5,-3.2,0.04076220397836621,7,116,0.0603448275862069,APOA1|APOA2|CTNND1|MTOR|GNAQ|GRN|TSC1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0051222,positive regulation of protein transport,-4.5,-3.2,0.04076220397836621,7,116,0.0603448275862069,APOE|APP|PIK3R2|PPARG|SLC2A2|NR0B2|CAPN10,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0007178,cell surface receptor protein serine/threonine kinase signaling pathway,-4.5,-3.2,0.04076220397836621,6,116,0.05172413793103448,ACVR2B|ENG|SMAD4|PPARG|PTK2|TGFBR1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0008283,cell population proliferation,-4.5,-3.2,0.04076220397836621,8,116,0.06896551724137931,CSF1R|ACE|GJA1|IL6|IL10|NOTCH1|TGFBR1|SQSTM1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0003281,ventricular septum development,-4.5,-3.2,0.04076220397836621,4,116,0.034482758620689655,SMAD4|NOTCH1|TGFBR1|MATR3,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0035924,cellular response to vascular endothelial growth factor stimulus,-4.5,-3.2,0.04076220397836621,4,116,0.034482758620689655,KDR|NOTCH1|PIK3CA|VEGFA,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0070328,triglyceride homeostasis,-4.5,-3.2,0.04076220397836621,4,116,0.034482758620689655,APOA1|APOE|FBN1|MAP2K1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0032966,negative regulation of collagen biosynthetic process,-4.5,-3.2,0.04076220397836621,3,116,0.02586206896551724,IL6|NOTCH1|EMILIN1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0043691,reverse cholesterol transport,-4.5,-3.2,0.04076220397836621,3,116,0.02586206896551724,APOA1|APOA2|APOE,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:1901163,regulation of trophoblast cell migration,-4.5,-3.2,0.04076220397836621,3,116,0.02586206896551724,FBN2|GJA1|VEGFA,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0050768,negative regulation of neurogenesis,-4.5,-3.1,0.0450492023935578,5,116,0.04310344827586207,CTNNB1|DRD3|IDH2|IL6|NOTCH1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0043122,regulation of canonical NF-kappaB signal transduction,-4.4,-3.1,0.0450492023935578,8,116,0.06896551724137931,CASP8|CAV1|ESR1|GJA1|TNFAIP3|VEGFA|SQSTM1|TBK1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0061564,axon development,-4.4,-3.1,0.0450492023935578,8,116,0.06896551724137931,ACTB|APP|CSF1R|EDN1|MAPT|NOTCH1|PTK2|VEGFA,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0055090,acylglycerol homeostasis,-4.4,-3.1,0.0450492023935578,4,116,0.034482758620689655,APOA1|APOE|FBN1|MAP2K1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,KEGG Pathway,24,hsa05171,Coronavirus disease,-4.4,-3.1,0.0450492023935578,7,116,0.0603448275862069,ADAR|ACE|IL6|PIK3CA|PIK3R2|MAPK1|TBK1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0031669,cellular response to nutrient levels,-4.4,-3.1,0.0450492023935578,7,116,0.0603448275862069,CAV1|MTOR|HNRNPA1|MAPK1|TSC1|TSC2|EIF2AK3,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0043409,negative regulation of MAPK cascade,-4.4,-3.1,0.0450492023935578,6,116,0.05172413793103448,APOE|CAV1|SMAD4|PIK3R2|PPARG|EMILIN1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0001938,positive regulation of endothelial cell proliferation,-4.4,-3.1,0.0450492023935578,5,116,0.04310344827586207,FGFR1|IL10|KDR|TGFBR1|VEGFA,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:1904707,positive regulation of vascular associated smooth muscle cell proliferation,-4.4,-3.1,0.0450492023935578,4,116,0.034482758620689655,EDN1|GJA1|IL10|MFN2,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0070169,positive regulation of biomineral tissue development,-4.4,-3.1,0.0450492023935578,4,116,0.034482758620689655,ACVR2B|ALOX5|FBN2|SLC8A1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0048771,tissue remodeling,-4.4,-3.1,0.0450492023935578,4,116,0.034482758620689655,ACVR2B|CAV1|ACE|GJA1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0090398,cellular senescence,-4.4,-3.1,0.0450492023935578,4,116,0.034482758620689655,HRAS|LMNA|MAP2K1|KAT6A,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:1905330,regulation of morphogenesis of an epithelium,-4.4,-3.1,0.0450492023935578,4,116,0.034482758620689655,CTNNB1|CTNND1|GJA1|VEGFA,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0071396,cellular response to lipid,-4.4,-3.1,0.0450492023935578,10,116,0.08620689655172414,CPS1|EDN1|ESR1|NR3C1|IL6|IL10|IRS1|SERPINE1|TNFAIP3|NCF1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0043549,regulation of kinase activity,-4.4,-3.1,0.0450492023935578,7,116,0.0603448275862069,ADAR|CSF1R|FGFR1|MTOR|PIK3CA|MAP2K1|MAP2K2,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0030178,negative regulation of Wnt signaling pathway,-4.4,-3.1,0.0450492023935578,6,116,0.05172413793103448,APOE|APP|CAV1|CTNNB1|SMAD4|NPHP3,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0030224,monocyte differentiation,-4.4,-3.1,0.0450492023935578,3,116,0.02586206896551724,CSF1R|PPARG|VEGFA,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0010713,negative regulation of collagen metabolic process,-4.4,-3.1,0.0450492023935578,3,116,0.02586206896551724,IL6|NOTCH1|EMILIN1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0046777,protein autophosphorylation,-4.4,-3.1,0.0450492023935578,5,116,0.04310344827586207,CSF1R|DYRK1A|FGFR1|KDR|MAP2K2,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0071622,regulation of granulocyte chemotaxis,-4.4,-3.1,0.0450492023935578,4,116,0.034482758620689655,CSF1R|EDN1|MAPK1|PTK2,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:2001243,negative regulation of intrinsic apoptotic signaling pathway,-4.4,-3.1,0.0450492023935578,5,116,0.04310344827586207,CTNNB1|IL10|NONO|MAP2K1|PTGS2,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0002027,regulation of heart rate,-4.4,-3.1,0.0450492023935578,5,116,0.04310344827586207,CAV1|ACE|EDN1|KCNQ1|SLC8A1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:1904892,regulation of receptor signaling pathway via STAT,-4.4,-3.1,0.0450492023935578,5,116,0.04310344827586207,CAV1|IL6|IL10|NOTCH1|PPARG,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0046889,positive regulation of lipid biosynthetic process,-4.4,-3.1,0.0450492023935578,5,116,0.04310344827586207,APOE|EDN1|MTOR|MAPK1|PTGS2,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0034504,protein localization to nucleus,-4.3,-3.1,0.0450492023935578,6,116,0.05172413793103448,ADAR|LMNA|NOTCH1|TSC2|SQSTM1|IPO8,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0015909,long-chain fatty acid transport,-4.3,-3,0.049787068367863944,4,116,0.034482758620689655,APOE|ACE|DRD3|PPARG,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0071320,cellular response to cAMP,-4.3,-3,0.049787068367863944,4,116,0.034482758620689655,APP|CPS1|KCNQ1|PKD2,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,KEGG Pathway,24,hsa04979,Cholesterol metabolism,-4.3,-3,0.049787068367863944,4,116,0.034482758620689655,APOA1|APOA2|APOB|APOE,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0050729,positive regulation of inflammatory response,-4.3,-3,0.049787068367863944,6,116,0.05172413793103448,APP|GRN|IL6|SERPINE1|MAPK1|PTGS2,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:1903039,positive regulation of leukocyte cell-cell adhesion,-4.3,-3,0.049787068367863944,7,116,0.0603448275862069,ACTB|ALOX5|CAV1|MTOR|IL6|PTPN11|SMARCA4,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0048705,skeletal system morphogenesis,-4.3,-3,0.049787068367863944,5,116,0.04310344827586207,CTNNB1|FBN2|FGFR1|TGFBR1|ANKRD11,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0000226,microtubule cytoskeleton organization,-4.3,-3,0.049787068367863944,10,116,0.08620689655172414,ACTB|CTNNB1|DCTN1|GJA1|KIF11|LMNA|MAPT|PKD2|VCP|CLIP2,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0051788,response to misfolded protein,-4.3,-3,0.049787068367863944,3,116,0.02586206896551724,CAV1|F12|VCP,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:2000641,regulation of early endosome to late endosome transport,-4.3,-3,0.049787068367863944,3,116,0.02586206896551724,MAPK1|MAP2K1|MAP2K2,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0010759,positive regulation of macrophage chemotaxis,-4.3,-3,0.049787068367863944,3,116,0.02586206896551724,CSF1R|MAPK1|PTK2,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0032331,negative regulation of chondrocyte differentiation,-4.3,-3,0.049787068367863944,3,116,0.02586206896551724,EFEMP1|PTPN11|TGFBR1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0060411,cardiac septum morphogenesis,-4.3,-3,0.049787068367863944,4,116,0.034482758620689655,ENG|SMAD4|NOTCH1|TGFBR1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0090181,regulation of cholesterol metabolic process,-4.3,-3,0.049787068367863944,4,116,0.034482758620689655,APOA1|APOE|EPHX2|MAPK1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0001654,eye development,-4.3,-3,0.049787068367863944,7,116,0.0603448275862069,ACVR2B|FBN1|FBN2|EFEMP1|SMARCA4|VEGFA|CHD7,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0051961,negative regulation of nervous system development,-4.3,-3,0.049787068367863944,5,116,0.04310344827586207,CTNNB1|DRD3|IDH2|IL6|NOTCH1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0034764,positive regulation of transmembrane transport,-4.3,-3,0.049787068367863944,6,116,0.05172413793103448,CAV1|EDN1|IRS1|KCNQ1|PTPN11|CAPN10,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0050867,positive regulation of cell activation,-4.3,-3,0.049787068367863944,8,116,0.06896551724137931,ACTB|APP|CAV1|MTOR|IL6|IL10|PTPN11|SMARCA4,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0001508,action potential,-4.3,-3,0.049787068367863944,5,116,0.04310344827586207,MTOR|GJA1|GNA11|KCNQ1|SLC8A1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,KEGG Pathway,24,hsa04020,Calcium signaling pathway,-4.3,-3,0.049787068367863944,7,116,0.0603448275862069,FGFR1|GNA11|GNAQ|KDR|MET|SLC8A1|VEGFA,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0150063,visual system development,-4.3,-3,0.049787068367863944,7,116,0.0603448275862069,ACVR2B|FBN1|FBN2|EFEMP1|SMARCA4|VEGFA|CHD7,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0032204,regulation of telomere maintenance,-4.3,-3,0.049787068367863944,5,116,0.04310344827586207,CTNNB1|HNRNPA1|HNRNPA2B1|LMNA|MAPK1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0010811,positive regulation of cell-substrate adhesion,-4.3,-3,0.049787068367863944,5,116,0.04310344827586207,APOA1|KDR|PTK2|TSC1|VEGFA,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0019217,regulation of fatty acid metabolic process,-4.3,-3,0.049787068367863944,5,116,0.04310344827586207,CAV1|EDN1|IRS1|PPARG|PTGS2,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0051495,positive regulation of cytoskeleton organization,-4.3,-3,0.049787068367863944,6,116,0.05172413793103448,APOA1|DCTN1|EDN1|LIMK1|MAPT|TGFBR1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0007422,peripheral nervous system development,-4.2,-3,0.049787068367863944,4,116,0.034482758620689655,HRAS|MAPK1|MAP2K1|RAF1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0050918,positive chemotaxis,-4.2,-3,0.049787068367863944,4,116,0.034482758620689655,APP|MET|TSC2|VEGFA,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0060976,coronary vasculature development,-4.2,-3,0.049787068367863944,3,116,0.02586206896551724,NOTCH1|TGFBR1|VEGFA,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:1902692,regulation of neuroblast proliferation,-4.2,-3,0.049787068367863944,3,116,0.02586206896551724,CTNNB1|NOTCH1|VEGFA,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,KEGG Pathway,24,hsa04659,Th17 cell differentiation,-4.2,-2.9,0.05502322005640723,5,116,0.04310344827586207,MTOR|IL6|SMAD4|MAPK1|TGFBR1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0070661,leukocyte proliferation,-4.2,-2.9,0.05502322005640723,4,116,0.034482758620689655,CSF1R|ACE|GJA1|IL10,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0007411,axon guidance,-4.2,-2.9,0.05502322005640723,6,116,0.05172413793103448,APP|CSF1R|EDN1|NOTCH1|PTK2|VEGFA,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0055080,monoatomic cation homeostasis,-4.2,-2.9,0.05502322005640723,9,116,0.07758620689655173,ACVR2B|APP|CAV1|DRD3|EDN1|GRN|KCNQ1|SMAD4|SLC8A1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
