Gene
ACE
ALOX5
APP
CDK8
DYRK1A
EPHX2
ESR1
KIF11
LIMK1
MAP2K1
MAPT
PIK3CA
PPARG
PTGS2
PTK2
SIGMAR1
TBK1
TGFBR1
