Category,CategoryID,GO,Description,LogP,Enrichment,#GeneInGOAndHitList,#GeneInHitList,Hits,Log(q-value),GeneID,Source,FDR,Significant_FDR_0_05
GO Biological Processes,19,GO:0045834,positive regulation of lipid metabolic process,-8.5,17,9,116,APOA1|APOA2|APOE|EDN1|MTOR|IRS1|PPARG|MAPK1|PTGS2,-6.7,335|336|348|1906|2475|3667|5468|5594|5743,Metascape session t_e1w6klz,0.001230911902673481,TRUE
GO Biological Processes,19,GO:0036294,cellular response to decreased oxygen levels,-8.5,17,9,116,EDN1|MTOR|LMNA|NONO|NOTCH1|PPARG|PTGS2|TSC1|VEGFA,-6.6,1906|2475|4000|4841|4851|5468|5743|7248|7422,Metascape session t_e1w6klz,0.0013603680375478939,TRUE
GO Biological Processes,19,GO:0002521,leukocyte differentiation,-8.4,9.9,12,116,APP|CASP8|CSF1R|MTOR|NR3C1|IL6|IL10|PIK3R2|PPARG|VEGFA|TBK1|CHD7,-6.6,351|841|1436|2475|2908|3569|3586|5296|5468|7422|29110|55636,Metascape session t_e1w6klz,0.0013603680375478939,TRUE
KEGG Pathway,24,hsa04380,Osteoclast differentiation,-8.4,17,9,116,CSF1R|PIK3CA|PIK3R2|PPARG|MAPK1|MAP2K1|TGFBR1|SQSTM1|NCF1,-6.6,1436|5290|5296|5468|5594|5604|7046|8878|653361,Metascape session t_e1w6klz,0.0013603680375478939,TRUE
GO Biological Processes,19,GO:0045429,positive regulation of nitric oxide biosynthetic process,-8.4,45,6,116,APOE|APP|EDN1|ESR1|PKD2|PTGS2,-6.6,348|351|1906|2099|5311|5743,Metascape session t_e1w6klz,0.0013603680375478939,TRUE
Canonical Pathways,11,M127,PID ERBB1 RECEPTOR PROXIMAL PATHWAY,-8.4,45,6,116,HRAS|PIK3CA|PIK3R2|MAPK1|PTK2|PTPN11,-6.6,3265|5290|5296|5594|5747|5781,Metascape session t_e1w6klz,0.0013603680375478939,TRUE
WikiPathways,27,WP5180,DYRK1A involvement regarding cell proliferation in brain development,-8.4,30,7,116,APP|DYRK1A|MTOR|MAPT|NOTCH1|TSC1|TSC2,-6.6,351|1859|2475|4137|4851|7248|7249,Metascape session t_e1w6klz,0.0013603680375478939,TRUE
WikiPathways,27,WP4540,Hippo signaling regulation,-8.4,22,8,116,CSF1R|CTNNB1|FGFR1|MTOR|GNA11|GNAQ|KDR|MET,-6.6,1436|1499|2260|2475|2767|2776|3791|4233,Metascape session t_e1w6klz,0.0013603680375478939,TRUE
GO Biological Processes,19,GO:0006796,phosphate-containing compound metabolic process,-8.4,7.7,14,116,CSF1R|DYRK1A|EPHX2|EFEMP1|FGFR1|MTOR|KDR|LIMK1|MAPK1|MAP2K2|PTPN11|RAF1|TGFBR1|TBK1,-6.6,1436|1859|2053|2202|2260|2475|3791|3984|5594|5605|5781|5894|7046|29110,Metascape session t_e1w6klz,0.0013603680375478939,TRUE
WikiPathways,27,WP4522,Metabolic pathway of LDL HDL and TG including diseases,-8.4,78,5,116,APOA1|APOA2|APOB|APOE|MTTP,-6.6,335|336|338|348|4547,Metascape session t_e1w6klz,0.0013603680375478939,TRUE
WikiPathways,27,WP3853,ERK pathway in Huntington 39 s disease,-8.4,78,5,116,HRAS|MAPK1|MAP2K1|MAP2K2|RAF1,-6.6,3265|5594|5604|5605|5894,Metascape session t_e1w6klz,0.0013603680375478939,TRUE
Reactome Gene Sets,6,R-HSA-6802948,Signaling by high-kinase activity BRAF mutants,-8.3,44,6,116,ACTB|HRAS|MAPK1|MAP2K1|MAP2K2|RAF1,-6.5,60|3265|5594|5604|5605|5894,Metascape session t_e1w6klz,0.0015034391929775724,TRUE
KEGG Pathway,24,hsa04519,Cadherin signaling,-8.3,8.5,13,116,ACTB|CTNNB1|CTNND1|FGFR1|GJA1|HRAS|KDR|MET|MAPK1|MAP2K1|MAP2K2|PTK2|RAF1,-6.5,60|1499|1500|2260|2697|3265|3791|4233|5594|5604|5605|5747|5894,Metascape session t_e1w6klz,0.0015034391929775724,TRUE
GO Biological Processes,19,GO:0032869,cellular response to insulin stimulus,-8.3,16,9,116,MTOR|HRAS|IRS1|PIK3CA|PIK3R2|PPARG|MAPK1|RAF1|CAPN10,-6.5,2475|3265|3667|5290|5296|5468|5594|5894|11132,Metascape session t_e1w6klz,0.0015034391929775724,TRUE
GO Biological Processes,19,GO:1901888,regulation of cell junction assembly,-8.3,11,11,116,APP|CAV1|CHD4|CTNNB1|ACE|KDR|PTK2|TSC1|VEGFA|SIGMAR1|ADNP,-6.5,351|857|1108|1499|1636|3791|5747|7248|7422|10280|23394,Metascape session t_e1w6klz,0.0015034391929775724,TRUE
GO Biological Processes,19,GO:0001666,response to hypoxia,-8.3,11,11,116,CAV1|EDN1|ENG|MTOR|LMNA|SMAD4|NONO|NOTCH1|PPARG|PTGS2|VEGFA,-6.5,857|1906|2022|2475|4000|4089|4841|4851|5468|5743|7422,Metascape session t_e1w6klz,0.0015034391929775724,TRUE
KEGG Pathway,24,hsa04916,Melanogenesis,-8.3,21,8,116,CTNNB1|EDN1|GNAQ|HRAS|MAPK1|MAP2K1|MAP2K2|RAF1,-6.5,1499|1906|2776|3265|5594|5604|5605|5894,Metascape session t_e1w6klz,0.0015034391929775724,TRUE
GO Biological Processes,19,GO:2000630,positive regulation of miRNA metabolic process,-8.3,28,7,116,NR3C1|HRAS|IL6|IL10|SMAD4|PPARG|SMARCA4,-6.5,2908|3265|3569|3586|4089|5468|6597,Metascape session t_e1w6klz,0.0015034391929775724,TRUE
KEGG Pathway,24,hsa05216,Thyroid cancer,-8.3,43,6,116,CTNNB1|HRAS|PPARG|MAPK1|MAP2K1|MAP2K2,-6.5,1499|3265|5468|5594|5604|5605,Metascape session t_e1w6klz,0.0015034391929775724,TRUE
GO Biological Processes,19,GO:0090287,regulation of cellular response to growth factor stimulus,-8.2,9.5,12,116,CAV1|ENG|FBN1|FBN2|KDR|SMAD4|NOTCH1|PPARG|VEGFA|ADAMTSL2|ZEB2|EMILIN1,-6.4,857|2022|2200|2201|3791|4089|4851|5468|7422|9719|9839|11117,Metascape session t_e1w6klz,0.001661557273173934,TRUE
GO Biological Processes,19,GO:0016310,phosphorylation,-8.2,9.5,12,116,CSF1R|DYRK1A|EFEMP1|FGFR1|MTOR|KDR|LIMK1|MAPK1|MAP2K2|RAF1|TGFBR1|TBK1,-6.4,1436|1859|2202|2260|2475|3791|3984|5594|5605|5894|7046|29110,Metascape session t_e1w6klz,0.001661557273173934,TRUE
GO Biological Processes,19,GO:0035994,response to muscle stretch,-8.2,73,5,116,CTNNB1|EDN1|PIK3CA|PTK2|SLC8A1,-6.4,1499|1906|5290|5747|6546,Metascape session t_e1w6klz,0.001661557273173934,TRUE
GO Biological Processes,19,GO:0042325,regulation of phosphorylation,-8.2,8.3,13,116,ADAR|CSF1R|FGFR1|MTOR|IL6|IL10|KDR|PIK3CA|MAPK1|MAP2K1|MAP2K2|RAF1|VEGFA,-6.4,103|1436|2260|2475|3569|3586|3791|5290|5594|5604|5605|5894|7422,Metascape session t_e1w6klz,0.001661557273173934,TRUE
Reactome Gene Sets,6,R-HSA-2262752,Cellular responses to stress,-8.2,5.8,17,116,APOA1|APOB|DCTN1|ESR1|MTOR|GPX1|NR3C1|IL6|LMNA|NOTCH1|MAPK1|VCP|VEGFA|SQSTM1|EIF2AK3|EHMT1|NCF1,-6.4,335|338|1639|2099|2475|2876|2908|3569|4000|4851|5594|7415|7422|8878|9451|79813|653361,Metascape session t_e1w6klz,0.001661557273173934,TRUE
Canonical Pathways,11,M295,SIG PIP3 SIGNALING IN CARDIAC MYOCTES,-8.2,28,7,116,MTOR|IRS1|MET|PIK3CA|PTK2|TSC1|TSC2,-6.4,2475|3667|4233|5290|5747|7248|7249,Metascape session t_e1w6klz,0.001661557273173934,TRUE
Reactome Gene Sets,6,R-HSA-6802952,Signaling by BRAF and RAF1 fusions,-8.2,28,7,116,ACTB|HRAS|LMNA|MAPK1|MAP2K1|MAP2K2|RAF1,-6.4,60|3265|4000|5594|5604|5605|5894,Metascape session t_e1w6klz,0.001661557273173934,TRUE
Canonical Pathways,11,M164,PID ERBB1 DOWNSTREAM PATHWAY,-8.2,20,8,116,MTOR|HRAS|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|RAF1,-6.4,2475|3265|5290|5296|5594|5604|5605|5894,Metascape session t_e1w6klz,0.001661557273173934,TRUE
GO Biological Processes,19,GO:0042060,wound healing,-8.2,11,11,116,ACTB|ENG|F5|F12|GNAQ|IL6|KDR|PIK3CA|RAF1|TGFBR1|VEGFA,-6.4,60|2022|2153|2161|2776|3569|3791|5290|5894|7046|7422,Metascape session t_e1w6klz,0.001661557273173934,TRUE
Canonical Pathways,11,M82,PID RET PATHWAY,-8.1,41,6,116,HRAS|IRS1|PIK3CA|MAPK1|PTK2|PTPN11,-6.3,3265|3667|5290|5594|5747|5781,Metascape session t_e1w6klz,0.0018363047770289071,TRUE
WikiPathways,27,WP4871,Kisspeptin kisspeptin receptor system in the ovary,-8.1,41,6,116,HRAS|PIK3CA|MAPK1|MAP2K1|MAP2K2|RAF1,-6.3,3265|5290|5594|5604|5605|5894,Metascape session t_e1w6klz,0.0018363047770289071,TRUE
GO Biological Processes,19,GO:0001525,angiogenesis,-8.1,13,10,116,CASP8|CTNND1|ENG|FBN1|KDR|SERPINE1|PTK2|TGFBR1|VEGFA|EIF2AK3,-6.3,841|1500|2022|2200|3791|5054|5747|7046|7422|9451,Metascape session t_e1w6klz,0.0018363047770289071,TRUE
Reactome Gene Sets,6,R-HSA-8963898,Plasma lipoprotein assembly,-8.1,70,5,116,APOA1|APOA2|APOB|APOE|MTTP,-6.3,335|336|338|348|4547,Metascape session t_e1w6klz,0.0018363047770289071,TRUE
WikiPathways,27,WP4321,Thermogenesis,-8.1,20,8,116,ACTB|FGFR1|MTOR|HRAS|PPARG|SMARCA4|TSC1|TSC2,-6.3,60|2260|2475|3265|5468|6597|7248|7249,Metascape session t_e1w6klz,0.0018363047770289071,TRUE
Reactome Gene Sets,6,R-HSA-8957275,Post-translational protein phosphorylation,-8.1,20,8,116,APOA1|APOA2|APOB|APOE|APP|F5|FBN1|IL6,-6.3,335|336|338|348|351|2153|2200|3569,Metascape session t_e1w6klz,0.0018363047770289071,TRUE
Reactome Gene Sets,6,R-HSA-5674135,MAP2K and MAPK activation,-8.1,40,6,116,ACTB|HRAS|MAPK1|MAP2K1|MAP2K2|RAF1,-6.3,60|3265|5594|5604|5605|5894,Metascape session t_e1w6klz,0.0018363047770289071,TRUE
KEGG Pathway,24,hsa04620,Toll-like receptor signaling pathway,-8,19,8,116,CASP8|IL6|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|TBK1,-6.3,841|3569|5290|5296|5594|5604|5605|29110,Metascape session t_e1w6klz,0.0018363047770289071,TRUE
Canonical Pathways,11,M167,PID AP1 PATHWAY,-8,26,7,116,CTNNB1|EDN1|ESR1|GJA1|NR3C1|IL6|IL10,-6.3,1499|1906|2099|2697|2908|3569|3586,Metascape session t_e1w6klz,0.0018363047770289071,TRUE
Canonical Pathways,11,M81,PID CDC42 PATHWAY,-8,26,7,116,CTNNB1|MTOR|HRAS|LIMK1|PIK3CA|MAPK1|RAF1,-6.3,1499|2475|3265|3984|5290|5594|5894,Metascape session t_e1w6klz,0.0018363047770289071,TRUE
GO Biological Processes,19,GO:0002009,morphogenesis of an epithelium,-8,10,11,116,ACTB|CSF1R|CTNNB1|ENG|KDR|MET|NOTCH1|PKD2|TSC2|VEGFA|NPHP3,-6.3,60|1436|1499|2022|3791|4233|4851|5311|7249|7422|27031,Metascape session t_e1w6klz,0.0018363047770289071,TRUE
KEGG Pathway,24,hsa04148,Efferocytosis,-8,15,9,116,ALOX5|IL10|PPARG|MAPK1|MAP2K1|MAP2K2|PTGS2|PTK2|PTPN11,-6.3,240|3586|5468|5594|5604|5605|5743|5747|5781,Metascape session t_e1w6klz,0.0018363047770289071,TRUE
GO Biological Processes,19,GO:0045765,regulation of angiogenesis,-8,9.1,12,116,ALOX5|CTNNB1|CTNND1|GRN|IL6|IL10|KDR|SERPINE1|PPARG|TNFAIP3|VEGFA|EMILIN1,-6.2,240|1499|1500|2896|3569|3586|3791|5054|5468|7128|7422|11117,Metascape session t_e1w6klz,0.002029430636295734,TRUE
GO Biological Processes,19,GO:0042632,cholesterol homeostasis,-8,19,8,116,APOA1|APOA2|APOB|APOE|CAV1|DCTN1|EPHX2|MTTP,-6.2,335|336|338|348|857|1639|2053|4547,Metascape session t_e1w6klz,0.002029430636295734,TRUE
GO Biological Processes,19,GO:0043410,positive regulation of MAPK cascade,-8,8,13,116,APOE|APP|CSF1R|EDN1|FGFR1|HRAS|IL6|KDR|NOTCH1|MAP2K1|PTPN11|RAF1|VEGFA,-6.2,348|351|1436|1906|2260|3265|3569|3791|4851|5604|5781|5894|7422,Metascape session t_e1w6klz,0.002029430636295734,TRUE
GO Biological Processes,19,GO:0009611,response to wounding,-8,9,12,116,ACTB|ENG|F5|F12|GNAQ|IL6|KDR|PIK3CA|MAP2K1|RAF1|TGFBR1|VEGFA,-6.2,60|2022|2153|2161|2776|3569|3791|5290|5604|5894|7046|7422,Metascape session t_e1w6klz,0.002029430636295734,TRUE
Canonical Pathways,11,M214,PID ERBB1 INTERNALIZATION PATHWAY,-8,39,6,116,HRAS|PIK3CA|PIK3R2|PTK2|RAF1|STAMBP,-6.2,3265|5290|5296|5747|5894|10617,Metascape session t_e1w6klz,0.002029430636295734,TRUE
KEGG Pathway,24,hsa05219,Bladder cancer,-8,39,6,116,HRAS|MAPK1|MAP2K1|MAP2K2|RAF1|VEGFA,-6.2,3265|5594|5604|5605|5894|7422,Metascape session t_e1w6klz,0.002029430636295734,TRUE
GO Biological Processes,19,GO:0055092,sterol homeostasis,-8,19,8,116,APOA1|APOA2|APOB|APOE|CAV1|DCTN1|EPHX2|MTTP,-6.2,335|336|338|348|857|1639|2053|4547,Metascape session t_e1w6klz,0.002029430636295734,TRUE
GO Biological Processes,19,GO:0008217,regulation of blood pressure,-8,15,9,116,ACE|DRD3|EDN1|ENG|GNA11|KCNQ1|PPARG|PTGS2|EMILIN1,-6.2,1636|1814|1906|2022|2767|3784|5468|5743|11117,Metascape session t_e1w6klz,0.002029430636295734,TRUE
GO Biological Processes,19,GO:0070372,regulation of ERK1 and ERK2 cascade,-7.9,10,11,116,APOE|APP|CSF1R|HRAS|KDR|SMAD4|NOTCH1|MAP2K1|PTPN11|VEGFA|EMILIN1,-6.2,348|351|1436|3265|3791|4089|4851|5604|5781|7422|11117,Metascape session t_e1w6klz,0.002029430636295734,TRUE
GO Biological Processes,19,GO:1902905,positive regulation of supramolecular fiber organization,-7.9,15,9,116,APOA1|APOE|APP|DCTN1|EDN1|GPX1|LIMK1|MAPT|TGFBR1,-6.2,335|348|351|1639|1906|2876|3984|4137|7046,Metascape session t_e1w6klz,0.002029430636295734,TRUE
GO Biological Processes,19,GO:0007610,behavior,-7.9,8.9,12,116,APOE|APP|DCTN1|DRD3|MTOR|NR3C1|KCNQ1|MAPT|MAPK1|TSC1|SIGMAR1|ADNP,-6.2,348|351|1639|1814|2475|2908|3784|4137|5594|7248|10280|23394,Metascape session t_e1w6klz,0.002029430636295734,TRUE
Canonical Pathways,11,M91,PID TCPTP PATHWAY,-7.9,38,6,116,CSF1R|KDR|MET|PIK3CA|PIK3R2|VEGFA,-6.2,1436|3791|4233|5290|5296|7422,Metascape session t_e1w6klz,0.002029430636295734,TRUE
Reactome Gene Sets,6,R-HSA-1500931,Cell-Cell communication,-7.9,8.9,12,116,ACTB|ACTC1|CTNNB1|CTNND1|IL6|PIK3CA|PIK3R2|MAPK1|PTK2|PTPN11|SMARCA4|ZEB2,-6.1,60|70|1499|1500|3569|5290|5296|5594|5747|5781|6597|9839,Metascape session t_e1w6klz,0.0022428677194858034,TRUE
Reactome Gene Sets,6,R-HSA-6811558,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",-7.9,19,8,116,ESR1|FGFR1|IRS1|MET|PIK3CA|PIK3R2|MAPK1|PTPN11,-6.1,2099|2260|3667|4233|5290|5296|5594|5781,Metascape session t_e1w6klz,0.0022428677194858034,TRUE
GO Biological Processes,19,GO:0010506,regulation of autophagy,-7.9,8.8,12,116,MTOR|IL10|KDR|MAPT|MET|PIK3CA|PIK3R2|MAP2K1|TSC1|TSC2|SQSTM1|TBK1,-6.1,2475|3586|3791|4137|4233|5290|5296|5604|7248|7249|8878|29110,Metascape session t_e1w6klz,0.0022428677194858034,TRUE
GO Biological Processes,19,GO:0070201,regulation of establishment of protein localization,-7.9,7.8,13,116,ALOX5|APOE|APP|DRD3|HRAS|IDH2|IL6|IRS1|PIK3R2|PPARG|SLC2A2|NR0B2|CAPN10,-6.1,240|348|351|1814|3265|3418|3569|3667|5296|5468|6514|8431|11132,Metascape session t_e1w6klz,0.0022428677194858034,TRUE
GO Biological Processes,19,GO:1901201,regulation of extracellular matrix assembly,-7.9,63,5,116,SMAD4|NOTCH1|PPARG|TGFBR1|EMILIN1,-6.1,4089|4851|5468|7046|11117,Metascape session t_e1w6klz,0.0022428677194858034,TRUE
KEGG Pathway,24,hsa04725,Cholinergic synapse,-7.9,18,8,116,GNA11|GNAQ|HRAS|KCNQ1|PIK3CA|PIK3R2|MAPK1|MAP2K1,-6.1,2767|2776|3265|3784|5290|5296|5594|5604,Metascape session t_e1w6klz,0.0022428677194858034,TRUE
KEGG Pathway,24,hsa04726,Serotonergic synapse,-7.9,18,8,116,ALOX5|APP|GNAQ|HRAS|MAPK1|MAP2K1|PTGS2|RAF1,-6.1,240|351|2776|3265|5594|5604|5743|5894,Metascape session t_e1w6klz,0.0022428677194858034,TRUE
WikiPathways,27,WP364,IL6 signaling,-7.9,37,6,116,IL6|PIK3R2|MAPK1|MAP2K1|MAP2K2|PTPN11,-6.1,3569|5296|5594|5604|5605|5781,Metascape session t_e1w6klz,0.0022428677194858034,TRUE
Reactome Gene Sets,6,R-HSA-9656223,Signaling by RAF1 mutants,-7.9,37,6,116,ACTB|HRAS|MAPK1|MAP2K1|MAP2K2|RAF1,-6.1,60|3265|5594|5604|5605|5894,Metascape session t_e1w6klz,0.0022428677194858034,TRUE
GO Biological Processes,19,GO:0060537,muscle tissue development,-7.8,12,10,116,ACTC1|CAV1|ENG|GJA1|SMAD4|NOTCH1|PKD2|SLC8A1|TGFBR1|VEGFA,-6.1,70|857|2022|2697|4089|4851|5311|6546|7046|7422,Metascape session t_e1w6klz,0.0022428677194858034,TRUE
WikiPathways,27,WP69,T cell receptor signaling,-7.8,25,7,116,HRAS|PIK3R2|MAPK1|MAP2K1|MAP2K2|PTPN11|RAF1,-6.1,3265|5296|5594|5604|5605|5781|5894,Metascape session t_e1w6klz,0.0022428677194858034,TRUE
KEGG Pathway,24,hsa04670,Leukocyte transendothelial migration,-7.8,18,8,116,ACTB|CTNNB1|CTNND1|PIK3CA|PIK3R2|PTK2|PTPN11|NCF1,-6.1,60|1499|1500|5290|5296|5747|5781|653361,Metascape session t_e1w6klz,0.0022428677194858034,TRUE
GO Biological Processes,19,GO:0001558,regulation of cell growth,-7.8,8.7,12,116,APOE|EDN1|EPHX2|MTOR|GJA1|LIMK1|SMAD4|MAPT|SMARCA4|TGFBR1|VEGFA|ADNP,-6.1,348|1906|2053|2475|2697|3984|4089|4137|6597|7046|7422|23394,Metascape session t_e1w6klz,0.0022428677194858034,TRUE
GO Biological Processes,19,GO:0048638,regulation of developmental growth,-7.8,12,10,116,APOE|APP|EDN1|LIMK1|MAPT|NOTCH1|MAPK1|TGFBR1|VEGFA|ADNP,-6.1,348|351|1906|3984|4137|4851|5594|7046|7422|23394,Metascape session t_e1w6klz,0.0022428677194858034,TRUE
GO Biological Processes,19,GO:0071402,cellular response to lipoprotein particle stimulus,-7.8,36,6,116,APOA1|APOA2|APOB|APOE|APP|PPARG,-6,335|336|338|348|351|5468,Metascape session t_e1w6klz,0.0024787521766663585,TRUE
GO Biological Processes,19,GO:0015918,sterol transport,-7.8,24,7,116,APOA1|APOA2|APOB|APOE|CAV1|DCTN1|MTTP,-6,335|336|338|348|857|1639|4547,Metascape session t_e1w6klz,0.0024787521766663585,TRUE
GO Biological Processes,19,GO:0001837,epithelial to mesenchymal transition,-7.8,24,7,116,CTNNB1|EDN1|ENG|FGFR1|SMAD4|NOTCH1|TGFBR1,-6,1499|1906|2022|2260|4089|4851|7046,Metascape session t_e1w6klz,0.0024787521766663585,TRUE
KEGG Pathway,24,hsa05014,Amyotrophic lateral sclerosis,-7.8,8.6,12,116,ACTB|DCTN1|MTOR|GPX1|HNRNPA1|HNRNPA2B1|VCP|SQSTM1|EIF2AK3|MATR3|SIGMAR1|TBK1,-6,60|1639|2475|2876|3178|3181|7415|8878|9451|9782|10280|29110,Metascape session t_e1w6klz,0.0024787521766663585,TRUE
GO Biological Processes,19,GO:0002688,regulation of leukocyte chemotaxis,-7.8,18,8,116,APP|CSF1R|EDN1|IL6|SERPINE1|MAPK1|PTK2|VEGFA,-6,351|1436|1906|3569|5054|5594|5747|7422,Metascape session t_e1w6klz,0.0024787521766663585,TRUE
GO Biological Processes,19,GO:0034377,plasma lipoprotein particle assembly,-7.7,60,5,116,APOA1|APOA2|APOB|APOE|MTTP,-6,335|336|338|348|4547,Metascape session t_e1w6klz,0.0024787521766663585,TRUE
WikiPathways,27,WP4141,PI3K AKT mTOR vitamin D3 signaling,-7.7,60,5,116,MTOR|IL10|PIK3CA|TSC1|TSC2,-6,2475|3586|5290|7248|7249,Metascape session t_e1w6klz,0.0024787521766663585,TRUE
GO Biological Processes,19,GO:1903036,positive regulation of response to wounding,-7.7,24,7,116,F12|MTOR|GRN|HRAS|SERPINE1|PTK2|EMILIN1,-6,2161|2475|2896|3265|5054|5747|11117,Metascape session t_e1w6klz,0.0024787521766663585,TRUE
Reactome Gene Sets,6,R-HSA-9009391,Extra-nuclear estrogen signaling,-7.7,24,7,116,CAV1|ESR1|HRAS|PIK3CA|PIK3R2|MAPK1|PTK2,-6,857|2099|3265|5290|5296|5594|5747,Metascape session t_e1w6klz,0.0024787521766663585,TRUE
GO Biological Processes,19,GO:0022409,positive regulation of cell-cell adhesion,-7.7,9.8,11,116,ACTB|ALOX5|CAV1|CTNNB1|MTOR|IL6|IL10|PTK2|PTPN11|SMARCA4|PIEZO1,-6,60|240|857|1499|2475|3569|3586|5747|5781|6597|9780,Metascape session t_e1w6klz,0.0024787521766663585,TRUE
WikiPathways,27,WP4787,Osteoblast differentiation and related diseases,-7.7,18,8,116,CTNNB1|FGFR1|SMAD4|NOTCH1|PIK3CA|PIK3R2|PPARG|MAPK1,-6,1499|2260|4089|4851|5290|5296|5468|5594,Metascape session t_e1w6klz,0.0024787521766663585,TRUE
GO Biological Processes,19,GO:0032970,regulation of actin filament-based process,-7.7,8.5,12,116,APOA1|CAV1|CSF1R|EDN1|MTOR|HRAS|LIMK1|SMAD4|PIK3CA|TGFBR1|TSC1|CAPN10,-6,335|857|1436|1906|2475|3265|3984|4089|5290|7046|7248|11132,Metascape session t_e1w6klz,0.0024787521766663585,TRUE
GO Biological Processes,19,GO:1901652,response to peptide,-7.7,5.8,16,116,ADAR|APP|CASP8|CSF1R|EDN1|FBN1|IL6|IL10|IRS1|ITIH4|SMAD4|NOTCH1|MAPK1|PTPN11|RAF1|TBK1,-6,103|351|841|1436|1906|2200|3569|3586|3667|3700|4089|4851|5594|5781|5894|29110,Metascape session t_e1w6klz,0.0024787521766663585,TRUE
KEGG Pathway,24,hsa05100,Bacterial invasion of epithelial cells,-7.7,24,7,116,ACTB|CAV1|CTNNB1|MET|PIK3CA|PIK3R2|PTK2,-6,60|857|1499|4233|5290|5296|5747,Metascape session t_e1w6klz,0.0024787521766663585,TRUE
Reactome Gene Sets,6,R-HSA-199418,Negative regulation of the PI3K/AKT network,-7.7,17,8,116,ESR1|FGFR1|IRS1|MET|PIK3CA|PIK3R2|MAPK1|PTPN11,-6,2099|2260|3667|4233|5290|5296|5594|5781,Metascape session t_e1w6klz,0.0024787521766663585,TRUE
WikiPathways,27,WP4566,Translation inhibitors in chronically activated PDGFRA cells,-7.7,34,6,116,MTOR|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2,-5.9,2475|5290|5296|5594|5604|5605,Metascape session t_e1w6klz,0.0027394448187683684,TRUE
GO Biological Processes,19,GO:0048844,artery morphogenesis,-7.7,34,6,116,EDN1|ENG|NOTCH1|PKD2|TGFBR1|VEGFA,-5.9,1906|2022|4851|5311|7046|7422,Metascape session t_e1w6klz,0.0027394448187683684,TRUE
Reactome Gene Sets,6,R-HSA-112409,RAF-independent MAPK1/3 activation,-7.6,57,5,116,IL6|MAPK1|MAP2K1|MAP2K2|PTPN11,-5.9,3569|5594|5604|5605|5781,Metascape session t_e1w6klz,0.0027394448187683684,TRUE
Reactome Gene Sets,6,R-HSA-112411,MAPK1 (ERK2) activation,-7.6,120,4,116,IL6|MAPK1|MAP2K2|PTPN11,-5.9,3569|5594|5605|5781,Metascape session t_e1w6klz,0.0027394448187683684,TRUE
WikiPathways,27,WP363,Wnt signaling NetPath,-7.6,34,6,116,CTNNB1|MTOR|PPARG|MAPK1|TSC1|TSC2,-5.9,1499|2475|5468|5594|7248|7249,Metascape session t_e1w6klz,0.0027394448187683684,TRUE
Canonical Pathways,11,M87,PID LKB1 PATHWAY,-7.6,34,6,116,ESR1|MTOR|SMAD4|MAPT|TSC1|TSC2,-5.9,2099|2475|4089|4137|7248|7249,Metascape session t_e1w6klz,0.0027394448187683684,TRUE
KEGG Pathway,24,hsa04930,Type II diabetes mellitus,-7.6,34,6,116,MTOR|IRS1|PIK3CA|PIK3R2|MAPK1|SLC2A2,-5.9,2475|3667|5290|5296|5594|6514,Metascape session t_e1w6klz,0.0027394448187683684,TRUE
Reactome Gene Sets,6,R-HSA-6802946,Signaling by moderate kinase activity BRAF mutants,-7.6,34,6,116,ACTB|HRAS|MAPK1|MAP2K1|MAP2K2|RAF1,-5.9,60|3265|5594|5604|5605|5894,Metascape session t_e1w6klz,0.0027394448187683684,TRUE
Reactome Gene Sets,6,R-HSA-9649948,Signaling downstream of RAS mutants,-7.6,34,6,116,ACTB|HRAS|MAPK1|MAP2K1|MAP2K2|RAF1,-5.9,60|3265|5594|5604|5605|5894,Metascape session t_e1w6klz,0.0027394448187683684,TRUE
WikiPathways,27,WP1591,Heart development,-7.6,34,6,116,CTNNB1|SMAD4|NOTCH1|MAPK1|PTPN11|VEGFA,-5.9,1499|4089|4851|5594|5781|7422,Metascape session t_e1w6klz,0.0027394448187683684,TRUE
Reactome Gene Sets,6,R-HSA-6802949,Signaling by RAS mutants,-7.6,34,6,116,ACTB|HRAS|MAPK1|MAP2K1|MAP2K2|RAF1,-5.9,60|3265|5594|5604|5605|5894,Metascape session t_e1w6klz,0.0027394448187683684,TRUE
Reactome Gene Sets,6,R-HSA-6802955,Paradoxical activation of RAF signaling by kinase inactive BRAF,-7.6,34,6,116,ACTB|HRAS|MAPK1|MAP2K1|MAP2K2|RAF1,-5.9,60|3265|5594|5604|5605|5894,Metascape session t_e1w6klz,0.0027394448187683684,TRUE
GO Biological Processes,19,GO:0031667,response to nutrient levels,-7.6,7.4,13,116,APOE|CAV1|CPS1|F5|FBN1|MTOR|GPX1|HNRNPA1|PPARG|MAPK1|TSC1|TSC2|EIF2AK3,-5.9,348|857|1373|2153|2200|2475|2876|3178|5468|5594|7248|7249|9451,Metascape session t_e1w6klz,0.0027394448187683684,TRUE
