Category,CategoryID,GO,Description,LogP,Enrichment,#GeneInGOAndHitList,#GeneInHitList,Hits,Log(q-value),GeneID,Source,FDR,Significant_FDR_0_05
KEGG Pathway,24,hsa05200,Pathways in cancer,-20,12,25,116,CASP8|CSF1R|CTNNB1|EDN1|ESR1|FGFR1|MTOR|GNA11|GNAQ|HRAS|IL6|SMAD4|MET|NOTCH1|PIK3CA|PIK3R2|PPARG|MAPK1|MAP2K1|MAP2K2|PTGS2|PTK2|RAF1|TGFBR1|VEGFA,-16,841|1436|1499|1906|2099|2260|2475|2767|2776|3265|3569|4089|4233|4851|5290|5296|5468|5594|5604|5605|5743|5747|5894|7046|7422,Metascape session t_e1w6klz,1.1253517471925912e-7,TRUE
Reactome Gene Sets,6,R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,-20,12,25,116,ACTB|APOE|CAV1|CHD4|CTNNB1|CTNND1|ESR1|FGFR1|MTOR|HNRNPA1|HRAS|IRS1|KDR|MET|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|PTK2|PTPN11|VEGFA|FGFRL1|KIDINS220|NCF1,-16,60|348|857|1108|1499|1500|2099|2260|2475|3178|3265|3667|3791|4233|5290|5296|5594|5604|5605|5747|5781|7422|53834|57498|653361,Metascape session t_e1w6klz,1.1253517471925912e-7,TRUE
KEGG Pathway,24,hsa05163,Human cytomegalovirus infection,-20,22,19,116,CASP8|CTNNB1|MTOR|GNA11|GNAQ|HRAS|IL6|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|PTGS2|PTK2|RAF1|TSC1|TSC2|VEGFA|TBK1,-16,841|1499|2475|2767|2776|3265|3569|5290|5296|5594|5604|5605|5743|5747|5894|7248|7249|7422|29110,Metascape session t_e1w6klz,1.1253517471925912e-7,TRUE
GO Biological Processes,19,GO:0008015,blood circulation,-19,16,22,116,ACTC1|APOE|CAV1|CPS1|ACE|DRD3|EDN1|ENG|F5|FBN1|GJA1|GNA11|GPX1|KCNQ1|PIK3CA|PPARG|MAP2K1|PTGS2|PTPN11|SLC8A1|VEGFA|EMILIN1,-16,70|348|857|1373|1636|1814|1906|2022|2153|2200|2697|2767|2876|3784|5290|5468|5604|5743|5781|6546|7422|11117,Metascape session t_e1w6klz,1.1253517471925912e-7,TRUE
GO Biological Processes,19,GO:0009725,response to hormone,-18,9.4,27,116,APP|CAV1|CPS1|ACE|EDN1|ESR1|FBN1|MTOR|GNAQ|GPX1|NR3C1|HRAS|IL6|IL10|IRS1|KCNQ1|NONO|NOTCH1|PIK3CA|PIK3R2|PPARG|MAPK1|MAP2K1|PTK2|RAF1|TSC1|CAPN10,-15,351|857|1373|1636|1906|2099|2200|2475|2776|2876|2908|3265|3569|3586|3667|3784|4841|4851|5290|5296|5468|5594|5604|5747|5894|7248|11132,Metascape session t_e1w6klz,3.059023205018258e-7,TRUE
GO Biological Processes,19,GO:0070848,response to growth factor,-17,13,22,116,ACVR2B|APP|CPS1|CTNNB1|EDN1|ENG|FBN1|FGFR1|NR3C1|KDR|SMAD4|MAPT|NOTCH1|PIK3CA|PPARG|MAPK1|PTK2|PTPN11|TGFBR1|VEGFA|FGFRL1|KIDINS220,-14,93|351|1373|1499|1906|2022|2200|2260|2908|3791|4089|4137|4851|5290|5468|5594|5747|5781|7046|7422|53834|57498,Metascape session t_e1w6klz,8.315287191035679e-7,TRUE
GO Biological Processes,19,GO:0003013,circulatory system process,-17,13,22,116,ACTC1|APOE|CAV1|CPS1|ACE|DRD3|EDN1|ENG|F5|FBN1|GJA1|GNA11|GPX1|KCNQ1|PIK3CA|PPARG|MAP2K1|PTGS2|PTPN11|SLC8A1|VEGFA|EMILIN1,-14,70|348|857|1373|1636|1814|1906|2022|2153|2200|2697|2767|2876|3784|5290|5468|5604|5743|5781|6546|7422|11117,Metascape session t_e1w6klz,8.315287191035679e-7,TRUE
WikiPathways,27,WP2380,Brain derived neurotrophic factor BDNF signaling,-17,29,15,116,CTNNB1|MTOR|HRAS|IRS1|MAPT|PIK3R2|MAPK1|MAP2K1|MAP2K2|PTPN11|RAF1|TSC2|SQSTM1|KIDINS220|NCF1,-14,1499|2475|3265|3667|4137|5296|5594|5604|5605|5781|5894|7249|8878|57498|653361,Metascape session t_e1w6klz,8.315287191035679e-7,TRUE
WikiPathways,27,WP5353,Macrophage stimulating protein MSP signaling,-17,34,14,116,CTNNB1|FGFR1|MTOR|IL6|IL10|KDR|MAPK1|MAP2K1|MAP2K2|PTK2|RAF1|VEGFA|NR0B2|ZEB2,-14,1499|2260|2475|3569|3586|3791|5594|5604|5605|5747|5894|7422|8431|9839,Metascape session t_e1w6klz,8.315287191035679e-7,TRUE
WikiPathways,27,WP4205,MET in type 1 papillary renal cell carcinoma,-17,52,12,116,HRAS|KDR|MET|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|PTK2|PTPN11|RAF1|VEGFA,-14,3265|3791|4233|5290|5296|5594|5604|5605|5747|5781|5894|7422,Metascape session t_e1w6klz,8.315287191035679e-7,TRUE
WikiPathways,27,WP5124,Alzheimer 39 s disease,-17,18,18,116,APOE|APP|CASP8|CTNNB1|MTOR|GNAQ|HRAS|IL6|IRS1|MAPT|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|PTGS2|RAF1|EIF2AK3,-14,348|351|841|1499|2475|2776|3265|3569|3667|4137|5290|5296|5594|5604|5605|5743|5894|9451,Metascape session t_e1w6klz,8.315287191035679e-7,TRUE
GO Biological Processes,19,GO:0071363,cellular response to growth factor stimulus,-17,13,21,116,ACVR2B|APP|CPS1|CTNNB1|EDN1|ENG|FBN1|FGFR1|NR3C1|KDR|SMAD4|MAPT|NOTCH1|PIK3CA|PPARG|PTK2|PTPN11|TGFBR1|VEGFA|FGFRL1|KIDINS220,-14,93|351|1373|1499|1906|2022|2200|2260|2908|3791|4089|4137|4851|5290|5468|5747|5781|7046|7422|53834|57498,Metascape session t_e1w6klz,8.315287191035679e-7,TRUE
WikiPathways,27,WP2059,Alzheimer 39 s disease and miRNA effects,-17,18,18,116,APOE|APP|CASP8|CTNNB1|MTOR|GNAQ|HRAS|IL6|IRS1|MAPT|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|PTGS2|RAF1|EIF2AK3,-14,348|351|841|1499|2475|2776|3265|3569|3667|4137|5290|5296|5594|5604|5605|5743|5894|9451,Metascape session t_e1w6klz,8.315287191035679e-7,TRUE
GO Biological Processes,19,GO:0007167,enzyme-linked receptor protein signaling pathway,-17,11,23,116,ACVR2B|CSF1R|CTNNB1|ENG|EFEMP1|FGFR1|HRAS|IRS1|KDR|SMAD4|MET|PIK3CA|PIK3R2|PPARG|MAPK1|MAP2K1|PTK2|PTPN11|RAF1|TGFBR1|VEGFA|EIF2AK3|FGFRL1,-14,93|1436|1499|2022|2202|2260|3265|3667|3791|4089|4233|5290|5296|5468|5594|5604|5747|5781|5894|7046|7422|9451|53834,Metascape session t_e1w6klz,8.315287191035679e-7,TRUE
KEGG Pathway,24,hsa05230,Central carbon metabolism in cancer,-16,45,12,116,FGFR1|MTOR|HRAS|IDH2|MET|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|RAF1|SLC2A2,-13,2260|2475|3265|3418|4233|5290|5296|5594|5604|5605|5894|6514,Metascape session t_e1w6klz,2.2603294069810542e-6,TRUE
WikiPathways,27,WP313,Hepatocyte growth factor receptor signaling,-16,76,10,116,HRAS|MET|PIK3CA|MAPK1|MAP2K1|MAP2K2|PTGS2|PTK2|PTPN11|RAF1,-13,3265|4233|5290|5594|5604|5605|5743|5747|5781|5894,Metascape session t_e1w6klz,2.2603294069810542e-6,TRUE
WikiPathways,27,WP4674,Head and neck squamous cell carcinoma,-16,43,12,116,CASP8|CTNNB1|FGFR1|MTOR|HRAS|SMAD4|NOTCH1|PIK3CA|PIK3R2|TSC1|TSC2|VEGFA,-13,841|1499|2260|2475|3265|4089|4851|5290|5296|7248|7249|7422,Metascape session t_e1w6klz,2.2603294069810542e-6,TRUE
WikiPathways,27,WP3932,Focal adhesion PI3K Akt mTOR signaling,-16,16,18,116,CSF1R|FGFR1|MTOR|HRAS|IRS1|KDR|MET|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|PTK2|RAF1|SLC2A2|TSC1|TSC2|VEGFA,-13,1436|2260|2475|3265|3667|3791|4233|5290|5296|5594|5604|5605|5747|5894|6514|7248|7249|7422,Metascape session t_e1w6klz,2.2603294069810542e-6,TRUE
KEGG Pathway,24,hsa05022,Pathways of neurodegeneration - multiple diseases,-16,12,21,116,APP|CASP8|CTNNB1|DCTN1|MTOR|GNAQ|GPX1|HRAS|IL6|MAPT|MAPK1|MAP2K1|MAP2K2|PTGS2|RAF1|VCP|SQSTM1|EIF2AK3|MFN2|SIGMAR1|TBK1,-13,351|841|1499|1639|2475|2776|2876|3265|3569|4137|5594|5604|5605|5743|5894|7415|8878|9451|9927|10280|29110,Metascape session t_e1w6klz,2.2603294069810542e-6,TRUE
KEGG Pathway,24,hsa04015,Rap1 signaling pathway,-16,20,16,116,ACTB|CSF1R|CTNNB1|CTNND1|FGFR1|GNAQ|HRAS|KDR|MET|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|RAF1|VEGFA,-13,60|1436|1499|1500|2260|2776|3265|3791|4233|5290|5296|5594|5604|5605|5894|7422,Metascape session t_e1w6klz,2.2603294069810542e-6,TRUE
WikiPathways,27,WP5215,Targeted agents in triple negative breast cancer,-16,70,10,116,MTOR|HRAS|IRS1|PIK3CA|MAPK1|MAP2K1|MAP2K2|RAF1|TSC1|TSC2,-13,2475|3265|3667|5290|5594|5604|5605|5894|7248|7249,Metascape session t_e1w6klz,2.2603294069810542e-6,TRUE
WikiPathways,27,WP3879,4 hydroxytamoxifen dexamethasone and retinoic acids regulation of p27 expression,-16,95,9,116,MTOR|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|RAF1|TSC1|TSC2,-13,2475|5290|5296|5594|5604|5605|5894|7248|7249,Metascape session t_e1w6klz,2.2603294069810542e-6,TRUE
KEGG Pathway,24,hsa01521,EGFR tyrosine kinase inhibitor resistance,-16,40,12,116,MTOR|HRAS|IL6|KDR|MET|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|RAF1|VEGFA,-13,2475|3265|3569|3791|4233|5290|5296|5594|5604|5605|5894|7422,Metascape session t_e1w6klz,2.2603294069810542e-6,TRUE
GO Biological Processes,19,GO:0043434,response to peptide hormone,-16,13,19,116,CAV1|CPS1|ACE|EDN1|FBN1|MTOR|HRAS|IL10|IRS1|KCNQ1|NONO|PIK3CA|PIK3R2|PPARG|MAPK1|PTK2|RAF1|TSC1|CAPN10,-13,857|1373|1636|1906|2200|2475|3265|3586|3667|3784|4841|5290|5296|5468|5594|5747|5894|7248|11132,Metascape session t_e1w6klz,2.2603294069810542e-6,TRUE
WikiPathways,27,WP2261,Glioblastoma signaling,-15,39,12,116,FGFR1|HRAS|IRS1|MET|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|RAF1|TSC1|TSC2,-13,2260|3265|3667|4233|5290|5296|5594|5604|5605|5894|7248|7249,Metascape session t_e1w6klz,2.2603294069810542e-6,TRUE
WikiPathways,27,WP5087,Pleural mesothelioma,-15,12,20,116,ACTB|ACTC1|CSF1R|CTNNB1|FGFR1|MTOR|HRAS|IL6|IL10|KDR|MET|PIK3CA|MAPK1|MAP2K1|MAP2K2|PTK2|RAF1|TSC1|TSC2|VEGFA,-13,60|70|1436|1499|2260|2475|3265|3569|3586|3791|4233|5290|5594|5604|5605|5747|5894|7248|7249|7422,Metascape session t_e1w6klz,2.2603294069810542e-6,TRUE
KEGG Pathway,24,hsa04370,VEGF signaling pathway,-15,48,11,116,HRAS|KDR|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|PTGS2|PTK2|RAF1|VEGFA,-13,3265|3791|5290|5296|5594|5604|5605|5743|5747|5894|7422,Metascape session t_e1w6klz,2.2603294069810542e-6,TRUE
WikiPathways,27,WP4806,EGFR tyrosine kinase inhibitor resistance,-15,38,12,116,MTOR|HRAS|IL6|KDR|MET|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|RAF1|VEGFA,-13,2475|3265|3569|3791|4233|5290|5296|5594|5604|5605|5894|7422,Metascape session t_e1w6klz,2.2603294069810542e-6,TRUE
GO Biological Processes,19,GO:0008285,negative regulation of cell population proliferation,-15,9.3,23,116,ALOX5|APOE|APP|CAV1|CSF1R|CTNNB1|ENG|HRAS|IDH2|IL6|IL10|LMNA|NOTCH1|PKD2|PPARG|MAP2K1|PTPN11|RAF1|TNFAIP3|TSC1|TSC2|MFN2|B4GALT7,-13,240|348|351|857|1436|1499|2022|3265|3418|3569|3586|4000|4851|5311|5468|5604|5781|5894|7128|7248|7249|9927|11285,Metascape session t_e1w6klz,2.2603294069810542e-6,TRUE
GO Biological Processes,19,GO:0009887,animal organ morphogenesis,-15,9.9,22,116,ACTC1|CAV1|CSF1R|CTNNB1|EDN1|ENG|FBN1|FBN2|EFEMP1|FGFR1|HRAS|KCNQ1|SMAD4|NOTCH1|SERPINE1|PKD2|PTK2|TGFBR1|VEGFA|NPHP3|ANKRD11|CHD7,-13,70|857|1436|1499|1906|2022|2200|2201|2202|2260|3265|3784|4089|4851|5054|5311|5747|7046|7422|27031|29123|55636,Metascape session t_e1w6klz,2.2603294069810542e-6,TRUE
KEGG Pathway,24,hsa05165,Human papillomavirus infection,-15,14,18,116,CASP8|CHD4|CTNNB1|MTOR|HRAS|NOTCH1|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|PTGS2|PTK2|RAF1|TSC1|TSC2|VEGFA|TBK1,-13,841|1108|1499|2475|3265|4851|5290|5296|5594|5604|5605|5743|5747|5894|7248|7249|7422|29110,Metascape session t_e1w6klz,2.2603294069810542e-6,TRUE
WikiPathways,27,WP4172,PI3K Akt signaling,-15,14,18,116,CSF1R|FGFR1|MTOR|HRAS|IL6|IRS1|KDR|MET|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|PTK2|RAF1|TSC1|TSC2|VEGFA,-12,1436|2260|2475|3265|3569|3667|3791|4233|5290|5296|5594|5604|5605|5747|5894|7248|7249|7422,Metascape session t_e1w6klz,6.14421235332821e-6,TRUE
GO Biological Processes,19,GO:0035295,tube development,-15,11,21,116,CASP8|CAV1|CPS1|CSF1R|CTNNB1|CTNND1|EDN1|ENG|FBN1|KCNQ1|KDR|MET|NOTCH1|SERPINE1|PKD2|PTK2|TGFBR1|TSC2|VEGFA|EIF2AK3|NPHP3,-12,841|857|1373|1436|1499|1500|1906|2022|2200|3784|3791|4233|4851|5054|5311|5747|7046|7249|7422|9451|27031,Metascape session t_e1w6klz,6.14421235332821e-6,TRUE
WikiPathways,27,WP5541,BDNF signaling in neurodevelopment,-15,29,13,116,CASP8|CTNNB1|MTOR|HRAS|IRS1|LIMK1|PIK3CA|MAPK1|MAP2K1|MAP2K2|PTPN11|RAF1|KIDINS220,-12,841|1499|2475|3265|3667|3984|5290|5594|5604|5605|5781|5894|57498,Metascape session t_e1w6klz,6.14421235332821e-6,TRUE
WikiPathways,27,WP1984,Integrated breast cancer pathway,-15,24,14,116,CASP8|CTNNB1|ESR1|MTOR|GRN|IRS1|SMAD4|PIK3R2|MAPK1|SMARCA4|TGFBR1|TSC1|TSC2|VEGFA,-12,841|1499|2099|2475|2896|3667|4089|5296|5594|6597|7046|7248|7249|7422,Metascape session t_e1w6klz,6.14421235332821e-6,TRUE
WikiPathways,27,WP5470,Effect of omega 3 PUFA on Huntington 39 s disease pathways,-15,29,13,116,APOE|CASP8|MTOR|HRAS|IL6|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|RAF1|TSC1|TSC2,-12,348|841|2475|3265|3569|5290|5296|5594|5604|5605|5894|7248|7249,Metascape session t_e1w6klz,6.14421235332821e-6,TRUE
GO Biological Processes,19,GO:0035239,tube morphogenesis,-15,12,19,116,CASP8|CAV1|CSF1R|CTNNB1|CTNND1|EDN1|ENG|FBN1|KDR|MET|NOTCH1|SERPINE1|PKD2|PTK2|TGFBR1|TSC2|VEGFA|EIF2AK3|NPHP3,-12,841|857|1436|1499|1500|1906|2022|2200|3791|4233|4851|5054|5311|5747|7046|7249|7422|9451|27031,Metascape session t_e1w6klz,6.14421235332821e-6,TRUE
KEGG Pathway,24,hsa04218,Cellular senescence,-15,24,14,116,MTOR|HRAS|IL6|SERPINE1|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|RAF1|TGFBR1|TSC1|TSC2|SQSTM1,-12,2475|3265|3569|5054|5290|5296|5594|5604|5605|5894|7046|7248|7249|8878,Metascape session t_e1w6klz,6.14421235332821e-6,TRUE
KEGG Pathway,24,hsa04919,Thyroid hormone signaling pathway,-15,28,13,116,ACTB|CTNNB1|ESR1|MTOR|HRAS|NOTCH1|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|RAF1|TSC2,-12,60|1499|2099|2475|3265|4851|5290|5296|5594|5604|5605|5894|7249,Metascape session t_e1w6klz,6.14421235332821e-6,TRUE
WikiPathways,27,WP4746,Thyroid hormones production and peripheral downstream signaling effects,-15,34,12,116,CTNNB1|FGFR1|MTOR|HRAS|NOTCH1|PIK3CA|PPARG|MAPK1|MAP2K1|RAF1|TSC1|TSC2,-12,1499|2260|2475|3265|4851|5290|5468|5594|5604|5894|7248|7249,Metascape session t_e1w6klz,6.14421235332821e-6,TRUE
GO Biological Processes,19,GO:0043066,negative regulation of apoptotic process,-15,8.1,24,116,CAV1|CSF1R|CTNNB1|EDN1|ESR1|MTOR|GPX1|GRN|IL6|IL10|KDR|NONO|NOTCH1|SERPINE1|PIK3CA|MAP2K1|PTGS2|PTK2|RAF1|TGFBR1|TNFAIP3|VEGFA|SIGMAR1|ADNP,-12,857|1436|1499|1906|2099|2475|2876|2896|3569|3586|3791|4841|4851|5054|5290|5604|5743|5747|5894|7046|7128|7422|10280|23394,Metascape session t_e1w6klz,6.14421235332821e-6,TRUE
Canonical Pathways,11,M237,PID VEGFR1 2 PATHWAY,-15,42,11,116,CAV1|CTNNB1|KDR|PIK3CA|MAPK1|MAP2K1|MAP2K2|PTK2|PTPN11|RAF1|VEGFA,-12,857|1499|3791|5290|5594|5604|5605|5747|5781|5894|7422,Metascape session t_e1w6klz,6.14421235332821e-6,TRUE
KEGG Pathway,24,hsa04151,PI3K-Akt signaling pathway,-15,13,18,116,CSF1R|FGFR1|MTOR|HRAS|IL6|IRS1|KDR|MET|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|PTK2|RAF1|TSC1|TSC2|VEGFA,-12,1436|2260|2475|3265|3569|3667|3791|4233|5290|5296|5594|5604|5605|5747|5894|7248|7249|7422,Metascape session t_e1w6klz,6.14421235332821e-6,TRUE
Reactome Gene Sets,6,R-HSA-109582,Hemostasis,-15,9.2,22,116,ACTB|APOA1|APOB|APP|CAV1|F5|F12|GNA11|GNAQ|HRAS|ITIH4|KIF11|SERPINE1|PIK3CA|PIK3R2|MAPK1|PTK2|PTPN11|RAF1|SLC8A1|VEGFA|MFN2,-12,60|335|338|351|857|2153|2161|2767|2776|3265|3700|3832|5054|5290|5296|5594|5747|5781|5894|6546|7422|9927,Metascape session t_e1w6klz,6.14421235332821e-6,TRUE
WikiPathways,27,WP2034,Leptin signaling,-15,41,11,116,ESR1|MTOR|HRAS|IRS1|PIK3R2|MAPK1|MAP2K1|MAP2K2|PTK2|PTPN11|RAF1,-12,2099|2475|3265|3667|5296|5594|5604|5605|5747|5781|5894,Metascape session t_e1w6klz,6.14421235332821e-6,TRUE
Reactome Gene Sets,6,R-HSA-4420097,VEGFA-VEGFR2 Pathway,-14,32,12,116,ACTB|CAV1|CTNNB1|CTNND1|MTOR|HRAS|KDR|PIK3CA|PIK3R2|PTK2|VEGFA|NCF1,-12,60|857|1499|1500|2475|3265|3791|5290|5296|5747|7422|653361,Metascape session t_e1w6klz,6.14421235332821e-6,TRUE
KEGG Pathway,24,hsa04140,Autophagy - animal,-14,22,14,116,MTOR|HRAS|IRS1|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|RAF1|TSC1|TSC2|SQSTM1|EIF2AK3|TBK1,-12,2475|3265|3667|5290|5296|5594|5604|5605|5894|7248|7249|8878|9451|29110,Metascape session t_e1w6klz,6.14421235332821e-6,TRUE
KEGG Pathway,24,hsa05225,Hepatocellular carcinoma,-14,22,14,116,ACTB|CTNNB1|MTOR|HRAS|SMAD4|MET|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|RAF1|SMARCA4|TGFBR1,-12,60|1499|2475|3265|4089|4233|5290|5296|5594|5604|5605|5894|6597|7046,Metascape session t_e1w6klz,6.14421235332821e-6,TRUE
WikiPathways,27,WP2037,Prolactin signaling,-14,39,11,116,MTOR|HRAS|IRS1|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|PTK2|PTPN11|RAF1,-12,2475|3265|3667|5290|5296|5594|5604|5605|5747|5781|5894,Metascape session t_e1w6klz,6.14421235332821e-6,TRUE
