Category,Description,LogP,Log(q-value),#GeneInGOAndHitList,#GeneInHitList,Hits,CategoryID,GO,Enrichment,FDR,Significant_FDR_0_05,GeneID,LogQ,Count,HitListN,GeneRatio,MinusLog10FDR
KEGG Pathway,Alzheimer disease,-14,-12,18,116,APOE|APP|CASP8|CTNNB1|MTOR|GNAQ|HRAS|IL6|IRS1|MAPT|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|PTGS2|RAF1|EIF2AK3,24,hsa05010,12,1e-12,TRUE,348|351|841|1499|2475|2776|3265|3569|3667|4137|5290|5296|5594|5604|5605|5743|5894|9451,-12,18,116,0.15517241379310345,12
KEGG Pathway,Kaposi sarcoma-associated herpesvirus infection,-14,-11,14,116,CASP8|CTNNB1|MTOR|HRAS|IL6|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|PTGS2|RAF1|VEGFA|TBK1,24,hsa05167,19,1e-11,TRUE,841|1499|2475|3265|3569|5290|5296|5594|5604|5605|5743|5894|7422|29110,-11,14,116,0.1206896551724138,11
KEGG Pathway,Colorectal cancer,-14,-11,11,116,CTNNB1|MTOR|HRAS|SMAD4|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|RAF1|TGFBR1,24,hsa05210,33,1e-11,TRUE,1499|2475|3265|4089|5290|5296|5594|5604|5605|5894|7046,-11,11,116,0.09482758620689655,11
KEGG Pathway,"Growth hormone synthesis, secretion and action",-13,-11,12,116,MTOR|GNA11|GNAQ|HRAS|IRS1|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|PTK2|RAF1,24,hsa04935,26,1e-11,TRUE,2475|2767|2776|3265|3667|5290|5296|5594|5604|5605|5747|5894,-11,12,116,0.10344827586206896,11
KEGG Pathway,Human immunodeficiency virus 1 infection,-13,-11,14,116,CASP8|MTOR|GNA11|GNAQ|HRAS|LIMK1|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|PTK2|RAF1|TBK1,24,hsa05170,17,1e-11,TRUE,841|2475|2767|2776|3265|3984|5290|5296|5594|5604|5605|5747|5894|29110,-11,14,116,0.1206896551724138,11
KEGG Pathway,FoxO signaling pathway,-13,-10,12,116,HRAS|IL6|IL10|IRS1|SMAD4|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|RAF1|TGFBR1,24,hsa04068,24,1e-10,TRUE,3265|3569|3586|3667|4089|5290|5296|5594|5604|5605|5894|7046,-10,12,116,0.10344827586206896,10
KEGG Pathway,Renal cell carcinoma,-13,-10,10,116,HRAS|MET|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|PTPN11|RAF1|VEGFA,24,hsa05211,38,1e-10,TRUE,3265|4233|5290|5296|5594|5604|5605|5781|5894|7422,-10,10,116,0.08620689655172414,10
KEGG Pathway,Endocrine resistance,-13,-10,11,116,ESR1|MTOR|HRAS|NOTCH1|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|PTK2|RAF1,24,hsa01522,29,1e-10,TRUE,2099|2475|3265|4851|5290|5296|5594|5604|5605|5747|5894,-10,11,116,0.09482758620689655,10
KEGG Pathway,Yersinia infection,-13,-10,12,116,ACTB|GNAQ|IL6|IL10|LIMK1|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|PTK2|TBK1,24,hsa05135,23,1e-10,TRUE,60|2776|3569|3586|3984|5290|5296|5594|5604|5605|5747|29110,-10,12,116,0.10344827586206896,10
KEGG Pathway,Chagas disease,-13,-10,11,116,CASP8|ACE|GNA11|GNAQ|IL6|IL10|SERPINE1|PIK3CA|PIK3R2|MAPK1|TGFBR1,24,hsa05142,28,1e-10,TRUE,841|1636|2767|2776|3569|3586|5054|5290|5296|5594|7046,-10,11,116,0.09482758620689655,10
