Gene,Degree,Betweenness,EntrezGeneID,MCODE_Cluster,MCODE_Score,MCODE_Type,Network,Candidate_Hub,Hub_Criterion
NR0B2,5,0.02039794243250786,NA,NA,NA,NA,NA,FALSE,Not retained
GJA1,5,0.0036439533494842472,NA,NA,NA,NA,NA,FALSE,Not retained
APOA2,5,0.002121986466045872,APOA2,1,2.153846153846154,Seed,MyList_SUB1,FALSE,Not retained
CSF1R,5,8.603634690591212e-5,NA,NA,NA,NA,NA,FALSE,Not retained
SERPINE1,4,0.03398193761352665,NA,NA,NA,NA,NA,FALSE,Not retained
EHMT1,4,0.020287223537292114,NA,NA,NA,NA,NA,FALSE,Not retained
EIF2AK3,4,0.0016977445140073304,NA,NA,NA,NA,NA,FALSE,Not retained
ADAR,4,2.1625019644821623e-4,ADAR,2,1.3636363636363638,Clustered,MyList_SUB1,FALSE,Not retained
FBN1,3,0.02085911821951426,NA,NA,NA,NA,NA,FALSE,Not retained
F5,3,0.006698895206992603,F5,6,1,Seed,MyList_SUB1,FALSE,Not retained
F12,3,0.004860983627841313,F12,6,1,Clustered,MyList_SUB1,FALSE,Not retained
AARS1,3,0.0029606924978212105,NA,NA,NA,NA,NA,FALSE,Not retained
CFH,3,9.053347731086472e-4,CFH,6,1,Clustered,MyList_SUB1,FALSE,Not retained
CDK13,3,8.822838576621502e-4,NA,NA,NA,NA,NA,FALSE,Not retained
KAT6A,3,3.086264764626084e-4,NA,NA,NA,NA,NA,FALSE,Not retained
IDH2,3,1.8003943251468005e-4,NA,NA,NA,NA,NA,FALSE,Not retained
NCF1,3,9.02090209020902e-5,NA,NA,NA,NA,NA,FALSE,Not retained
ADNP,3,8.603574643178602e-5,NA,NA,NA,NA,NA,FALSE,Not retained
CHD7,3,0,NA,NA,NA,NA,NA,FALSE,Not retained
MTTP,3,0,NA,NA,NA,NA,NA,FALSE,Not retained
ACVR2B,3,0,ACVR2B,2,1.3636363636363638,Clustered,MyList_SUB1,FALSE,Not retained
GRN,2,0.005824375325459558,NA,NA,NA,NA,NA,FALSE,Not retained
NPHP3,2,3.6107182146786105e-4,NA,NA,NA,NA,NA,FALSE,Not retained
EFEMP1,2,1.8859028760018857e-4,NA,NA,NA,NA,NA,FALSE,Not retained
STAMBP,2,1.1393996542511395e-4,NA,NA,NA,NA,NA,FALSE,Not retained
ALOX5,2,0,NA,NA,NA,NA,NA,FALSE,Not retained
LIMK1,2,0,NA,NA,NA,NA,NA,FALSE,Not retained
UGP2,2,0,NA,NA,NA,NA,NA,FALSE,Not retained
MFN2,2,0,NA,NA,NA,NA,NA,FALSE,Not retained
ACE,1,0,NA,NA,NA,NA,NA,FALSE,Not retained
ANKRD11,1,0,NA,NA,NA,NA,NA,FALSE,Not retained
CPS1,1,0,NA,NA,NA,NA,NA,FALSE,Not retained
DRD3,1,0,NA,NA,NA,NA,NA,FALSE,Not retained
DROSHA,1,0,NA,NA,NA,NA,NA,FALSE,Not retained
