method,effect_scale,estimate,conf_low,conf_high,std_error_link_scale,reference_df,p_value,covariates_used,covariates_dropped_no_variation,exposure,module_rds,outcome_code,outcome,transform,n,events,non_events,n_strata,n_psu,cycles,weight_variables,status,error,p_fdr_bh
same_sample_unweighted,odds_ratio,1.3518186821233336,1.0244943292841056,1.7837226591723778,0.1414045593712352,3231,0.033020605787557646,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,THg_ln_S,HM_serum.rds,angina,Angina,natural_log_transformed,3254,64,3190,30,4,2013-2014|2015-2016,WTSH2YR,ok,,0.33327598928052493
same_sample_unweighted,odds_ratio,1.4822876292763294,1.0320108753091477,2.1290246725815347,0.18463347623936865,2165,0.033029998221766714,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,PMM_Cys_ln_U,VOC_urine.rds,angina,Angina,natural_log_transformed,2188,45,2143,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.33327598928052493
same_sample_unweighted,odds_ratio,1.979101050398367,1.0530858311837645,3.719393853476343,0.32172622995429395,2206,0.033853489048185616,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,Cs_ln_U,HM_urine.rds,angina,Angina,natural_log_transformed,2229,46,2183,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.33327598928052493
same_sample_unweighted,odds_ratio,1.5053156218743549,1.0217494987946076,2.2177403797430033,0.19758782190863225,2120,0.03845433487073642,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,MiBP_ln_U,Phthalates_urine.rds,angina,Angina,natural_log_transformed,2143,45,2098,30,4,2013-2014|2015-2016,WTSB2YR,ok,,0.33327598928052493
same_sample_unweighted,odds_ratio,1.4865217144259308,1.019197159033699,2.1681249676508814,0.19245673720840087,2120,0.03940942424321952,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,MECPP_ln_U,Phthalates_urine.rds,angina,Angina,natural_log_transformed,2143,45,2098,30,4,2013-2014|2015-2016,WTSB2YR,ok,,0.33327598928052493
same_sample_unweighted,odds_ratio,1.3721557074217543,1.0124107981834065,1.8597305449413122,0.15503194406157503,1921,0.04127467409490046,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,DPHP_ln_U,BFR_urine.rds,angina,Angina,natural_log_transformed,1944,40,1904,30,4,2013-2014|2015-2016,WTSSBI2Y|WTSSCH2Y,ok,,0.33327598928052493
same_sample_unweighted,odds_ratio,1.6697947532840796,1.0080292146019771,2.766005665020308,0.2573619893066832,2156,0.04635586831012023,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,MA_ln_U,VOC_urine.rds,angina,Angina,natural_log_transformed,2179,45,2134,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.33327598928052493
same_sample_unweighted,odds_ratio,1.720663127252351,1.0042886479858746,2.948038498118603,0.27438966841276435,1024,0.04794227930745125,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,IPM3_Cys_ln_U,VOC_urine.rds,angina,Angina,natural_log_transformed,1047,19,1028,15,2,2015-2016,WTSA2YR,ok,,0.33327598928052493
same_sample_unweighted,odds_ratio,1.5494126529935812,1.0032371061870977,2.3929333897752536,0.2216382312824163,2182,0.04819629599915716,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,CEMA_CEM_ln_U,VOC_urine.rds,angina,Angina,natural_log_transformed,2205,45,2160,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.33327598928052493
same_sample_unweighted,odds_ratio,2.32023994264438,1.0020338612899728,5.372586296147621,0.4279433596243498,1148,0.04920853533001039,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,TTCA_binary_U,VOC_urine.rds,angina,Angina,binary_above_detection_threshold,1171,26,1145,15,2,2013-2014,WTSA2YR,ok,,0.33327598928052493
same_sample_unweighted,odds_ratio,1.4267095377632355,0.9963719271510978,2.042911938481287,0.18306863430165096,2200,0.05223538922066617,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,X2_FL_ln_U,PAH_urine.rds,angina,Angina,natural_log_transformed,2223,46,2177,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.3383944779947504
same_sample_unweighted,odds_ratio,1.545726024730418,0.978718914542795,2.441220771384641,0.2330419196497662,2206,0.061659616066492944,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,Cd_ln_U,HM_urine.rds,angina,Angina,natural_log_transformed,2229,46,2183,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.38280344974614366
same_sample_unweighted,odds_ratio,1.9590053763502078,0.9506210357349087,4.03704727783786,0.368708045618406,2073,0.06818758493479184,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,DHB_Cys_ln_U,VOC_urine.rds,angina,Angina,natural_log_transformed,2096,42,2054,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.40639800621135935
same_sample_unweighted,odds_ratio,1.3909420332067794,0.9651250869743637,2.0046310740991036,0.18636648981160492,2135,0.07662658793793978,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,MB3_Cys_ln_U,VOC_urine.rds,angina,Angina,natural_log_transformed,2158,44,2114,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.4364152480634311
same_sample_unweighted,odds_ratio,1.3424885560985207,0.9649884396751438,1.8676654031857765,0.16836148880781535,2199,0.08022863717004734,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,X3_FL_ln_U,PAH_urine.rds,angina,Angina,natural_log_transformed,2222,46,2176,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.4364152480634311
same_sample_unweighted,odds_ratio,0.6430103788709886,0.38722937812637254,1.0677452969513035,0.2584299726147292,974,0.08749569202657356,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,n_PFOS_ln_S,PFC_serum.rds,angina,Angina,natural_log_transformed,997,22,975,15,2,2015-2016,WTSB2YR,ok,,0.4364152480634311
same_sample_unweighted,odds_ratio,0.6476326573144731,0.389162116721175,1.0777720667007151,0.25954289401624697,974,0.09416329656360363,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,Sm_PFOS_ln_S,PFC_serum.rds,angina,Angina,natural_log_transformed,997,22,975,15,2,2015-2016,WTSB2YR,ok,,0.4364152480634311
same_sample_unweighted,odds_ratio,0.5621975597156836,0.2858851556926905,1.1055701559056177,0.3448417509173336,2122,0.09491004803920246,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,TCC_binary_U,PCCP_urine.rds,angina,Angina,binary_above_detection_threshold,2145,45,2100,30,4,2013-2014|2015-2016,WTSB2YR,ok,,0.4364152480634311
same_sample_unweighted,odds_ratio,1.8187785705942316,0.8963034736038801,3.6906645865736576,0.36082102924593923,1924,0.09736004696636001,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,BCPP_binary_U,BFR_urine.rds,angina,Angina,binary_above_detection_threshold,1947,40,1907,30,4,2013-2014|2015-2016,WTSSBI2Y|WTSSCH2Y,ok,,0.4364152480634311
same_sample_unweighted,odds_ratio,1.444109829041653,0.934837177456931,2.2308197070294535,0.22173949898013523,1917,0.09745498722194061,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,GLYP_ln_U,GYLP_urine.rds,angina,Angina,natural_log_transformed,1940,40,1900,30,4,2013-2014|2015-2016,WTSSCH2Y|WTSSGL2Y,ok,,0.4364152480634311
same_sample_unweighted,odds_ratio,1.5319469307105043,0.9244466620532925,2.53866609599813,0.2575665127595947,2197,0.09771451867217355,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,Nitrate_ln_U,PERNT_urine.rds,angina,Angina,natural_log_transformed,2220,45,2175,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.4364152480634311
same_sample_unweighted,odds_ratio,1.265706257181464,0.9513613941275441,1.6839156385334009,0.1455816731502848,2205,0.10554551764684578,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,Sn_ln_U,HM_urine.rds,angina,Angina,natural_log_transformed,2228,46,2182,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.4364152480634311
same_sample_unweighted,odds_ratio,0.4389554375402497,0.15995775431778067,1.204579777754068,0.5144372221777979,1010,0.10948744581538324,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,MCOCH_binary_U,Phthalates_urine.rds,angina,Angina,binary_above_detection_threshold,1033,22,1011,15,2,2015-2016,WTSB2YR,ok,,0.4364152480634311
same_sample_unweighted,odds_ratio,1.3593263331436187,0.9327154600657878,1.9810629919732932,0.19206333064136719,2201,0.10995953615890032,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,X23_OH_PH_ln_U,PAH_urine.rds,angina,Angina,natural_log_transformed,2224,46,2178,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.4364152480634311
