method,effect_scale,estimate,conf_low,conf_high,std_error_link_scale,reference_df,p_value,covariates_used,covariates_dropped_no_variation,exposure,module_rds,outcome,transform,n,events,non_events,n_strata,n_psu,cycles,weight_variables,status,error,p_fdr_bh
same_sample_unweighted,odds_ratio,1.2818390731329297,1.029721521904856,1.5956852163007502,0.11174053491091641,2204,0.026278253479465326,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,X1_PY_ln_U,PAH_urine.rds,CVD,natural_log_transformed,2227,176,2051,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.2303211628494314
same_sample_unweighted,odds_ratio,1.36411497469164,1.0329248643145623,1.8014956638814057,0.14189617680887995,1097,0.028650607078301096,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,X4_ABP_ln_U,AA_urine.rds,CVD,natural_log_transformed,1120,77,1043,15,2,2013-2014,WTSA2YR,ok,,0.23716335859260354
same_sample_unweighted,odds_ratio,1.3387566104511217,1.0094015142348898,1.7755761575066464,0.14407595635283066,2162,0.04287629595623571,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,PGA_ln_U,VOC_urine.rds,CVD,natural_log_transformed,2185,171,2014,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.31061320207551163
same_sample_unweighted,odds_ratio,1.2129530440681833,1.0049023461462026,1.4640776715832449,0.09600561609402451,2203,0.04433577251855475,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,X3_FL_ln_U,PAH_urine.rds,CVD,natural_log_transformed,2226,177,2049,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.31061320207551163
same_sample_unweighted,odds_ratio,0.8139700121028217,0.6640153592154405,0.9977889387761941,0.1038887684692435,2180,0.04756094507011122,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,X24D_ln_U,pesticides_urine.rds,CVD,natural_log_transformed,2203,194,2009,30,4,2013-2014|2015-2016,WTSB2YR|WTSC2YR,ok,,0.31061320207551163
same_sample_unweighted,odds_ratio,1.2455791287254443,1.0012988911883063,1.5494547927394684,0.1113808920773782,2121,0.04865321672666722,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,MECPP_ln_U,Phthalates_urine.rds,CVD,natural_log_transformed,2144,190,1954,30,4,2013-2014|2015-2016,WTSB2YR,ok,,0.31061320207551163
same_sample_unweighted,odds_ratio,1.4574353064788885,1.001359237091502,2.121234412078544,0.19149328274267807,2076,0.04917661011313853,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,DHB_Cys_ln_U,VOC_urine.rds,CVD,natural_log_transformed,2099,165,1934,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.31061320207551163
same_sample_unweighted,odds_ratio,1.1457515624082795,0.9999812019179297,1.3127713203440328,0.0694296463576847,2137,0.05003165671014953,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,X1_NP_ln_U,PAH_urine.rds,CVD,natural_log_transformed,2160,163,1997,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.31061320207551163
same_sample_unweighted,odds_ratio,1.179706803151074,0.9982097082106894,1.3942041736856987,0.08523515395799057,2209,0.05250852128450126,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,Sn_ln_U,HM_urine.rds,CVD,natural_log_transformed,2232,177,2055,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.3129507868556275
same_sample_unweighted,odds_ratio,0.7085366743314017,0.4971885426610696,1.0097260411224511,0.18073419118103,2214,0.05659704061367691,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,Hg_binary_U,HM_urine.rds,CVD,binary_above_detection_threshold,2237,178,2059,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.3243445789014561
same_sample_unweighted,odds_ratio,1.2158843199997083,0.9912461456068022,1.4914304445705053,0.10421826294165885,2139,0.060710393260287286,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,MB3_Cys_ln_U,VOC_urine.rds,CVD,natural_log_transformed,2162,170,1992,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.3350314294734372
same_sample_unweighted,odds_ratio,1.2147953026298342,0.9838476702906729,1.4999554014855918,0.10758350132413537,2121,0.07051307181986191,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,MiBP_ln_U,Phthalates_urine.rds,CVD,natural_log_transformed,2144,190,1954,30,4,2013-2014|2015-2016,WTSB2YR,ok,,0.3597019203358031
same_sample_unweighted,odds_ratio,0.5096298479326221,0.24541525978807396,1.0582984209217816,0.37282978969716374,820,0.07060886113950535,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,X5OHIMI_binary_U,pesticides_urine.rds,CVD,binary_above_detection_threshold,843,86,757,15,2,2015-2016,WTSSBI2Y,ok,,0.3597019203358031
same_sample_unweighted,odds_ratio,0.7993064001325323,0.6259957721607357,1.020599099395804,0.12469654358917354,2050,0.07242320543673889,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,PFNA_ln_S,PFC_serum.rds,CVD,natural_log_transformed,2073,185,1888,30,4,2013-2014|2015-2016,WTSB2YR,ok,,0.3597019203358031
same_sample_unweighted,odds_ratio,0.7319575857554278,0.5148051500799335,1.0407081344499505,0.1795615084712232,2123,0.08225517050197105,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,TCC_binary_U,PCCP_urine.rds,CVD,binary_above_detection_threshold,2146,190,1956,30,4,2013-2014|2015-2016,WTSB2YR,ok,,0.3953554969288286
