exposure,module_rds,outcome,outcome_label,transform,n,events,non_events,n_strata,n_psu,cycles,weight_variables,covariates_used,status,error,method,effect_scale,estimate,conf_low,conf_high,std_error_link_scale,reference_df,p_value,p_fdr_bh
DBCM_binary_S,VOC_serum.rds,Hypertension,Hypertension,binary_above_detection_threshold,3163,1237,1926,30,4,2013-2014|2015-2016,WTSVOC2Y,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,1.1510728769803589,0.6632943244688706,1.9975578249984305,0.2699105602969639,30,0.6060103909118568,0.9924688003756363
Mn_ln_S,HM_serum.rds,Hypertension,Hypertension,natural_log_transformed,3258,1277,1981,30,4,2013-2014|2015-2016,WTSH2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,1.084905999302317,0.7877251387346785,1.4942026976729543,0.15673687629111285,30,0.6069230251076556,0.9924688003756363
MEP_ln_U,Phthalates_urine.rds,Hypertension,Hypertension,natural_log_transformed,2145,869,1276,30,4,2013-2014|2015-2016,WTSB2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,1.0244119682498865,0.931397510237949,1.1267153596164385,0.04660880566568255,30,0.6086215105478507,0.9924688003756363
AsB_binary_U,HM_urine.rds,Hypertension,Hypertension,binary_above_detection_threshold,2235,840,1395,30,4,2013-2014|2015-2016,WTSA2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,1.0832637954495754,0.7867576825094174,1.4915144479924078,0.1565968801218097,30,0.6132790774788559,0.9924688003756363
Ba_ln_U,HM_urine.rds,Hypertension,Hypertension,natural_log_transformed,2233,843,1390,30,4,2013-2014|2015-2016,WTSA2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.9648568602337372,0.8292106573547223,1.1226927108124,0.07418477659622516,30,0.6331292047735518,0.9924688003756363
Nitrate_ln_U,PERNT_urine.rds,Hypertension,Hypertension,natural_log_transformed,2224,839,1385,30,4,2013-2014|2015-2016,WTSA2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,1.0778931477435871,0.7842904723370984,1.481407308813001,0.1557011517153072,30,0.6334824924740746,0.9924688003756363
PFBA_binary_U,PFC_urine.rds,Hypertension,Hypertension,binary_above_detection_threshold,1013,417,596,15,2,2013-2014,WTSSBH2Y,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,1.145560401564514,0.6301660348154519,2.0824807449626648,0.2804034931023344,15,0.6349344614648476,0.9924688003756363
MA_ln_U,VOC_urine.rds,Hypertension,Hypertension,natural_log_transformed,2183,824,1359,30,4,2013-2014|2015-2016,WTSA2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.941961683659565,0.7301270982515946,1.215256652721867,0.1247365263439567,30,0.6351756252259253,0.9924688003756363
MHNCH_binary_U,Phthalates_urine.rds,Hypertension,Hypertension,binary_above_detection_threshold,2146,869,1277,30,4,2013-2014|2015-2016,WTSB2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.9183748014747943,0.6354295837487518,1.3273103701091642,0.18034043725671606,30,0.6402285617798866,0.9924688003756363
Mo_ln_U,HM_urine.rds,Hypertension,Hypertension,natural_log_transformed,2232,843,1389,30,4,2013-2014|2015-2016,WTSA2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,1.0598285171661856,0.817552130240685,1.3739019742606486,0.1270877097436044,30,0.6508063819862131,0.9924688003756363
o_Xylene_binary_S,VOC_serum.rds,Hypertension,Hypertension,binary_above_detection_threshold,3155,1234,1921,30,4,2013-2014|2015-2016,WTSVOC2Y,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.9425061653354257,0.7230742313982339,1.2285292894168245,0.12977238746853734,30,0.6514733470972129,0.9924688003756363
IPM1_Cys_ln_U,VOC_urine.rds,Hypertension,Hypertension,natural_log_transformed,1051,400,651,15,2,2015-2016,WTSA2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.903955819699971,0.561860459034302,1.454339971483132,0.2231002665039534,15,0.6573151702958762,0.9924688003756363
MeFOSAA_binary_S,PFC_serum.rds,Hypertension,Hypertension,binary_above_detection_threshold,2074,836,1238,30,4,2013-2014|2015-2016,WTSB2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.9271283568894255,0.6561905043246294,1.309935124759505,0.1692432711493641,30,0.658037058603589,0.9924688003756363
DEP_ln_U,pesticides_urine.rds,Hypertension,Hypertension,natural_log_transformed,1039,416,623,15,2,2015-2016,WTSB2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.9501899929455498,0.745215713822232,1.2115431893713902,0.11400139987179607,15,0.6604278698188096,0.9924688003756363
DBUP_binary_U,BFR_urine.rds,Hypertension,Hypertension,binary_above_detection_threshold,1945,766,1179,30,4,2013-2014|2015-2016,WTSSBI2Y|WTSSCH2Y,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.9320395880835428,0.6738634623240369,1.2891302798328814,0.1588170946686869,30,0.6608356928034806,0.9924688003756363
Perchlorate_ln_U,PERNT_urine.rds,Hypertension,Hypertension,natural_log_transformed,2223,838,1385,30,4,2013-2014|2015-2016,WTSA2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,1.0380582370781286,0.8691798067627053,1.2397491234629407,0.08694097134639492,30,0.6705395954182001,0.9924688003756363
MCPP_ln_U,Phthalates_urine.rds,Hypertension,Hypertension,natural_log_transformed,2145,869,1276,30,4,2013-2014|2015-2016,WTSB2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.9733095055493566,0.8493404192824744,1.1153730260394787,0.06671100828434287,30,0.6879674780936559,0.9924688003756363
