method,effect_scale,estimate,conf_low,conf_high,std_error_link_scale,reference_df,p_value,covariates_used,covariates_dropped_no_variation,exposure,module_rds,outcome_code,outcome,transform,n,events,non_events,n_strata,n_psu,cycles,weight_variables,status,error,p_fdr_bh
same_sample_unweighted,odds_ratio,0.14755704118112098,0.027026703641569345,0.8056136142566126,0.8657066023343288,3232,0.027078808787343207,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,Se_ln_S,HM_serum.rds,heart.attack,Myocardial infarction,natural_log_transformed,3255,103,3152,30,4,2013-2014|2015-2016,WTSH2YR,ok,,0.2392580067960709
same_sample_unweighted,odds_ratio,2.8342257552232133,1.123386720966366,7.1505524158773595,0.4719798624103424,3135,0.027297893392840302,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,X25_DMF_binary_S,VOC_serum.rds,heart.attack,Myocardial infarction,binary_above_detection_threshold,3158,97,3061,30,4,2013-2014|2015-2016,WTSVOC2Y,ok,,0.2392580067960709
same_sample_unweighted,odds_ratio,1.4514178533412452,1.0363682227269972,2.0326885163022195,0.17175486453542288,2203,0.03008064738053235,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,X1_PH_ln_U,PAH_urine.rds,heart.attack,Myocardial infarction,natural_log_transformed,2226,68,2158,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.24900091442774003
same_sample_unweighted,odds_ratio,1.4906341178060885,1.009415410343929,2.201264266819997,0.1987876109395283,2208,0.04462400328817852,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,Cd_ln_U,HM_urine.rds,heart.attack,Myocardial infarction,natural_log_transformed,2231,68,2163,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.3499461310494
same_sample_unweighted,odds_ratio,0.4216553545867093,0.1790228130707429,0.9931317411562878,0.4369184911862723,3137,0.04809879827984647,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,DBCM_binary_S,VOC_serum.rds,heart.attack,Myocardial infarction,binary_above_detection_threshold,3160,98,3062,30,4,2013-2014|2015-2016,WTSVOC2Y,ok,,0.35833604718485623
same_sample_unweighted,odds_ratio,1.4556106738979515,0.9962605248193082,2.1267553829355386,0.19335261133377862,2208,0.052177968117414604,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,Co_ln_U,HM_urine.rds,heart.attack,Myocardial infarction,natural_log_transformed,2231,68,2163,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.359099689737421
same_sample_unweighted,odds_ratio,1.50497549409293,0.9924682629031728,2.2821397141655826,0.21230152809093752,2158,0.05417270996036556,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,MA_ln_U,VOC_urine.rds,heart.attack,Myocardial infarction,natural_log_transformed,2181,67,2114,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.359099689737421
same_sample_unweighted,odds_ratio,0.6196409206907032,0.3794789058215407,1.0117950291945517,0.2498671240187686,972,0.05543149573127975,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,n_PFOA_ln_S,PFC_serum.rds,heart.attack,Myocardial infarction,natural_log_transformed,995,43,952,15,2,2015-2016,WTSB2YR,ok,,0.359099689737421
same_sample_unweighted,odds_ratio,0.6079795585429795,0.3566620027257537,1.0363849829283358,0.2719748244087999,2212,0.0673048882535672,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,Hg_binary_U,HM_urine.rds,heart.attack,Myocardial infarction,binary_above_detection_threshold,2235,69,2166,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.4178511812408964
same_sample_unweighted,odds_ratio,1.3203147927109808,0.9643760034305916,1.8076260148015029,0.16019115936068937,2169,0.08280879997838317,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,X2_NP_ln_U,PAH_urine.rds,heart.attack,Myocardial infarction,natural_log_transformed,2192,66,2126,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.4598304232956564
